"---","SkeletalMesh","StaticMesh","LoopingAnimation","AlertAnimation","RunAnimation","MeshRelativeLocation","MeshRelativeRotation","MeshRelativeScale","bLoopAnimation","bAutoGroundToActorOrigin"
"Hero_1_Chad","","/Game/Characters/Heroes/Hero_1/Chad/QuadRetro/SM_Hero_1_Chad_QuadRetro.SM_Hero_1_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.011123,Y=1.011123,Z=1.011123)","false","true"
"Hero_1_Chad_Beachgoer","/Game/Characters/Heroes/Hero_1/Chad/Beachgoer/SK_Hero_1_Chad_Beachgoer.SK_Hero_1_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_1/Chad/Beachgoer/AM_Hero_1_Chad_Beachgoer_RigIdleV2.AM_Hero_1_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_1/Chad/Beachgoer/AM_Hero_1_Chad_Beachgoer_RigIdleV2.AM_Hero_1_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_1/Chad/Beachgoer/AM_Hero_1_Chad_Beachgoer_RigIdleV2.AM_Hero_1_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_2_Chad","","/Game/Characters/Heroes/Hero_2/Chad/QuadRetro/SM_Hero_2_Chad_QuadRetro.SM_Hero_2_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=0.998932,Y=0.998932,Z=0.998932)","false","true"
"Hero_2_Chad_Beachgoer","/Game/Characters/Heroes/Hero_3/Chad/Beachgoer/SK_Hero_3_Chad_Beachgoer.SK_Hero_3_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_3/Chad/Beachgoer/AM_Hero_3_Chad_Beachgoer_RigIdleV2.AM_Hero_3_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_3/Chad/Beachgoer/AM_Hero_3_Chad_Beachgoer_RigIdleV2.AM_Hero_3_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_3/Chad/Beachgoer/AM_Hero_3_Chad_Beachgoer_RigIdleV2.AM_Hero_3_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_3_Chad","","/Game/Characters/Heroes/Hero_3/Chad/QuadRetro/SM_Hero_3_Chad_QuadRetro.SM_Hero_3_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.000500,Y=1.000500,Z=1.000500)","false","true"
"Hero_3_Chad_Beachgoer","/Game/Characters/Heroes/Hero_4/Chad/Beachgoer/SK_Hero_4_Chad_Beachgoer.SK_Hero_4_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_4/Chad/Beachgoer/AM_Hero_4_Chad_Beachgoer_RigIdleV2.AM_Hero_4_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_4/Chad/Beachgoer/AM_Hero_4_Chad_Beachgoer_RigIdleV2.AM_Hero_4_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_4/Chad/Beachgoer/AM_Hero_4_Chad_Beachgoer_RigIdleV2.AM_Hero_4_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_4_Chad","","/Game/Characters/Heroes/Hero_4/Chad/QuadRetro/SM_Hero_4_Chad_QuadRetro.SM_Hero_4_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.000821,Y=1.000821,Z=1.000821)","false","true"
"Hero_4_Chad_Beachgoer","/Game/Characters/Heroes/Hero_5/Chad/Beachgoer/SK_Hero_5_Chad_Beachgoer.SK_Hero_5_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_5/Chad/Beachgoer/AM_Hero_5_Chad_Beachgoer_RigIdleV2.AM_Hero_5_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_5/Chad/Beachgoer/AM_Hero_5_Chad_Beachgoer_RigIdleV2.AM_Hero_5_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_5/Chad/Beachgoer/AM_Hero_5_Chad_Beachgoer_RigIdleV2.AM_Hero_5_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_5_Chad","","/Game/Characters/Heroes/Hero_5/Chad/QuadRetro/SM_Hero_5_Chad_QuadRetro.SM_Hero_5_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.001953,Y=1.001953,Z=1.001953)","false","true"
"Hero_5_Chad_Beachgoer","/Game/Characters/Heroes/Hero_7/Chad/Beachgoer/SK_Hero_7_Chad_Beachgoer.SK_Hero_7_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_7/Chad/Beachgoer/AM_Hero_7_Chad_Beachgoer_RigIdleV2.AM_Hero_7_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_7/Chad/Beachgoer/AM_Hero_7_Chad_Beachgoer_RigIdleV2.AM_Hero_7_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_7/Chad/Beachgoer/AM_Hero_7_Chad_Beachgoer_RigIdleV2.AM_Hero_7_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_6_Chad","","/Game/Characters/Heroes/Hero_6/Chad/QuadRetro/SM_Hero_6_Chad_QuadRetro.SM_Hero_6_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.001130,Y=1.001130,Z=1.001130)","false","true"
"Hero_6_Chad_Beachgoer","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/SK_Hero_8_Chad_Beachgoer.SK_Hero_8_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/AM_Hero_8_Chad_Beachgoer_RigIdleV2.AM_Hero_8_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/AM_Hero_8_Chad_Beachgoer_RigIdleV2.AM_Hero_8_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/AM_Hero_8_Chad_Beachgoer_RigIdleV2.AM_Hero_8_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_7_Chad","","/Game/Characters/Heroes/Hero_7/Chad/QuadRetro/SM_Hero_7_Chad_QuadRetro.SM_Hero_7_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.002169,Y=1.002169,Z=1.002169)","false","true"
"Hero_7_Chad_Beachgoer","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/SK_Hero_9_Chad_Beachgoer.SK_Hero_9_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/AM_Hero_9_Chad_Beachgoer_RigIdleV2.AM_Hero_9_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/AM_Hero_9_Chad_Beachgoer_RigIdleV2.AM_Hero_9_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/AM_Hero_9_Chad_Beachgoer_RigIdleV2.AM_Hero_9_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_8_Chad","","/Game/Characters/Heroes/Hero_8/Chad/QuadRetro/SM_Hero_8_Chad_QuadRetro.SM_Hero_8_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.001197,Y=1.001197,Z=1.001197)","false","true"
"Hero_8_Chad_Beachgoer","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/SK_Hero_11_Chad_Beachgoer.SK_Hero_11_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/AM_Hero_11_Chad_Beachgoer_RigIdleV2.AM_Hero_11_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/AM_Hero_11_Chad_Beachgoer_RigIdleV2.AM_Hero_11_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/AM_Hero_11_Chad_Beachgoer_RigIdleV2.AM_Hero_11_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_9_Chad","","/Game/Characters/Heroes/Hero_9/Chad/QuadRetro/SM_Hero_9_Chad_QuadRetro.SM_Hero_9_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.002341,Y=1.002341,Z=1.002341)","false","true"
"Hero_9_Chad_Beachgoer","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/SK_Hero_12_Chad_Beachgoer.SK_Hero_12_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/AM_Hero_12_Chad_Beachgoer_RigIdleV2.AM_Hero_12_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/AM_Hero_12_Chad_Beachgoer_RigIdleV2.AM_Hero_12_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/AM_Hero_12_Chad_Beachgoer_RigIdleV2.AM_Hero_12_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_10_Chad","","/Game/Characters/Heroes/Hero_10/Chad/QuadRetro/SM_Hero_10_Chad_QuadRetro.SM_Hero_10_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.004921,Y=1.004921,Z=1.004921)","false","true"
"Hero_10_Chad_Beachgoer","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/SK_Hero_13_Chad_Beachgoer.SK_Hero_13_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/AM_Hero_13_Chad_Beachgoer_RigIdleV2.AM_Hero_13_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/AM_Hero_13_Chad_Beachgoer_RigIdleV2.AM_Hero_13_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/AM_Hero_13_Chad_Beachgoer_RigIdleV2.AM_Hero_13_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_11_Chad","","/Game/Characters/Heroes/Hero_11/Chad/QuadRetro/SM_Hero_11_Chad_QuadRetro.SM_Hero_11_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.000403,Y=1.000403,Z=1.000403)","false","true"
"Hero_11_Chad_Beachgoer","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/SK_Hero_14_Chad_Beachgoer.SK_Hero_14_Chad_Beachgoer","","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/AM_Hero_14_Chad_Beachgoer_RigIdleV2.AM_Hero_14_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/AM_Hero_14_Chad_Beachgoer_RigIdleV2.AM_Hero_14_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/AM_Hero_14_Chad_Beachgoer_RigIdleV2.AM_Hero_14_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_12_Chad","","/Game/Characters/Heroes/Hero_12/Chad/QuadRetro/SM_Hero_12_Chad_QuadRetro.SM_Hero_12_Chad_QuadRetro","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90.000000,Roll=0)","(X=1.002723,Y=1.002723,Z=1.002723)","false","true"
