"Path","SHA256","LengthBytes","LastWriteTimeUtc","Role"
"C:\UE\T66_B11B12_Worktree\T66.uproject","9CCBBA3D01D998B093989D3379D7EC7D8DBEE3341786370194385127A32C47A1","1361","2026-05-28T11:59:47.1525925Z","Project descriptor / isolated build config"
"C:\UE\T66_B11B12_Worktree\Source\T66\T66.Build.cs","12B9A1D897C89E53058B42D92F2F54A4972F33E0DCD355BD9D0DE45D5792B273","3195","2026-05-28T11:59:47.1545978Z","Module dependencies / isolated build config"
"C:\UE\T66_B11B12_Worktree\Source\T66\Data\T66DataTypes.h","AF6D2257AE43AB53F34126CC12E669F8E85A1A25AABBB9806799291D02A25C7D","85108","2026-05-28T11:59:47.1545978Z","Data types affecting build/projectile/vfx includes"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66EnemyDirector.cpp","34C3B558B0A8CED76E84CC9981722C9991BEB32943B5392898F6CF287C202636","55805","2026-05-28T06:27:45.9636406Z","Basic mob routing"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66EnemyDirector.h","847EF50794B620F11BB513E446A4799EED2767AF6D887FA9ED2E2DCB16249745","6626","2026-05-26T05:37:40.0707142Z","Basic mob routing API"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66MobBase.h","6BA857A382BF63A17EC95744F00C127DDAB79A5A8F2CD077E5B0FED9E5D6A791","10155","2026-05-27T12:54:03.4781214Z","Lightweight mob VAT state / projectile fire"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66MobBase.cpp","AF279DF0748CCF765DEE275C4F459DC480A1A4560CAE477C4BA74E2300D86426","30632","2026-05-27T12:54:32.3325368Z","Lightweight mob VAT state / projectile fire"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66MobManagerSubsystem.h","3A034BAE5E07BDFF5D2488A6E50051392CD0F330F428DA4534E8C04F23F14D14","8975","2026-05-28T03:25:17.4362337Z","Manager tick/VAT/ranged diagnostics"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66MobManagerSubsystem.cpp","5E3FC414BF0D229A6EE1226C3D5D4CE53DA6DD1E2C7F6E4F6A9C097C8832B709","76461","2026-05-28T03:26:10.0652197Z","Manager tick/VAT/ranged diagnostics"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66ProjectileManagerSubsystem.h","016FC74B62A492F04A79E78A6B1043E01C3B370E001E8D60E1E208861D418E1E","7740","2026-05-28T08:21:08.0069782Z","Projectile manager diagnostics and kill-mid-flight"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66ProjectileManagerSubsystem.cpp","753BBE339997FBA705694FE3AA02CDF155E41F8B9EA68B1756FFB2CF69563D77","39394","2026-05-28T08:55:25.2618313Z","Projectile manager diagnostics and kill-mid-flight"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66PlayerController_Overlays.cpp","37D83FB5800A5A5487EBA870210FA29A125EAB2013B67BCD09A6A0E69C92BE67","222523","2026-05-28T09:11:44.9243616Z","Autocapture profile / command-line CVar setters"
"C:\UE\T66_B11B12_Worktree\Source\T66\Core\RunState\T66RunStateSubsystem_Combat.cpp","9F8D6A8852DC9E5EA3E65F295EEB87D7A936CC3EADB3F8B9B5E5DE21E933443F","29316","2026-05-28T01:44:07.1835351Z","Hero HP override and damage path"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\GameMode\T66GameMode_Tower.cpp","8E2184EDFA95482FD3DA67B1659000A9BBDB79DDB1023EAE6B0D31EFB8F6175A","21486","2026-05-28T08:46:48.1927656Z","Tower/miniboss proof"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66TowerDescentHole.h","007CCA37A3AEDD572B6C9374FA307DB6A749C381A2724A685EAAA28C8F0B9E10","1841","2026-05-28T06:26:34.5869697Z","Tower/miniboss proof"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66TowerDescentHole.cpp","89833EF2A71F9B88D93F5AFC77054367CFDFD370CDBBF239D697DCD6F3E49748","6537","2026-05-23T08:54:37.3942060Z","Tower/miniboss proof"
"C:\UE\T66_B11B12_Worktree\Source\T66\Gameplay\T66BossBase.cpp","026A7292B826EF0F19E188F061C2ED64FC35075ED9850693EFB93153CCCE9D07","63588","2026-05-28T08:17:43.4132309Z","Boss projectile source proof"
"C:\UE\T66_B11B12_Worktree\Content\Characters\Heroes\Hero_2\Chad\AnimatedToonStyle\SK_Hero_2_Chad.uasset","2E592EBB1A1811CA4ECEA4FA82A7E437EFE007E9B519A4E35B4231D1FCD5D16E","34302463","2026-05-26T23:56:36.1115713Z","Hero_2 content completeness sentinel"
"C:\UE\T66_B11B12_Worktree\Content\Characters\Heroes\Hero_2\Chad\AnimatedToonStyle\AM_Hero_2_Chad_Idle.uasset","A0C7AE998BA5FE7C3643727716D03B2C1A89CE137064A56CD2DD4125FADC1790","873259","2026-05-26T23:56:38.6358647Z","Hero_2 content completeness sentinel"
"C:\UE\T66_B11B12_Worktree\Content\Characters\Heroes\Hero_2\Chad\AnimatedToonStyle\AM_Hero_2_Chad_Walk.uasset","2425AB408A8F511EB5DFFE596CCCB52300FE09D45145D0F7D117FFE9F59E231E","1005688","2026-05-26T23:56:39.4760265Z","Hero_2 content completeness sentinel"
