---,DefinitionRowID,AttackID,PatternType,bEnabled,SequenceIndex,MinPhase,MaxPhase,ProjectileVisualProfileID,ShotCount,SpreadDegrees,DelayStepSeconds,InitialDelaySeconds,SpeedScale,SideOffsetDistance,YawOffsetDegrees,StartAngleDegrees,bRandomStartAngle,bStartAngleRelativeToTarget,bUseSecondaryTint,SpawnOffsetX,SpawnOffsetY,SpawnOffsetZ,VisualScaleMultiplier
LegacyProjectile_Sharpshooter_P0_Fan,LegacyProjectile_Sharpshooter_P0_Fan,LegacyProjectile_Sharpshooter,FanBurst,true,0,0,0,ManagedProjectile.Boss.WebNeedle,3,8,0.04,0,1.18,18,0,0,false,false,true,0,0,0,1
LegacyProjectile_Sharpshooter_P0_Center,LegacyProjectile_Sharpshooter_P0_Center,LegacyProjectile_Sharpshooter,SingleShot,true,1,0,0,ManagedProjectile.Boss.WebNeedle,1,0,0,0.16,1.36,0,0,0,false,false,false,0,0,0,1
LegacyProjectile_Sharpshooter_P1_Fan,LegacyProjectile_Sharpshooter_P1_Fan,LegacyProjectile_Sharpshooter,FanBurst,true,0,1,1,ManagedProjectile.Boss.WebNeedle,5,12,0.04,0,1.24,18,0,0,false,false,true,0,0,0,1
LegacyProjectile_Sharpshooter_P1_Center,LegacyProjectile_Sharpshooter_P1_Center,LegacyProjectile_Sharpshooter,SingleShot,true,1,1,1,ManagedProjectile.Boss.WebNeedle,1,0,0,0.16,1.44,0,0,0,false,false,false,0,0,0,1
LegacyProjectile_Sharpshooter_P2_Fan,LegacyProjectile_Sharpshooter_P2_Fan,LegacyProjectile_Sharpshooter,FanBurst,true,0,2,99,ManagedProjectile.Boss.WebNeedle,5,12,0.04,0,1.30,18,0,0,false,false,true,0,0,0,1
LegacyProjectile_Sharpshooter_P2_Center,LegacyProjectile_Sharpshooter_P2_Center,LegacyProjectile_Sharpshooter,SingleShot,true,1,2,99,ManagedProjectile.Boss.WebNeedle,1,0,0,0.16,1.52,0,0,0,false,false,false,0,0,0,1
LegacyProjectile_Sharpshooter_P2_Left,LegacyProjectile_Sharpshooter_P2_Left,LegacyProjectile_Sharpshooter,SingleShot,true,2,2,99,ManagedProjectile.Boss.WebNeedle,1,0,0,0.28,1.24,0,-6,0,false,false,true,0,0,0,1
LegacyProjectile_Sharpshooter_P2_Right,LegacyProjectile_Sharpshooter_P2_Right,LegacyProjectile_Sharpshooter,SingleShot,true,3,2,99,ManagedProjectile.Boss.WebNeedle,1,0,0,0.32,1.24,0,6,0,false,false,true,0,0,0,1
LegacyProjectile_Balanced_P0_Fan,LegacyProjectile_Balanced_P0_Fan,LegacyProjectile_Balanced,FanBurst,true,0,0,0,,3,14,0.06,0,1.00,36,0,0,false,false,false,0,0,0,1
LegacyProjectile_Balanced_P1_Fan,LegacyProjectile_Balanced_P1_Fan,LegacyProjectile_Balanced,FanBurst,true,0,1,1,,5,18,0.06,0,1.06,36,0,0,false,false,false,0,0,0,1
LegacyProjectile_Balanced_P1_Center,LegacyProjectile_Balanced_P1_Center,LegacyProjectile_Balanced,SingleShot,true,1,1,1,,1,0,0,0.22,1.18,0,0,0,false,false,true,0,0,0,1
LegacyProjectile_Balanced_P2_Fan,LegacyProjectile_Balanced_P2_Fan,LegacyProjectile_Balanced,FanBurst,true,0,2,99,,6,22,0.06,0,1.12,36,0,0,false,false,false,0,0,0,1
LegacyProjectile_Balanced_P2_Center,LegacyProjectile_Balanced_P2_Center,LegacyProjectile_Balanced,SingleShot,true,1,2,99,,1,0,0,0.22,1.18,0,0,0,false,false,true,0,0,0,1
LegacyProjectile_Balanced_P2_TightFan,LegacyProjectile_Balanced_P2_TightFan,LegacyProjectile_Balanced,FanBurst,true,2,2,99,,3,10,0.05,0.34,1.24,0,0,0,false,false,true,0,0,0,1
LegacyProjectile_Juggernaut_P0_Fan,LegacyProjectile_Juggernaut_P0_Fan,LegacyProjectile_Juggernaut,FanBurst,true,0,0,0,,5,30,0.05,0,0.94,46,0,0,false,false,false,0,0,0,1
LegacyProjectile_Juggernaut_P0_Radial,LegacyProjectile_Juggernaut_P0_Radial,LegacyProjectile_Juggernaut,RadialBurst,true,1,0,0,,6,0,0.025,0.18,0.76,0,0,0,true,false,true,0,0,0,1
LegacyProjectile_Juggernaut_P1_Fan,LegacyProjectile_Juggernaut_P1_Fan,LegacyProjectile_Juggernaut,FanBurst,true,0,1,1,,7,34,0.05,0,0.99,46,0,0,false,false,false,0,0,0,1
LegacyProjectile_Juggernaut_P1_Radial,LegacyProjectile_Juggernaut_P1_Radial,LegacyProjectile_Juggernaut,RadialBurst,true,1,1,1,,8,0,0.025,0.18,0.81,0,0,0,true,false,true,0,0,0,1
LegacyProjectile_Juggernaut_P2_Fan,LegacyProjectile_Juggernaut_P2_Fan,LegacyProjectile_Juggernaut,FanBurst,true,0,2,99,,7,38,0.05,0,1.04,46,0,0,false,false,false,0,0,0,1
LegacyProjectile_Juggernaut_P2_Radial,LegacyProjectile_Juggernaut_P2_Radial,LegacyProjectile_Juggernaut,RadialBurst,true,1,2,99,,10,0,0.025,0.18,0.86,0,0,0,true,false,true,0,0,0,1
LegacyProjectile_Duelist_BaseLeft,LegacyProjectile_Duelist_BaseLeft,LegacyProjectile_Duelist,SingleShot,true,0,0,99,,1,0,0,0,1.12,-52,-10,0,false,false,false,0,0,0,1
