---,AttackRowID,BossID,AttackID,OwningPartID,RequiredPartIDs,bSelectable,SelectionWeight,MinPhase,MaxPhase
Dungeon_SewerSlimeKing_LeftLobeVolley,Dungeon_SewerSlimeKing_LeftLobeVolley,Dungeon_SewerSlimeKing,SewerSlime_LobeVolley,LeftLobe,,true,1.0,0,99
Dungeon_SewerSlimeKing_RightLobeVolley,Dungeon_SewerSlimeKing_RightLobeVolley,Dungeon_SewerSlimeKing,SewerSlime_LobeVolley,RightLobe,,true,1.0,0,99
Dungeon_SewerSlimeKing_LeftBaseLaneBlocker,Dungeon_SewerSlimeKing_LeftBaseLaneBlocker,Dungeon_SewerSlimeKing,SewerSlime_LaneBlocker,LeftBase,,true,1.0,0,99
Dungeon_SewerSlimeKing_RightBaseLaneBlocker,Dungeon_SewerSlimeKing_RightBaseLaneBlocker,Dungeon_SewerSlimeKing,SewerSlime_LaneBlocker,RightBase,,true,1.0,0,99
Dungeon_SewerSlimeKing_MouthProjectile,Dungeon_SewerSlimeKing_MouthProjectile,Dungeon_SewerSlimeKing,SewerSlime_MouthProjectile,MouthCore,,true,1.0,0,99
Dungeon_SewerSlimeKing_MouthSidecar,Dungeon_SewerSlimeKing_MouthSidecar,Dungeon_SewerSlimeKing,SewerSlime_MouthSidecar,MouthCore,,false,1.0,0,99
Dungeon_WebMatriarch_LegacyProjectile,Dungeon_WebMatriarch_LegacyProjectile,Dungeon_WebMatriarch,LegacyProjectile_Sharpshooter,Head,,true,1.0,0,99
Dungeon_WebMatriarch_LegacyGroundAOE,Dungeon_WebMatriarch_LegacyGroundAOE,Dungeon_WebMatriarch,LegacyGroundAOE_Sharpshooter,Core,,true,1.0,0,99
Dungeon_BoneJailer_LegacyProjectile,Dungeon_BoneJailer_LegacyProjectile,Dungeon_BoneJailer,LegacyProjectile_Balanced,Head,,true,1.0,0,99
Dungeon_BoneJailer_LegacyGroundAOE,Dungeon_BoneJailer_LegacyGroundAOE,Dungeon_BoneJailer,LegacyGroundAOE_Balanced,Core,,true,1.0,0,99
Dungeon_BaelFallenChad_LegacyProjectile,Dungeon_BaelFallenChad_LegacyProjectile,Dungeon_BaelFallenChad,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
Dungeon_BaelFallenChad_LegacyGroundAOE,Dungeon_BaelFallenChad_LegacyGroundAOE,Dungeon_BaelFallenChad,LegacyGroundAOE_Duelist,Core,,true,1.0,0,99
Forest_BrambleTreant_LegacyProjectile,Forest_BrambleTreant_LegacyProjectile,Forest_BrambleTreant,LegacyProjectile_Juggernaut,RightArm,,true,1.0,0,99
Forest_BrambleTreant_LegacyGroundAOE,Forest_BrambleTreant_LegacyGroundAOE,Forest_BrambleTreant,LegacyGroundAOE_Juggernaut,Core,,true,1.0,0,99
Forest_MyconidQueen_LegacyProjectile,Forest_MyconidQueen_LegacyProjectile,Forest_MyconidQueen,LegacyProjectile_Sharpshooter,Head,,true,1.0,0,99
Forest_MyconidQueen_LegacyGroundAOE,Forest_MyconidQueen_LegacyGroundAOE,Forest_MyconidQueen,LegacyGroundAOE_Sharpshooter,Core,,true,1.0,0,99
Forest_ThornHive_LegacyProjectile,Forest_ThornHive_LegacyProjectile,Forest_ThornHive,LegacyProjectile_Balanced,Head,,true,1.0,0,99
Forest_ThornHive_LegacyGroundAOE,Forest_ThornHive_LegacyGroundAOE,Forest_ThornHive,LegacyGroundAOE_Balanced,Core,,true,1.0,0,99
Forest_BuerVerdantChad_LegacyProjectile,Forest_BuerVerdantChad_LegacyProjectile,Forest_BuerVerdantChad,LegacyProjectile_Duelist,RightArm,,true,1.0,0,99
