---,BossEncounterID,BossID,MemberIndex,RoleID,SpawnWeight,SpawnOffset
Encounter_Stage_01_Primary,Encounter_Stage_01,Dungeon_SewerSlimeKing,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_02_Primary,Encounter_Stage_02,Dungeon_WebMatriarch,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_03_Primary,Encounter_Stage_03,Dungeon_BoneJailer,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_04_Primary,Encounter_Stage_04,Dungeon_BaelFallenChad,0,FinaleChad,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_05_Primary,Encounter_Stage_05,Forest_BrambleTreant,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_06_Primary,Encounter_Stage_06,Forest_MyconidQueen,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_07_Primary,Encounter_Stage_07,Forest_ThornHive,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_08_Primary,Encounter_Stage_08,Forest_BuerVerdantChad,0,FinaleChad,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_09_Primary,Encounter_Stage_09,Ocean_ReefCrabColossus,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_10_Primary,Encounter_Stage_10,Ocean_AbyssalJellyfish,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_11_Primary,Encounter_Stage_11,Ocean_DrownedCaptain,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_12_Primary,Encounter_Stage_12,Ocean_FocalorDrownedChad,0,FinaleChad,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_13_Primary,Encounter_Stage_13,Martian_RedSandBehemoth,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_14_Primary,Encounter_Stage_14,Martian_CrystalMantis,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_15_Primary,Encounter_Stage_15,Martian_PlasmaSaucerPrime,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_16_Primary,Encounter_Stage_16,Martian_StolasAstralChad,0,FinaleChad,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_17_Conquest,Encounter_Stage_17,Hell_Horseman_Conquest,0,Horseman,1.0,"(X=760.0,Y=0.0,Z=0.0)"
Encounter_Stage_17_War,Encounter_Stage_17,Hell_Horseman_War,1,Horseman,1.0,"(X=0.0,Y=760.0,Z=0.0)"
Encounter_Stage_17_Famine,Encounter_Stage_17,Hell_Horseman_Famine,2,Horseman,1.0,"(X=-760.0,Y=0.0,Z=0.0)"
Encounter_Stage_17_Death,Encounter_Stage_17,Hell_Horseman_Death,3,Horseman,1.0,"(X=0.0,Y=-760.0,Z=0.0)"
Encounter_Stage_18_Primary,Encounter_Stage_18,Hell_FalseProphet,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_19_Primary,Encounter_Stage_19,Hell_Antichrist,0,Primary,1.0,"(X=0.0,Y=0.0,Z=0.0)"
Encounter_Stage_20_Primary,Encounter_Stage_20,Hell_GreatDragon,0,ApocalypseFinale,1.0,"(X=0.0,Y=0.0,Z=0.0)"
