"---","BindingID","SourceType","SourceID","AttackCategory","NiagaraSystem","ProjectileMesh","ProjectileMeshCount","ProjectileMeshScale","ProjectileMeshTravelSpeed","EffectPacketID","VFXProfile","bSuppressTemporaryProjectile","bDevelopmentFallbackAllowed","BaseVisualRadius","BasePlaybackSeconds","VisualScaleMultiplier","Notes"
"Hero1Axe_AOE_Base","Hero1Axe_AOE_Base","WeaponBase","Hero_1_black_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","/Game/Weapons/Projectiles/FriendSlop/SM_WeaponProjectile_Black.SM_WeaponProjectile_Black","1","1.0","0.0","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","Accepted Hero 1 Black AOE slash production binding; idol overlays deferred."
"Hero3_AOE_Black_Placeholder","Hero3_AOE_Black_Placeholder","WeaponBase","Hero_3_black_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","","","","","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","FLAGGED placeholder reuse: Hero 3 Black AOE temporarily reuses the accepted Hero 1 AOE slash binding until hero-specific VFX is authored."
"Hero4_Bounce_Black_Base","Hero4_Bounce_Black_Base","WeaponBase","Hero_4_black_bounce","Bounce","/Game/VFX/Hero1/Axe/Bounce/NS_Hero1AxeBounce_MeshSlash.NS_Hero1AxeBounce_MeshSlash","","","","","Hero1AxeBounceMechanismPacket","MeshSlashBounce","True","True","80.0","0.32","1.0","Reclassified Bounce exemplar: Hero 4 Black Bounce uses the accepted Hero 1 Bounce lane VFX until hero-specific VFX is authored."
"Hero5_DOT_Black_Base","Hero5_DOT_Black_Base","WeaponBase","Hero_5_black_dot","DOT","/Game/VFX/Hero1/Axe/DOT/NS_Hero1AxeDOT_MeshSlash.NS_Hero1AxeDOT_MeshSlash","","","","","Hero1AxeDOTMechanismPacket","MeshSlashDOT","True","True","80.0","0.6","1.0","Reclassified DOT exemplar: Hero 5 Black DOT uses the accepted Hero 1 DOT lane VFX until hero-specific VFX is authored."
"Hero1Axe_AOE_Base_Red","Hero1Axe_AOE_Base_Red","WeaponBase","Hero_1_red_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","/Game/Weapons/Projectiles/FriendSlop/SM_WeaponProjectile_Black.SM_WeaponProjectile_Black","1","1.0","0.0","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","Accepted Hero 1 Red AOE slash production binding; idol overlays deferred."
"Hero1Axe_AOE_Base_Yellow","Hero1Axe_AOE_Base_Yellow","WeaponBase","Hero_1_yellow_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","/Game/Weapons/Projectiles/FriendSlop/SM_WeaponProjectile_Black.SM_WeaponProjectile_Black","1","1.0","0.0","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","Accepted Hero 1 Yellow AOE slash production binding; idol overlays deferred."
"Hero1Axe_AOE_Base_White","Hero1Axe_AOE_Base_White","WeaponBase","Hero_1_white_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","/Game/Weapons/Projectiles/FriendSlop/SM_WeaponProjectile_Black.SM_WeaponProjectile_Black","1","2.25","0.0","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","Accepted Hero 1 White AOE slash production binding; idol overlays deferred."
"Hero3_AOE_Black_Placeholder_Red","Hero3_AOE_Black_Placeholder_Red","WeaponBase","Hero_3_red_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","","","","","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","FLAGGED placeholder reuse: Hero 3 Red AOE temporarily reuses the accepted Hero 1 AOE slash binding until hero-specific VFX is authored."
"Hero3_AOE_Black_Placeholder_Yellow","Hero3_AOE_Black_Placeholder_Yellow","WeaponBase","Hero_3_yellow_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","","","","","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","FLAGGED placeholder reuse: Hero 3 Yellow AOE temporarily reuses the accepted Hero 1 AOE slash binding until hero-specific VFX is authored."
"Hero3_AOE_Black_Placeholder_White","Hero3_AOE_Black_Placeholder_White","WeaponBase","Hero_3_white_aoe","AOE","/Game/VFX/Hero1/Axe/AOE/NS_Hero1AxeAOE_MeshSlash.NS_Hero1AxeAOE_MeshSlash","","","","","Hero1AxeAOESlashMechanismPacket","MeshSlashAOE","True","True","411.4","0.46","1.0","FLAGGED placeholder reuse: Hero 3 White AOE temporarily reuses the accepted Hero 1 AOE slash binding until hero-specific VFX is authored."
"Hero4_Bounce_Black_Base_Red","Hero4_Bounce_Black_Base_Red","WeaponBase","Hero_4_red_bounce","Bounce","/Game/VFX/Hero1/Axe/Bounce/NS_Hero1AxeBounce_MeshSlash.NS_Hero1AxeBounce_MeshSlash","","","","","Hero1AxeBounceMechanismPacket","MeshSlashBounce","True","True","80.0","0.32","1.0","Reclassified Bounce exemplar: Hero 4 Red Bounce uses the accepted Hero 1 Bounce lane VFX until hero-specific VFX is authored."
"Hero4_Bounce_Black_Base_Yellow","Hero4_Bounce_Black_Base_Yellow","WeaponBase","Hero_4_yellow_bounce","Bounce","/Game/VFX/Hero1/Axe/Bounce/NS_Hero1AxeBounce_MeshSlash.NS_Hero1AxeBounce_MeshSlash","","","","","Hero1AxeBounceMechanismPacket","MeshSlashBounce","True","True","80.0","0.32","1.0","Reclassified Bounce exemplar: Hero 4 Yellow Bounce uses the accepted Hero 1 Bounce lane VFX until hero-specific VFX is authored."
"Hero4_Bounce_Black_Base_White","Hero4_Bounce_Black_Base_White","WeaponBase","Hero_4_white_bounce","Bounce","/Game/VFX/Hero1/Axe/Bounce/NS_Hero1AxeBounce_MeshSlash.NS_Hero1AxeBounce_MeshSlash","","","","","Hero1AxeBounceMechanismPacket","MeshSlashBounce","True","True","80.0","0.32","1.0","Reclassified Bounce exemplar: Hero 4 White Bounce uses the accepted Hero 1 Bounce lane VFX until hero-specific VFX is authored."
"Hero5_DOT_Black_Base_Red","Hero5_DOT_Black_Base_Red","WeaponBase","Hero_5_red_dot","DOT","/Game/VFX/Hero1/Axe/DOT/NS_Hero1AxeDOT_MeshSlash.NS_Hero1AxeDOT_MeshSlash","","","","","Hero1AxeDOTMechanismPacket","MeshSlashDOT","True","True","80.0","0.6","1.0","Reclassified DOT exemplar: Hero 5 Red DOT uses the accepted Hero 1 DOT lane VFX until hero-specific VFX is authored."
"Hero5_DOT_Black_Base_Yellow","Hero5_DOT_Black_Base_Yellow","WeaponBase","Hero_5_yellow_dot","DOT","/Game/VFX/Hero1/Axe/DOT/NS_Hero1AxeDOT_MeshSlash.NS_Hero1AxeDOT_MeshSlash","","","","","Hero1AxeDOTMechanismPacket","MeshSlashDOT","True","True","80.0","0.6","1.0","Reclassified DOT exemplar: Hero 5 Yellow DOT uses the accepted Hero 1 DOT lane VFX until hero-specific VFX is authored."
"Hero5_DOT_Black_Base_White","Hero5_DOT_Black_Base_White","WeaponBase","Hero_5_white_dot","DOT","/Game/VFX/Hero1/Axe/DOT/NS_Hero1AxeDOT_MeshSlash.NS_Hero1AxeDOT_MeshSlash","","","","","Hero1AxeDOTMechanismPacket","MeshSlashDOT","True","True","80.0","0.6","1.0","Reclassified DOT exemplar: Hero 5 White DOT uses the accepted Hero 1 DOT lane VFX until hero-specific VFX is authored."
