Name,Rank,PlayerName,PlayerNames,Score,TimeSeconds,HeroID,PartySize,Difficulty,StageReached,bIsLocalPlayer,EntryId,bHasRunSummary,AvatarUrl
Streamer_01,1,TTV_GodGamer,,2200,0,,Solo,Easy,0,False,,False,
Streamer_02,2,YT_ProPlays,,2050,0,,Solo,Easy,0,False,,False,
Streamer_03,3,Twitch_Legend,,1900,0,,Solo,Easy,0,False,,False,
Streamer_04,4,StreamKing99,,1760,0,,Solo,Easy,0,False,,False,
Streamer_05,5,ContentQueen,,1620,0,,Solo,Easy,0,False,,False,
Streamer_06,6,LiveWire_TV,,1480,0,,Solo,Easy,0,False,,False,
Streamer_07,7,ClickbaitCarl,,1350,0,,Solo,Easy,0,False,,False,
Streamer_08,8,SubGoalSam,,1220,0,,Solo,Easy,0,False,,False,
Streamer_09,9,DonationDan,,1100,0,,Solo,Easy,0,False,,False,
Streamer_10,10,F2P_Freddy,,980,0,,Solo,Easy,0,False,,False,
Streamer_11,11,PatchNotesPat,,910,0,,Solo,Easy,0,False,,False,
Streamer_12,12,MetaMelter,,845,0,,Solo,Easy,0,False,,False,
Streamer_13,13,ClipFarmer,,790,0,,Solo,Easy,0,False,,False,
Streamer_14,14,RaidTrainRay,,735,0,,Solo,Easy,0,False,,False,
Streamer_15,15,HighlightHex,,680,0,,Solo,Easy,0,False,,False,
