"---","EnemyID","StaticMesh","Material","PixelatedTextureAssetPath","PositionTexture","NormalTexture","MeshRelativeLocation","MeshRelativeRotation","MeshRelativeScale","bEnabled","SampleRate","NumFrames","RowsPerFrame","MinBBox","SizeBBox","IdleStartFrame","IdleEndFrame","IdlePlayRate","MoveStartFrame","MoveEndFrame","MovePlayRate","AttackCueStartFrame","AttackCueEndFrame","AttackCuePlayRate","HitReactStartFrame","HitReactEndFrame","HitReactPlayRate","DeathStartFrame","DeathEndFrame","DeathPlayRate"
"Slime","Slime","/Game/Characters/MobsVAT/Slime/SM_EasyMobVAT_Slime.SM_EasyMobVAT_Slime","/Game/Characters/MobsVAT/Slime/MI_EasyMobVAT_Slime.MI_EasyMobVAT_Slime","/Game/Characters/Mobs/Slime/T_Slime.T_Slime","/Game/Characters/MobsVAT/Slime/TX_EasyMobVAT_Slime_Position.TX_EasyMobVAT_Slime_Position","/Game/Characters/MobsVAT/Slime/TX_EasyMobVAT_Slime_Normal.TX_EasyMobVAT_Slime_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.834685,Y=1.834685,Z=1.834685)","false","30.000000","195","4","(X=-6.116116,Y=-26.833378,Z=-2.883978)","(X=12.243759,Y=40.994175,Z=11.459732)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"CaveBat","CaveBat","/Game/Characters/MobsVAT/CaveBat/SM_EasyMobVAT_CaveBat.SM_EasyMobVAT_CaveBat","/Game/Characters/MobsVAT/CaveBat/MI_EasyMobVAT_CaveBat.MI_EasyMobVAT_CaveBat","/Game/Characters/Mobs/CaveBat/T_CaveBat.T_CaveBat","/Game/Characters/MobsVAT/CaveBat/TX_EasyMobVAT_CaveBat_Position.TX_EasyMobVAT_CaveBat_Position","/Game/Characters/MobsVAT/CaveBat/TX_EasyMobVAT_CaveBat_Normal.TX_EasyMobVAT_CaveBat_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.824371,Y=1.824371,Z=1.824371)","false","30.000000","195","4","(X=-7.692265,Y=-21.816103,Z=-16.878448)","(X=15.397871,Y=37.022793,Z=28.722343)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"BoneWalker","BoneWalker","/Game/Characters/MobsVAT/BoneWalker/SM_EasyMobVAT_BoneWalker.SM_EasyMobVAT_BoneWalker","/Game/Characters/MobsVAT/BoneWalker/MI_EasyMobVAT_BoneWalker.MI_EasyMobVAT_BoneWalker","/Game/Characters/Mobs/BoneWalker/T_BoneWalker.T_BoneWalker","/Game/Characters/MobsVAT/BoneWalker/TX_EasyMobVAT_BoneWalker_Position.TX_EasyMobVAT_BoneWalker_Position","/Game/Characters/MobsVAT/BoneWalker/TX_EasyMobVAT_BoneWalker_Normal.TX_EasyMobVAT_BoneWalker_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.999062,Y=1.999062,Z=1.999062)","false","30.000000","195","4","(X=-3.196607,Y=-11.681641,Z=-1.260644)","(X=6.465236,Y=18.808737,Z=4.688066)","0","59","1.000000","60","99","1.600000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"RatPack","RatPack","/Game/Characters/MobsVAT/RatPack/SM_EasyMobVAT_RatPack.SM_EasyMobVAT_RatPack","/Game/Characters/MobsVAT/RatPack/MI_EasyMobVAT_RatPack.MI_EasyMobVAT_RatPack","/Game/Characters/Mobs/RatPack/T_RatPack.T_RatPack","/Game/Characters/MobsVAT/RatPack/TX_EasyMobVAT_RatPack_Position.TX_EasyMobVAT_RatPack_Position","/Game/Characters/MobsVAT/RatPack/TX_EasyMobVAT_RatPack_Normal.TX_EasyMobVAT_RatPack_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.829114,Y=1.829114,Z=1.829114)","false","30.000000","195","4","(X=-2.116250,Y=-33.034832,Z=-8.453156)","(X=5.357234,Y=37.490776,Z=11.098918)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"TombSpider","TombSpider","/Game/Characters/MobsVAT/TombSpider/SM_EasyMobVAT_TombSpider.SM_EasyMobVAT_TombSpider","/Game/Characters/MobsVAT/TombSpider/MI_EasyMobVAT_TombSpider.MI_EasyMobVAT_TombSpider","/Game/Characters/Mobs/TombSpider/T_TombSpider.T_TombSpider","/Game/Characters/MobsVAT/TombSpider/TX_EasyMobVAT_TombSpider_Position.TX_EasyMobVAT_TombSpider_Position","/Game/Characters/MobsVAT/TombSpider/TX_EasyMobVAT_TombSpider_Normal.TX_EasyMobVAT_TombSpider_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.955138,Y=1.955138,Z=1.955138)","false","30.000000","195","4","(X=-7.338154,Y=-20.513277,Z=-9.566699)","(X=13.954214,Y=25.948471,Z=18.476528)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"HexSlinger","HexSlinger","/Game/Characters/MobsVAT/HexSlinger/SM_EasyMobVAT_HexSlinger.SM_EasyMobVAT_HexSlinger","/Game/Characters/MobsVAT/HexSlinger/MI_EasyMobVAT_HexSlinger.MI_EasyMobVAT_HexSlinger","/Game/Characters/Mobs/HexSlinger/T_HexSlinger.T_HexSlinger","/Game/Characters/MobsVAT/HexSlinger/TX_EasyMobVAT_HexSlinger_Position.TX_EasyMobVAT_HexSlinger_Position","/Game/Characters/MobsVAT/HexSlinger/TX_EasyMobVAT_HexSlinger_Normal.TX_EasyMobVAT_HexSlinger_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.880113,Y=1.880113,Z=1.880113)","false","30.000000","195","4","(X=-4.782134,Y=-41.596165,Z=-10.086565)","(X=7.075362,Y=46.840801,Z=11.535566)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"StoneSentinel","StoneSentinel","/Game/Characters/MobsVAT/StoneSentinel/SM_EasyMobVAT_StoneSentinel.SM_EasyMobVAT_StoneSentinel","/Game/Characters/MobsVAT/StoneSentinel/MI_EasyMobVAT_StoneSentinel.MI_EasyMobVAT_StoneSentinel","/Game/Characters/Mobs/StoneSentinel/T_StoneSentinel.T_StoneSentinel","/Game/Characters/MobsVAT/StoneSentinel/TX_EasyMobVAT_StoneSentinel_Position.TX_EasyMobVAT_StoneSentinel_Position","/Game/Characters/MobsVAT/StoneSentinel/TX_EasyMobVAT_StoneSentinel_Normal.TX_EasyMobVAT_StoneSentinel_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=2.089124,Y=2.089124,Z=2.089124)","false","30.000000","195","4","(X=-4.488442,Y=-39.711914,Z=-13.971790)","(X=6.225739,Y=45.322311,Z=17.906841)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"MimicLure","MimicLure","/Game/Characters/MobsVAT/MimicLure/SM_EasyMobVAT_MimicLure.SM_EasyMobVAT_MimicLure","/Game/Characters/MobsVAT/MimicLure/MI_EasyMobVAT_MimicLure.MI_EasyMobVAT_MimicLure","/Game/Characters/Mobs/MimicLure/T_MimicLure.T_MimicLure","/Game/Characters/MobsVAT/MimicLure/TX_EasyMobVAT_MimicLure_Position.TX_EasyMobVAT_MimicLure_Position","/Game/Characters/MobsVAT/MimicLure/TX_EasyMobVAT_MimicLure_Normal.TX_EasyMobVAT_MimicLure_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=2.174346,Y=2.174346,Z=2.174346)","false","30.000000","195","4","(X=-3.987398,Y=-39.471836,Z=-11.264000)","(X=7.547905,Y=43.928471,Z=17.784260)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"BoneConjurer","BoneConjurer","/Game/Characters/MobsVAT/BoneConjurer/SM_EasyMobVAT_BoneConjurer.SM_EasyMobVAT_BoneConjurer","/Game/Characters/MobsVAT/BoneConjurer/MI_EasyMobVAT_BoneConjurer.MI_EasyMobVAT_BoneConjurer","/Game/Characters/Mobs/BoneConjurer/T_BoneConjurer.T_BoneConjurer","/Game/Characters/MobsVAT/BoneConjurer/TX_EasyMobVAT_BoneConjurer_Position.TX_EasyMobVAT_BoneConjurer_Position","/Game/Characters/MobsVAT/BoneConjurer/TX_EasyMobVAT_BoneConjurer_Normal.TX_EasyMobVAT_BoneConjurer_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=2.065492,Y=2.065492,Z=2.065492)","false","30.000000","195","4","(X=-4.443047,Y=-39.214104,Z=-9.875961)","(X=8.833704,Y=44.874664,Z=14.995824)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
"CryptWraith","CryptWraith","/Game/Characters/MobsVAT/CryptWraith/SM_EasyMobVAT_CryptWraith.SM_EasyMobVAT_CryptWraith","/Game/Characters/MobsVAT/CryptWraith/MI_EasyMobVAT_CryptWraith.MI_EasyMobVAT_CryptWraith","/Game/Characters/Mobs/CryptWraith/T_CryptWraith.T_CryptWraith","/Game/Characters/MobsVAT/CryptWraith/TX_EasyMobVAT_CryptWraith_Position.TX_EasyMobVAT_CryptWraith_Position","/Game/Characters/MobsVAT/CryptWraith/TX_EasyMobVAT_CryptWraith_Normal.TX_EasyMobVAT_CryptWraith_Normal","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90.000000,Roll=0)","(X=1.973075,Y=1.973075,Z=1.973075)","false","30.000000","195","4","(X=-4.303176,Y=-41.710175,Z=-10.126427)","(X=8.758765,Y=47.225895,Z=16.480705)","0","59","1.000000","60","99","1.000000","100","129","1.000000","130","149","1.000000","150","194","1.000000"
