---,TuningKey,Value
LevelHealthAdd,LevelHealthAdd,6
LevelHealAdd,LevelHealAdd,5
LevelDamageAdd,LevelDamageAdd,0.35
LevelAttackSpeedAdd,LevelAttackSpeedAdd,0.12
LevelMoveSpeedAdd,LevelMoveSpeedAdd,18
BaseCritChance,BaseCritChance,0.05
BaseCritDamageMultiplier,BaseCritDamageMultiplier,1.5
HeroMinBaseDamage,HeroMinBaseDamage,2
HeroMinBaseAttackSpeed,HeroMinBaseAttackSpeed,1
HeroAttackRangeBase,HeroAttackRangeBase,1100
HeroSpeedRangeScalar,HeroSpeedRangeScalar,120
HeroMoveSpeedBase,HeroMoveSpeedBase,700
HeroMoveSpeedScalar,HeroMoveSpeedScalar,120
HeroMaxHealthBase,HeroMaxHealthBase,90
HeroArmorHealthScalar,HeroArmorHealthScalar,6
UltimateCooldownBase,UltimateCooldownBase,16
UltimateCooldownPerWave,UltimateCooldownPerWave,1.1
AutoAttackCooldownMin,AutoAttackCooldownMin,0.22
AutoAttackCooldownNumerator,AutoAttackCooldownNumerator,1.20
AutoAttackLevelSpeedScalar,AutoAttackLevelSpeedScalar,0.08
BasicDamageBaseScalar,BasicDamageBaseScalar,0.95
BasicDamageLevelScalar,BasicDamageLevelScalar,0.45
BasicProjectileSpeed,BasicProjectileSpeed,2400
BasicProjectileRadius,BasicProjectileRadius,180
BasicProjectileDotInterval,BasicProjectileDotInterval,0.5
BasicShotVfxCooldown,BasicShotVfxCooldown,0.08
ItemDamageStatAdd,ItemDamageStatAdd,1.6
ItemAttackSpeedAdd,ItemAttackSpeedAdd,0.22
ItemAoeRadiusAdd,ItemAoeRadiusAdd,70
ItemDotDamageAdd,ItemDotDamageAdd,1
ItemAttackRangeAdd,ItemAttackRangeAdd,110
ItemCritChanceAdd,ItemCritChanceAdd,0.05
ItemCritDamageAdd,ItemCritDamageAdd,0.30
ItemArmorAdd,ItemArmorAdd,1.4
ItemRegenAdd,ItemRegenAdd,1.2
ItemLifeStealChanceAdd,ItemLifeStealChanceAdd,0.08
ItemEvasionChanceAdd,ItemEvasionChanceAdd,0.06
ItemCheatingHealthAdd,ItemCheatingHealthAdd,18
ItemBonusDamageMultiplierAdd,ItemBonusDamageMultiplierAdd,0.06
ItemCounterArmorAdd,ItemCounterArmorAdd,0.75
ItemCounterDamageAdd,ItemCounterDamageAdd,0.4
ItemLuckAdd,ItemLuckAdd,0.8
ItemAlchemyLuckAdd,ItemAlchemyLuckAdd,0.6
ItemAlchemyMaterialGainAdd,ItemAlchemyMaterialGainAdd,0.15
NextLevelBase,NextLevelBase,18
NextLevelPerLevel,NextLevelPerLevel,10
PickupMagnetBaseRadius,PickupMagnetBaseRadius,420
PickupMagnetLuckRadiusScalar,PickupMagnetLuckRadiusScalar,18
PickupMagnetBasePullSpeed,PickupMagnetBasePullSpeed,620
PickupMagnetLuckPullSpeedScalar,PickupMagnetLuckPullSpeedScalar,24
PostBossDelaySeconds,PostBossDelaySeconds,2
MaxWavesPerDifficulty,MaxWavesPerDifficulty,5
AutosaveInterval,AutosaveInterval,1
SpawnIntervalFallback,SpawnIntervalFallback,1.2
SpawnRateScalarMin,SpawnRateScalarMin,0.65
SpawnIntervalMin,SpawnIntervalMin,0.28
InteractableIntervalFallback,InteractableIntervalFallback,18
TrapIntervalBase,TrapIntervalBase,13.5
TrapIntervalPerWave,TrapIntervalPerWave,1.25
TrapIntervalMin,TrapIntervalMin,5.5
TrapSpawnRateScalarMin,TrapSpawnRateScalarMin,0.75
TrapSpawnMinDistance,TrapSpawnMinDistance,360
TrapSpawnMaxDistance,TrapSpawnMaxDistance,980
TrapRadiusBase,TrapRadiusBase,180
TrapRadiusPerWave,TrapRadiusPerWave,24
TrapRadiusRandomMax,TrapRadiusRandomMax,80
TrapDamageBase,TrapDamageBase,7
TrapDamagePerWave,TrapDamagePerWave,1.3
TrapWarmupBase,TrapWarmupBase,0.95
TrapWarmupRandomMax,TrapWarmupRandomMax,0.35
TrapActiveBase,TrapActiveBase,3.8
TrapActivePerWave,TrapActivePerWave,0.28
TrapPulseIntervalBase,TrapPulseIntervalBase,0.72
TrapPulseIntervalPerWave,TrapPulseIntervalPerWave,0.04
TrapPulseIntervalMin,TrapPulseIntervalMin,0.28
TrapVariantMax,TrapVariantMax,2
BossTelegraphRadius,BossTelegraphRadius,260
BossTelegraphFallbackSeconds,BossTelegraphFallbackSeconds,1.2
BossPreferredRange,BossPreferredRange,960
BossSpawnOffsetScalar,BossSpawnOffsetScalar,0.72
BossFallbackOffsetScalar,BossFallbackOffsetScalar,0.70
BossWaveScalarBase,BossWaveScalarBase,1
BossWaveScalarPerWave,BossWaveScalarPerWave,0.14
EnemyProgressScalarBase,EnemyProgressScalarBase,1
EnemyProgressScalarPerWave,EnemyProgressScalarPerWave,0.16
EnemyRangedFireSpawnRateMin,EnemyRangedFireSpawnRateMin,0.80
BossFireIntervalScalarMin,BossFireIntervalScalarMin,0.85
VendorRerollBaseCost,VendorRerollBaseCost,12
VendorRerollCostPerReroll,VendorRerollCostPerReroll,6
VendorRerollAnger,VendorRerollAnger,0.08
VendorOfferCount,VendorOfferCount,4
BorrowDebtFlatMin,BorrowDebtFlatMin,6
