t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0054,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.23,-14.41,112.16,712.55,631.01,530.96,-24.41,160.84,0.00,2.53,-0.04
0.0118,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.53,-18.89,117.89,733.37,782.45,636.68,216.87,167.56,0.00,2.54,-0.05
0.0166,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.48,-20.32,122.66,901.32,784.95,633.33,-54.17,170.67,0.00,2.54,-0.05
0.0218,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.19,-22.81,127.84,846.12,971.12,640.60,278.75,178.18,0.00,2.54,-0.06
0.0275,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.06,-25.43,134.08,1007.19,757.07,724.03,-75.74,182.07,0.00,2.53,-0.04
0.0330,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.82,-26.55,139.62,816.75,897.81,648.44,332.59,191.01,0.00,2.52,-0.05
0.0380,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.40,-28.60,144.57,959.42,695.34,758.14,-81.95,192.59,0.00,2.49,-0.03
0.0441,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.91,-24.73,149.25,473.55,748.13,593.64,368.36,205.72,0.00,2.46,-0.03
0.0493,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,876.66,-25.32,151.59,316.26,1135.93,597.76,-208.43,207.75,0.00,2.35,0.14
0.0549,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,922.76,-46.32,158.73,766.24,2213.31,1674.62,209.40,205.17,0.00,2.18,0.41
0.0608,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,956.80,-79.84,166.84,1440.81,3876.83,3594.05,-299.52,212.50,0.00,1.78,0.62
0.0661,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1001.67,-111.10,174.37,1197.75,6483.37,7598.71,375.68,228.89,0.00,1.19,0.91
0.0713,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1056.44,-139.35,181.30,1337.83,9572.45,10172.88,-422.62,237.82,0.00,0.62,1.27
0.0772,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1134.23,-171.13,192.66,1681.56,11993.64,7868.63,647.38,253.22,0.00,0.20,1.77
0.0826,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1194.08,-194.15,205.72,2365.31,13611.93,8422.06,-509.50,262.79,0.00,0.02,2.15
0.0883,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1261.18,-217.59,225.82,2735.07,14344.55,9438.55,1865.98,275.14,0.00,0.03,2.58
0.0941,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1323.24,-252.46,247.92,3086.89,14625.39,10956.36,-908.28,292.10,0.00,-0.03,3.00
0.0998,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1387.05,-291.20,269.84,2707.13,14638.39,12023.91,4149.79,325.61,0.00,-0.04,3.44
0.1055,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.52,-4.23,100.57,347.20,338.80,208.43,81.79,150.69,0.00,1.98,-0.01
0.1115,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.25,-7.86,104.10,473.52,434.53,102.62,45.35,152.88,0.00,2.00,-0.03
0.1172,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.26,-12.13,108.11,574.31,359.88,309.46,139.14,157.43,0.00,2.00,-0.04
0.1285,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.38,-18.23,117.35,693.10,479.04,385.31,-10.21,165.87,0.00,1.99,-0.05
0.1339,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.11,-21.75,122.06,717.61,762.97,519.93,183.57,171.44,0.00,1.98,-0.05
0.1395,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.59,-22.93,127.27,853.55,677.30,540.18,-24.48,175.34,0.00,1.97,-0.05
0.1450,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.30,-27.11,132.70,811.92,893.57,672.50,238.95,182.70,0.00,1.95,-0.06
0.1503,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.04,-27.71,138.32,1009.23,744.77,608.69,-45.08,186.45,0.00,1.93,-0.05
0.1553,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.21,-30.39,143.40,809.16,924.04,756.35,309.20,194.49,0.00,1.91,-0.06
0.1608,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.56,-31.38,148.30,891.32,715.22,656.76,-70.72,196.44,0.00,1.87,-0.04
0.1661,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.08,-31.23,152.27,455.42,826.82,732.77,358.99,206.75,0.00,1.84,-0.03
0.1715,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,878.42,-30.23,153.61,375.52,1112.25,738.97,-203.92,210.70,0.00,1.73,0.14
0.1777,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,923.47,-49.35,160.04,495.80,2102.82,1562.59,276.83,207.98,0.00,1.52,0.41
0.1826,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,952.42,-75.93,166.54,1312.11,3913.80,3560.89,-311.92,213.54,0.00,1.17,0.59
0.1878,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1015.65,-109.87,174.30,1332.82,6957.15,7478.75,326.48,235.74,0.00,0.63,0.99
0.1935,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1078.65,-136.78,180.72,1295.95,10213.18,10345.21,-450.68,242.87,0.00,0.15,1.40
0.1987,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1144.53,-157.02,191.09,1978.21,12250.45,8085.23,791.98,251.88,0.00,0.01,1.81
0.2048,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1210.36,-167.27,206.33,2706.15,13449.92,8982.26,-597.67,266.17,0.00,0.03,2.24
0.2105,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1274.81,-176.17,226.05,2743.10,13901.42,10023.58,2866.39,280.39,0.00,-0.14,2.67
0.2164,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1340.92,-198.85,248.04,3085.27,14379.04,11520.72,-1341.51,290.24,0.00,-0.58,3.13
