t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0049,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,766.39,-218.52,630.67,1226.93,2033.14,2077.80,1263.78,684.28,0.00,1.58,0.00
0.0097,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,761.98,-220.07,637.43,1444.04,1603.34,1945.30,141.52,684.89,0.00,1.59,-0.01
0.0147,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,762.91,-214.48,641.71,498.78,1938.73,1749.71,1131.00,699.91,0.00,1.62,0.00
0.0201,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,787.42,-213.12,644.45,460.21,1123.58,1330.14,114.90,702.97,0.00,1.57,0.16
0.0251,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.56,-229.47,651.91,905.14,2681.49,1548.72,877.86,703.75,0.00,1.48,0.40
0.0300,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.00,-3.68,100.10,316.77,228.79,153.39,78.22,149.88,0.00,2.27,-0.01
0.0358,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.03,-7.74,103.50,465.92,329.49,120.24,55.76,152.45,0.00,2.28,-0.02
0.0407,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.37,-11.35,107.02,574.70,340.09,327.58,112.98,156.19,0.00,2.29,-0.03
0.0455,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.36,-13.59,111.05,712.15,423.76,436.99,-2.95,159.78,0.00,2.29,-0.03
0.0507,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.88,-17.23,115.73,746.80,396.61,527.59,189.14,165.27,0.00,2.29,-0.04
0.0557,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.33,-19.82,120.65,878.22,521.56,519.83,-32.41,168.75,0.00,2.28,-0.04
0.0606,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.15,-22.72,125.43,814.50,713.63,568.29,242.46,175.65,0.00,2.27,-0.04
0.0660,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.18,-25.15,131.04,957.86,690.65,569.75,-55.70,179.10,0.00,2.26,-0.03
0.0708,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.36,-26.74,135.70,776.00,968.73,578.28,298.78,186.69,0.00,2.25,-0.04
0.0771,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,-29.93,140.70,787.76,697.81,686.89,-76.86,188.79,0.00,2.21,-0.01
0.0828,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.26,-29.68,144.93,487.70,793.29,666.87,336.33,198.71,0.00,2.18,-0.01
0.0877,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,869.95,-30.92,146.56,360.45,1012.76,632.53,-141.01,200.46,0.00,2.09,0.10
0.0925,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,916.72,-43.88,148.63,484.30,2010.22,1620.80,178.01,200.56,0.00,1.91,0.37
0.0975,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,962.89,-78.16,153.84,872.90,4075.86,3703.33,-326.81,203.01,0.00,1.51,0.66
0.1029,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1007.34,-104.80,158.04,1036.46,6794.07,7585.34,302.54,226.16,0.00,0.83,0.95
0.1075,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1030.73,-132.03,160.29,899.93,9996.65,10849.14,-345.44,203.04,0.00,0.17,1.13
0.1121,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1054.99,-159.60,160.72,1139.93,11735.01,7597.05,756.49,203.61,0.00,-0.39,1.33
0.1172,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1065.49,-195.71,165.01,1222.41,12351.42,6026.67,-368.07,197.93,0.00,-0.88,1.44
0.1228,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1076.12,-223.44,171.87,1409.57,12496.50,6159.71,1528.06,220.07,0.00,-1.14,1.56
0.1278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1094.32,-249.26,183.44,2171.67,11996.39,5184.54,-552.59,228.06,0.00,-1.17,1.70
0.1333,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1105.14,-276.16,196.47,2088.24,10007.76,3376.33,2024.55,256.96,0.00,-0.90,1.78
0.1384,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1109.39,-301.60,211.21,2641.61,7935.28,2279.49,-633.55,262.28,0.00,-0.58,1.82
0.1433,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1101.04,-321.41,223.38,2288.37,5424.60,2491.63,1289.25,286.62,0.00,-0.17,1.77
0.1491,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1087.84,-341.28,238.50,2459.19,3907.33,3791.15,-168.01,294.23,0.00,0.26,1.70
0.1545,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1071.50,-353.96,251.88,2384.98,2738.03,4366.18,644.23,308.62,0.00,0.66,1.60
0.1595,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1055.81,-362.72,264.34,2389.18,2831.57,5269.68,190.44,317.60,0.00,0.97,1.51
0.1654,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1032.08,-369.22,278.89,2371.96,3733.74,5734.33,472.10,331.51,0.00,1.29,1.37
0.1710,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1007.86,-376.46,291.44,2115.01,4339.80,6072.83,246.52,340.65,0.00,1.54,1.22
0.1761,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,986.99,-385.04,302.42,1984.90,4824.36,6106.51,354.54,349.60,0.00,1.68,1.10
0.1826,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,953.31,-393.22,314.71,1748.16,5028.87,6027.45,377.63,363.76,0.00,1.70,0.91
0.1880,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,924.39,-396.60,324.15,1679.57,5012.87,5773.01,333.05,372.98,0.00,1.67,0.74
0.1936,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,895.31,-401.61,334.12,1651.48,5223.42,5609.11,339.34,383.31,0.00,1.59,0.57
0.1991,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,867.80,-404.94,343.82,1663.47,5315.21,5449.27,337.45,392.99,0.00,1.49,0.41
0.2044,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,840.32,-409.29,353.75,1700.24,5342.68,5396.47,342.61,402.99,0.00,1.38,0.25
0.2096,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,813.69,-412.22,363.17,1703.14,5243.78,5307.10,351.62,412.09,0.00,1.26,0.09
0.2154,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,782.50,-415.67,373.90,1727.52,5151.85,5258.04,361.50,423.42,0.00,1.14,-0.10
0.2209,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,756.35,-418.32,383.82,1757.88,4928.81,5139.19,397.69,432.86,0.00,1.02,-0.26
0.2260,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,729.70,-422.04,393.44,1730.73,4903.87,5160.94,352.79,442.57,0.00,0.92,-0.42
0.2313,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,703.04,-425.59,402.99,1672.72,4760.26,5121.49,447.70,451.33,0.00,0.82,-0.58
0.2364,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,680.47,-429.28,411.12,1495.04,4617.59,5020.24,304.82,461.28,0.00,0.71,-0.72
0.2411,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,660.84,-429.46,418.58,1508.23,4432.35,4803.32,472.97,468.19,0.00,0.60,-0.84
0.2460,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,641.58,-430.88,427.19,1638.68,4111.67,4585.72,286.25,475.87,0.00,0.49,-0.96
0.2510,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,622.17,-433.19,436.24,1612.67,3959.10,4353.10,517.92,484.95,0.00,0.39,-1.07
0.2555,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,604.32,-435.38,444.24,1613.97,3810.62,4124.52,320.26,492.54,0.00,0.30,-1.18
0.2606,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.01,-3.83,100.16,306.31,56.67,122.21,76.71,150.00,0.00,1.01,-0.00
0.2657,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.13,-7.35,103.23,466.57,270.49,129.34,56.12,152.21,0.00,1.02,-0.01
0.2709,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.59,-10.70,106.98,582.50,280.96,358.03,120.87,156.17,0.00,1.03,-0.01
0.2760,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.66,-13.57,111.25,720.02,473.17,516.83,-12.74,160.00,0.00,1.03,-0.01
0.2807,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.11,-16.36,115.52,746.28,724.81,590.89,190.93,165.06,0.00,1.02,-0.01
0.2858,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.93,-18.64,120.45,864.67,710.73,750.65,-48.64,168.67,0.00,1.01,-0.01
0.2912,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.65,-20.99,125.71,840.59,978.47,617.87,268.03,175.81,0.00,1.00,-0.01
0.2961,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.26,-23.37,131.21,1022.50,774.27,691.88,-86.88,179.36,0.00,0.97,0.00
0.3013,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.14,-24.83,136.68,873.28,958.99,603.53,364.39,187.54,0.00,0.96,-0.01
0.3065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.77,-27.27,142.46,1037.00,729.57,726.85,-137.46,190.34,0.00,0.93,0.01
0.3117,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.88,-26.69,147.30,686.81,907.81,598.19,470.06,200.35,0.00,0.91,0.01
0.3168,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,863.64,-26.64,149.81,455.25,781.16,544.11,-213.99,201.51,0.00,0.83,0.09
0.3216,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,893.14,-36.01,152.37,315.59,1509.11,1045.79,422.34,201.92,0.00,0.71,0.27
0.3262,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,922.25,-61.13,155.76,583.00,2833.53,2275.16,-352.56,203.76,0.00,0.49,0.45
0.3316,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,926.53,-86.20,155.83,432.90,4584.06,4927.67,623.75,197.16,0.00,0.00,0.50
0.3369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,939.45,-111.19,160.31,882.96,5668.50,6756.04,-328.69,202.94,0.00,-0.43,0.60
0.3418,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,956.85,-134.28,164.53,755.26,7161.25,6139.89,874.07,214.81,0.00,-0.76,0.73
0.3475,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,974.48,-163.20,171.97,1123.74,7888.26,5672.62,-385.97,218.05,0.00,-1.13,0.87
0.3525,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1005.57,-198.94,181.22,1381.60,8283.13,5315.27,972.10,228.98,0.00,-1.40,1.08
0.3578,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1032.29,-241.45,189.72,1164.70,9232.09,3815.78,-400.40,238.46,0.00,-1.70,1.27
0.3632,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1042.02,-284.66,195.19,771.66,9486.37,4689.61,1004.17,251.95,0.00,-1.95,1.37
0.3680,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1050.98,-316.05,200.87,945.23,9468.63,5439.92,-408.43,246.01,0.00,-2.08,1.45
0.3733,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1067.40,-356.68,206.45,855.52,9482.51,5614.03,1011.77,264.42,0.00,-2.13,1.57
0.3789,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1080.22,-395.37,213.72,973.70,8779.47,6004.86,-387.31,260.08,0.00,-2.09,1.68
0.3842,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1091.66,-433.25,219.24,929.83,8019.55,6137.23,944.23,277.86,0.00,-2.00,1.76
0.3888,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1099.82,-461.45,225.30,1041.40,7316.19,6393.86,-327.15,271.29,0.00,-1.88,1.83
0.3936,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1108.22,-493.53,230.23,954.72,6411.87,6454.04,891.69,288.00,0.00,-1.73,1.90
0.3990,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1113.92,-525.24,236.93,1003.59,5812.31,6510.07,-265.57,284.11,0.00,-1.55,1.95
0.4041,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.99,-3.67,100.17,330.83,93.79,56.03,80.46,150.27,0.00,-0.07,-0.01
0.4091,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.48,-6.78,103.26,476.94,221.86,165.25,45.45,152.29,0.00,-0.08,-0.01
