t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0073,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,0.01,97.43,30.57,30.87,32.72,82.70,146.83,0.00,2.41,0.00
0.0204,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.00,96.92,38.81,39.34,41.86,45.00,146.58,0.00,2.40,-0.00
0.0281,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.00,96.59,42.11,41.88,48.18,104.66,145.99,0.00,2.39,-0.00
0.0359,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.00,96.25,45.68,45.70,51.33,8.82,145.76,0.00,2.38,-0.00
0.0432,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.00,95.88,49.36,50.52,57.43,137.48,145.37,0.00,2.38,-0.00
0.0502,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.01,95.53,51.62,53.83,60.31,-32.35,145.05,0.00,2.37,-0.00
0.0571,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,-0.01,95.14,55.55,59.60,67.19,195.15,144.37,0.00,2.36,-0.00
0.0647,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,-0.02,94.74,55.51,61.96,68.24,-115.81,143.98,0.00,2.35,-0.00
0.0717,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,-0.02,94.30,59.84,67.69,77.24,306.54,142.61,0.00,2.34,-0.00
0.0791,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,-0.03,93.90,59.28,69.18,75.91,-288.58,141.79,0.00,2.33,-0.00
0.0862,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.11,1.06,1.35,1.14,67.93,147.60,0.00,2.02,0.00
