t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.14,97.16,1.72,3.29,4.33,102.75,146.64,0.00,-87.50,0.12
0.0200,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.14,97.09,5.59,4.96,3.84,102.69,146.58,0.00,-87.52,0.12
0.0297,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.13,97.04,5.38,2.01,2.53,102.62,146.52,0.00,-87.53,0.11
0.0385,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.13,97.01,3.47,0.82,1.17,102.56,146.49,0.00,-87.55,0.10
0.0470,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.13,97.00,1.44,1.48,2.28,102.51,146.48,0.00,-87.57,0.10
0.0551,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.13,97.00,0.51,2.29,4.12,102.48,146.48,0.00,-87.59,0.09
0.0629,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.12,97.01,1.57,2.96,4.07,102.45,146.49,0.00,-87.61,0.09
0.0711,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.12,97.03,1.63,2.93,3.43,102.44,146.51,0.00,-87.63,0.09
0.0791,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.12,97.04,1.60,2.77,3.23,102.43,146.52,0.00,-87.65,0.08
0.0878,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.12,97.04,0.81,2.00,2.39,102.41,146.52,0.00,-87.68,0.08
0.0924,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.11,97.07,7.43,6.96,9.28,102.43,146.56,0.00,-87.69,0.07
0.0979,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.11,97.12,8.17,6.48,7.71,102.47,146.60,0.00,-87.71,0.07
0.1041,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.11,97.16,6.53,5.08,5.36,102.52,146.64,0.00,-87.73,0.07
0.1096,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.11,97.19,5.70,4.30,4.42,102.57,146.67,0.00,-87.75,0.07
0.1175,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.10,97.20,2.89,4.62,2.11,102.63,146.68,0.00,-87.78,0.07
0.1239,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.10,97.20,2.25,4.18,2.12,102.68,146.69,0.00,-87.81,0.06
0.1305,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.09,97.20,1.93,2.83,2.17,102.72,146.69,0.00,-87.83,0.06
0.1370,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.09,97.20,1.66,2.58,2.56,102.76,146.69,0.00,-87.86,0.06
0.1441,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.08,97.20,1.62,2.05,2.22,102.80,146.68,0.00,-87.90,0.05
0.1509,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.08,97.19,1.28,1.98,2.04,102.83,146.68,0.00,-87.93,0.05
0.1567,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.07,97.20,1.51,2.24,3.12,102.86,146.69,0.00,-87.96,0.05
0.1625,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.07,97.21,2.13,2.57,3.04,102.90,146.70,0.00,-87.99,0.04
0.1724,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.06,97.19,2.87,4.00,0.88,102.91,146.67,0.00,-88.04,0.04
0.1781,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.06,97.19,0.51,2.14,2.95,102.92,146.67,0.00,-88.07,0.03
0.1854,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.06,97.19,0.47,1.95,1.93,102.92,146.67,0.00,-88.11,0.03
0.1939,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.05,97.17,2.11,2.82,1.33,102.91,146.65,0.00,-88.15,0.03
0.2025,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.05,97.14,3.20,3.21,0.88,102.87,146.62,0.00,-88.20,0.02
0.2116,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.05,97.10,4.01,3.14,0.97,102.81,146.59,0.00,-88.25,0.02
0.2205,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.04,97.07,3.70,3.50,1.14,102.74,146.55,0.00,-88.31,0.01
0.2273,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.04,97.07,0.93,2.04,3.27,102.70,146.55,0.00,-88.34,0.01
0.2355,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.04,97.07,0.61,2.55,2.49,102.64,146.56,0.00,-88.39,0.01
0.2440,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.04,97.07,0.65,2.50,2.11,102.58,146.55,0.00,-88.43,0.01
0.2527,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.04,97.06,1.16,3.44,2.19,102.50,146.54,0.00,-88.48,0.00
0.2609,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.04,97.06,0.96,3.65,1.90,102.44,146.54,0.00,-88.52,-0.00
0.2695,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.05,97.05,1.15,4.35,2.23,102.36,146.53,0.00,-88.57,-0.00
0.2768,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.05,97.06,1.18,3.45,4.52,102.31,146.54,0.00,-88.61,-0.01
0.2934,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.05,96.92,8.11,10.39,3.08,102.04,146.41,0.00,-88.73,-0.01
0.2991,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.05,96.94,3.82,4.27,8.26,101.98,146.43,0.00,-88.77,-0.02
0.3058,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.05,96.99,6.81,5.40,5.50,101.95,146.48,0.00,-88.82,-0.02
0.3145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.05,97.03,3.95,5.11,4.92,101.90,146.51,0.00,-88.87,-0.03
0.3236,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.05,97.04,1.82,5.86,3.48,101.85,146.53,0.00,-88.93,-0.03
0.3329,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.05,97.03,1.63,6.58,2.68,101.79,146.52,0.00,-88.99,-0.03
