t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.11,1.36,2.76,3.47,102.76,146.59,0.00,-87.47,0.14
0.0146,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.11,0.77,1.91,2.30,102.77,146.60,0.00,-87.48,0.14
0.0220,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.12,1.09,2.12,2.59,102.78,146.60,0.00,-87.50,0.14
0.0280,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.14,3.35,3.54,4.15,102.80,146.62,0.00,-87.51,0.14
0.0365,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.15,1.15,2.20,2.28,102.81,146.63,0.00,-87.52,0.14
0.0435,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.15,1.36,2.46,2.66,102.82,146.64,0.00,-87.54,0.13
0.0496,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.17,2.52,2.80,3.50,102.84,146.65,0.00,-87.55,0.13
0.0564,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.18,97.18,2.26,2.46,3.06,102.86,146.67,0.00,-87.57,0.13
0.0641,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.18,97.18,1.24,2.06,1.92,102.87,146.67,0.00,-87.59,0.13
0.0739,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.18,97.15,3.39,3.06,0.66,102.86,146.63,0.00,-87.61,0.13
0.0813,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.18,97.14,1.88,1.13,1.76,102.84,146.62,0.00,-87.64,0.13
0.0882,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.17,97.14,0.49,1.74,2.67,102.83,146.62,0.00,-87.66,0.12
0.0957,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.17,97.14,0.65,1.53,2.28,102.82,146.62,0.00,-87.69,0.12
0.1125,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.17,96.98,9.36,5.95,4.35,102.62,146.46,0.00,-87.76,0.12
0.1237,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.17,96.89,7.47,3.57,1.32,102.47,146.38,0.00,-87.80,0.12
0.1304,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.17,96.91,2.66,4.38,5.92,102.41,146.39,0.00,-87.83,0.11
0.1375,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.17,96.95,6.11,6.38,7.56,102.37,146.43,0.00,-87.85,0.10
0.1442,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.17,97.01,8.12,6.56,9.33,102.36,146.49,0.00,-87.87,0.10
0.1511,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.17,97.06,7.64,5.87,8.33,102.36,146.54,0.00,-87.89,0.09
0.1578,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.17,97.10,6.44,4.97,6.36,102.37,146.58,0.00,-87.92,0.09
0.1648,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.16,97.13,4.79,6.27,4.75,102.39,146.62,0.00,-87.95,0.09
0.1720,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.16,97.15,3.44,5.30,3.34,102.40,146.63,0.00,-87.98,0.08
0.1843,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.16,97.09,4.83,7.45,1.28,102.36,146.58,0.00,-88.05,0.08
0.1945,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.15,97.04,5.39,4.81,1.33,102.29,146.52,0.00,-88.12,0.07
0.2018,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.15,97.03,1.11,1.65,5.23,102.27,146.51,0.00,-88.17,0.06
0.2087,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.14,97.04,1.96,2.96,4.72,102.25,146.53,0.00,-88.21,0.06
0.2161,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.14,97.06,2.75,3.36,5.67,102.25,146.55,0.00,-88.26,0.05
