t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0056,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.55,98.73,0.42,0.37,0.46,98.45,99.23,0.00,2.58,-0.01
0.0125,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.55,98.72,1.64,1.69,1.83,98.44,99.22,0.00,2.56,-0.01
0.0195,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.55,98.71,1.33,1.53,1.85,98.43,99.21,0.00,2.55,-0.02
0.0257,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.55,98.71,0.63,0.28,0.44,98.43,99.22,0.00,2.54,-0.02
0.0315,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.55,98.72,1.02,1.03,0.90,98.44,99.22,0.00,2.52,-0.02
0.0369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.55,98.73,1.32,1.45,1.44,98.45,99.23,0.00,2.51,-0.03
0.0426,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.55,98.73,0.73,0.70,0.72,98.45,99.23,0.00,2.49,-0.03
0.0488,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.55,98.73,0.92,0.74,0.67,98.45,99.23,0.00,2.48,-0.03
0.0548,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.55,98.73,0.86,0.79,0.79,98.45,99.23,0.00,2.46,-0.03
0.0608,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.55,98.72,0.94,0.73,0.71,98.44,99.23,0.00,2.44,-0.03
