t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0079,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.11,0.77,1.18,1.42,67.74,147.60,0.00,2.34,0.00
0.0222,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.01,97.91,13.75,13.03,14.77,70.81,147.31,0.00,2.33,-0.00
0.0283,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.01,97.80,19.45,17.89,21.63,65.04,147.26,0.00,2.33,-0.00
0.0369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.01,97.57,26.24,25.87,28.32,75.63,147.01,0.00,2.33,-0.00
0.0441,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.01,97.35,31.35,31.54,34.90,59.46,146.86,0.00,2.32,-0.00
0.0511,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.01,97.10,35.74,36.40,40.25,83.71,146.49,0.00,2.32,-0.00
0.0584,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,96.81,40.01,40.88,45.55,43.53,146.50,0.00,2.31,-0.00
0.0658,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.01,96.49,43.27,45.30,50.91,108.90,145.86,0.00,2.30,-0.00
0.0732,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.01,96.15,46.26,48.92,55.28,6.57,145.65,0.00,2.30,-0.00
0.0807,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.02,95.78,49.65,53.93,61.20,144.69,145.15,0.00,2.29,-0.00
0.0889,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,-0.03,95.37,51.01,57.38,64.39,-39.99,144.77,0.00,2.27,-0.00
0.0972,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,-0.03,94.91,54.53,62.94,71.60,206.41,144.00,0.00,2.26,-0.00
0.1045,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,-0.04,94.52,55.66,65.82,74.34,-132.33,143.65,0.00,2.25,-0.00
0.1121,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,-0.05,94.03,61.79,74.75,84.83,335.90,141.87,0.00,2.23,-0.01
0.1198,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.11,1.12,1.41,1.24,67.65,147.61,0.00,1.88,0.00
0.1287,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,98.03,8.36,7.08,9.77,71.51,147.45,0.00,1.87,0.00
0.1372,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.01,97.90,16.41,15.25,18.36,64.17,147.37,0.00,1.87,-0.00
0.1446,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.01,97.73,22.47,22.49,26.23,77.03,147.16,0.00,1.86,-0.00
0.1528,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.02,97.50,28.69,29.54,33.66,55.75,147.05,0.00,1.86,-0.00
0.1617,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.02,97.19,34.51,36.60,41.93,89.94,146.62,0.00,1.85,-0.00
0.1692,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.02,96.90,39.08,42.01,49.10,34.01,146.44,0.00,1.84,-0.00
0.1772,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.03,96.55,43.52,49.03,56.87,120.60,145.87,0.00,1.82,-0.00
0.1846,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.03,96.22,46.28,54.33,63.09,-5.30,145.64,0.00,1.81,-0.00
0.1927,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,-0.04,95.80,50.44,62.33,71.91,169.66,144.95,0.00,1.80,-0.00
0.2013,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,-0.05,95.37,51.82,67.93,77.17,-79.49,144.55,0.00,1.78,-0.00
0.2089,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.70,-0.06,94.93,55.84,76.25,88.96,271.70,143.02,0.00,1.76,-0.01
0.2180,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,-0.07,94.46,55.34,82.47,91.59,-251.27,141.66,0.00,1.73,-0.01
0.2249,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.00,98.10,0.63,1.74,1.86,68.04,147.60,0.00,1.25,0.00
0.2346,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,98.01,9.87,8.85,11.35,70.78,147.44,0.00,1.25,0.00
0.2426,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.02,97.87,17.41,16.18,19.93,64.98,147.36,0.00,1.24,0.00
0.2520,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.02,97.63,24.96,25.12,29.44,75.60,147.04,0.00,1.23,-0.00
0.2617,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.03,97.33,31.99,33.23,39.07,56.19,146.91,0.00,1.22,-0.00
0.2706,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.03,96.99,37.22,40.77,48.37,89.56,146.37,0.00,1.21,-0.00
0.2799,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.04,96.61,42.36,48.26,57.12,30.05,146.22,0.00,1.19,-0.00
0.2894,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,-0.05,96.16,46.83,57.15,67.85,127.32,145.32,0.00,1.17,-0.00
0.2985,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,-0.06,95.72,50.06,65.00,76.40,-21.72,145.04,0.00,1.15,-0.00
0.3067,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,-0.08,95.26,53.83,75.68,89.85,195.41,143.54,0.00,1.12,-0.01
0.3165,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,-0.09,94.76,54.60,84.62,95.62,-142.00,142.48,0.00,1.09,-0.01
0.3253,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,-0.12,94.07,68.33,100.65,119.41,350.48,137.06,0.00,1.06,-0.01
0.3346,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.01,98.12,1.71,2.11,1.52,67.65,147.65,0.00,0.48,-0.00
