t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0056,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.90,0.40,1.64,0.82,73.90,149.85,0.00,1.88,-0.10
0.0125,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.89,1.49,0.68,0.28,73.89,149.84,0.00,1.87,-0.10
0.0186,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.89,0.71,1.41,0.68,73.88,149.84,0.00,1.87,-0.10
0.0242,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.90,0.35,1.57,0.59,73.88,149.85,0.00,1.86,-0.10
0.0295,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.91,0.78,1.99,1.21,73.88,149.86,0.00,1.85,-0.10
0.0348,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.92,0.43,1.53,0.79,73.88,149.86,0.00,1.85,-0.09
0.0399,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.92,0.26,1.71,0.90,73.89,149.87,0.00,1.84,-0.09
0.0467,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.91,1.78,1.76,0.60,73.87,149.86,0.00,1.83,-0.09
0.0515,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.91,0.50,2.05,1.12,73.87,149.86,0.00,1.83,-0.09
0.0568,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.18,100.92,0.09,1.37,0.61,73.87,149.87,0.00,1.82,-0.09
0.0629,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.18,100.91,1.08,1.30,0.49,73.87,149.86,0.00,1.82,-0.09
0.0686,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.18,100.91,0.81,0.99,0.34,73.86,149.86,0.00,1.81,-0.08
0.0738,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.18,100.91,0.10,1.57,0.77,73.86,149.86,0.00,1.80,-0.08
0.0787,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.18,100.92,0.37,1.49,0.72,73.86,149.87,0.00,1.80,-0.08
0.0844,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.18,100.92,0.59,1.34,0.73,73.86,149.87,0.00,1.79,-0.08
0.0894,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.18,100.92,0.18,1.28,0.76,73.86,149.87,0.00,1.78,-0.08
0.0952,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.92,0.95,1.22,0.72,73.85,149.87,0.00,1.78,-0.08
0.1010,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,1.07,0.83,0.52,73.84,149.86,0.00,1.77,-0.08
0.1063,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,0.27,1.54,0.81,73.84,149.86,0.00,1.76,-0.07
0.1119,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,0.46,1.08,0.59,73.83,149.86,0.00,1.76,-0.07
0.1173,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.92,0.32,1.44,0.76,73.83,149.87,0.00,1.75,-0.07
0.1233,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,1.06,1.16,0.34,73.82,149.86,0.00,1.74,-0.07
0.1287,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,0.35,1.64,0.71,73.81,149.86,0.00,1.73,-0.07
0.1342,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,0.34,1.30,0.50,73.81,149.86,0.00,1.72,-0.07
0.1397,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,0.39,1.44,0.68,73.80,149.87,0.00,1.71,-0.06
0.1454,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.91,0.70,1.00,0.64,73.79,149.86,0.00,1.69,-0.06
0.1506,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.19,100.92,0.14,1.72,0.83,73.79,149.87,0.00,1.68,-0.06
0.1560,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.92,0.24,1.25,0.74,73.79,149.87,0.00,1.66,-0.06
0.1623,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.91,1.35,1.01,1.15,73.77,149.86,0.00,1.64,-0.05
0.1676,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.91,0.25,1.36,1.04,73.77,149.86,0.00,1.62,-0.05
0.1729,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.15,1.91,1.01,73.76,149.87,0.00,1.60,-0.05
0.1780,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.21,1.48,1.69,73.76,149.87,0.00,1.59,-0.04
0.1834,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.29,1.49,1.78,73.75,149.87,0.00,1.57,-0.04
0.1888,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.41,1.29,1.15,73.75,149.87,0.00,1.54,-0.04
0.1951,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,1.41,1.01,1.35,73.73,149.87,0.00,1.52,-0.03
0.2003,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.22,1.46,1.54,73.73,149.87,0.00,1.50,-0.03
0.2065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,0.98,1.44,1.62,73.71,149.86,0.00,1.47,-0.03
0.2119,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,0.24,1.41,1.57,73.70,149.87,0.00,1.44,-0.02
0.2174,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.19,1.77,1.25,73.70,149.87,0.00,1.42,-0.02
0.2234,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,0.87,1.30,1.74,73.68,149.87,0.00,1.39,-0.02
0.2298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,1.33,1.36,1.63,73.66,149.86,0.00,1.36,-0.01
0.2350,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,0.38,1.86,1.39,73.66,149.87,0.00,1.33,-0.01
0.2399,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.84,2.17,2.84,73.66,149.87,0.00,1.31,-0.01
0.2456,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.35,1.36,2.94,73.65,149.87,0.00,1.28,-0.00
0.2508,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.35,1.48,2.41,73.64,149.88,0.00,1.25,0.00
0.2566,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.76,1.13,2.16,73.63,149.87,0.00,1.22,0.00
0.2619,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.40,1.56,2.14,73.62,149.88,0.00,1.20,0.01
0.2675,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.92,0.56,1.38,1.84,73.61,149.88,0.00,1.17,0.01
0.2732,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.19,100.92,0.62,1.49,2.62,73.60,149.88,0.00,1.13,0.01
0.2787,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.19,100.92,0.53,1.47,1.74,73.59,149.88,0.00,1.10,0.01
0.2844,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.19,100.92,0.56,1.57,2.19,73.58,149.88,0.00,1.07,0.02
0.2891,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.19,100.93,0.74,1.90,1.96,73.57,149.88,0.00,1.04,0.02
0.2948,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.19,100.93,0.44,1.69,2.23,73.56,149.88,0.00,1.01,0.02
0.3005,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.19,100.93,0.84,1.23,2.07,73.55,149.88,0.00,0.98,0.03
0.3056,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.19,100.93,0.44,1.77,2.14,73.54,149.89,0.00,0.95,0.03
0.3109,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.19,100.93,0.46,1.44,2.04,73.54,149.89,0.00,0.92,0.03
0.3160,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.19,100.94,0.43,1.72,2.34,73.53,149.89,0.00,0.89,0.04
0.3217,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.18,100.94,0.85,1.25,2.25,73.52,149.89,0.00,0.85,0.04
0.3264,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.18,100.94,0.54,1.94,2.48,73.52,149.90,0.00,0.83,0.04
0.3318,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.18,100.94,0.58,1.46,2.87,73.51,149.90,0.00,0.79,0.05
0.3372,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.18,100.94,0.78,1.46,3.10,73.50,149.90,0.00,0.76,0.05
0.3424,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.18,100.94,0.62,1.47,2.15,73.49,149.90,0.00,0.73,0.05
0.3474,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.18,100.94,0.53,1.79,3.10,73.48,149.90,0.00,0.69,0.06
0.3527,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.17,100.94,0.66,1.58,2.63,73.47,149.90,0.00,0.66,0.06
0.3579,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.17,100.94,0.61,1.85,2.53,73.47,149.90,0.00,0.63,0.06
0.3633,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.17,100.94,0.79,1.47,2.97,73.46,149.90,0.00,0.59,0.07
0.3687,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.17,100.94,0.82,1.69,3.06,73.45,149.90,0.00,0.55,0.07
0.3744,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.17,100.94,1.10,1.39,2.07,73.43,149.90,0.00,0.52,0.07
0.3800,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.17,100.94,1.00,1.76,2.14,73.42,149.90,0.00,0.48,0.08
0.3855,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.16,100.94,0.77,1.72,2.68,73.41,149.90,0.00,0.44,0.08
0.3909,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.16,100.94,0.76,2.02,1.88,73.40,149.90,0.00,0.40,0.09
0.3981,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.94,-0.16,100.93,2.17,1.21,1.86,73.37,149.88,0.00,0.35,0.09
0.4025,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.94,-0.16,100.94,1.53,3.02,2.47,73.37,149.89,0.00,0.32,0.09
0.4084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.94,-0.15,100.94,0.85,1.79,2.08,73.36,149.90,0.00,0.28,0.10
