t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0078,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.68,0.37,0.38,0.63,98.41,99.19
0.0155,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.68,0.46,0.23,0.40,98.41,99.19
0.0229,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.69,0.40,0.19,0.19,98.41,99.20
0.0307,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.69,0.59,0.32,0.45,98.41,99.20
0.0379,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.69,0.49,0.24,0.22,98.42,99.20
0.0468,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.68,1.60,1.52,1.67,98.41,99.19
0.0535,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.64,98.69,1.22,1.06,0.81,98.41,99.20
0.0616,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.64,98.69,0.67,0.18,0.26,98.41,99.20
0.0703,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.63,98.68,1.49,1.31,1.46,98.41,99.19
0.0769,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.63,98.69,1.45,1.29,1.05,98.41,99.20
0.0845,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.63,98.69,0.81,0.56,0.56,98.42,99.20
0.0921,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.63,98.69,0.81,0.28,0.27,98.42,99.20
0.0997,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.63,98.69,1.01,0.60,0.64,98.42,99.20
0.1075,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,0.63,98.69,1.17,0.80,0.87,98.41,99.20
0.1152,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,0.63,98.69,0.97,0.52,0.57,98.41,99.20
0.1226,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,0.63,98.69,0.99,0.43,0.22,98.42,99.20
0.1302,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,0.63,98.69,1.04,0.44,0.25,98.42,99.20
0.1382,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.61,0.63,98.69,1.25,0.73,0.70,98.42,99.20
0.1461,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,0.63,98.68,1.32,0.80,0.81,98.41,99.20
0.1537,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,0.62,98.69,1.16,0.49,0.27,98.41,99.20
0.1618,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,0.62,98.68,1.26,0.57,0.49,98.41,99.20
0.1689,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.62,98.69,1.26,0.78,0.57,98.42,99.20
0.1764,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.62,98.70,1.21,0.60,0.40,98.42,99.20
0.1841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.62,98.69,1.30,0.61,0.45,98.42,99.20
0.1918,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.62,98.69,1.44,0.83,0.77,98.42,99.20
0.1992,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.62,98.69,1.29,0.55,0.20,98.42,99.20
0.2065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.62,98.70,1.29,0.61,0.34,98.42,99.21
0.2141,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.62,98.70,1.33,0.58,0.32,98.42,99.21
0.2216,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.62,98.70,1.39,0.65,0.45,98.42,99.21
0.2289,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.61,98.70,1.38,0.61,0.37,98.42,99.21
0.2364,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.61,98.70,1.42,0.65,0.44,98.42,99.21
0.2436,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.61,98.70,1.39,0.61,0.28,98.42,99.21
0.2512,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.61,98.70,1.48,0.70,0.50,98.42,99.21
0.2583,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.61,98.70,1.43,0.62,0.28,98.43,99.21
0.2660,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.61,98.70,1.58,0.85,0.70,98.42,99.21
0.2735,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.61,98.70,1.48,0.67,0.40,98.42,99.21
0.2808,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.61,98.70,1.50,0.66,0.29,98.43,99.21
0.2883,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.61,98.70,1.54,0.70,0.39,98.43,99.21
0.2962,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.61,98.70,1.71,0.98,0.86,98.42,99.21
0.3035,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.60,98.70,1.58,0.70,0.21,98.42,99.21
0.3107,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.60,98.70,1.58,0.75,0.39,98.43,99.21
