t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0080,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.91,98.69,0.52,0.36,0.48,98.42,99.21
0.0212,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.91,98.63,4.80,5.15,5.62,98.37,99.16
0.0291,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.91,98.64,1.48,1.09,0.53,98.38,99.17
0.0389,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.91,98.65,0.99,0.64,0.39,98.39,99.18
0.0471,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.91,98.67,1.88,2.02,1.89,98.41,99.19
0.0540,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.91,98.70,2.95,3.35,3.44,98.43,99.21
0.0622,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,0.91,98.71,1.03,1.10,1.31,98.44,99.22
0.0695,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,0.91,98.71,0.71,0.45,0.55,98.44,99.22
0.0772,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,0.91,98.71,0.94,0.58,0.49,98.43,99.22
0.0852,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,0.90,98.70,1.33,1.12,1.14,98.43,99.21
0.0926,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,0.90,98.70,0.76,0.31,0.19,98.43,99.21
0.1007,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,0.90,98.70,0.97,0.56,0.54,98.42,99.21
