t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,828.58,83.78,87.38,251.03,98.88,101.51,-57.79,137.47,0.00,2.69,-0.02
0.0162,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,828.02,84.34,86.19,301.92,113.16,106.07,60.80,139.77,0.00,2.68,-0.02
0.0247,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.63,84.58,85.33,314.30,154.65,106.10,206.56,124.98,0.00,2.66,-0.01
0.0318,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.25,84.56,83.50,395.91,244.50,229.68,-209.29,136.72,0.00,2.65,-0.01
0.0384,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.06,84.38,82.30,363.32,248.74,208.85,113.22,136.18,0.00,2.63,-0.01
0.0450,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.98,84.06,81.22,372.80,202.89,239.08,36.01,129.81,0.00,2.62,-0.01
0.0516,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.92,83.52,80.13,386.18,175.59,245.83,71.39,129.95,0.00,2.60,-0.00
0.0585,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.90,82.79,79.04,399.35,176.24,276.38,31.55,128.90,0.00,2.58,-0.00
0.0653,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.91,81.85,77.95,413.15,185.82,303.63,39.10,127.98,0.00,2.56,0.00
0.0720,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,826.97,80.75,76.92,425.33,197.01,332.52,25.62,126.55,0.00,2.53,0.00
0.0790,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.08,79.38,75.85,439.30,210.26,360.67,21.96,125.56,0.00,2.51,0.01
0.0858,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.24,77.83,74.84,451.58,221.03,390.57,23.20,124.29,0.00,2.48,0.01
0.0927,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.45,76.07,73.84,463.97,234.66,419.98,10.95,123.50,0.00,2.46,0.01
0.0996,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,827.72,74.07,72.86,476.06,248.46,450.14,22.81,122.15,0.00,2.43,0.01
0.1067,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,828.05,71.81,71.89,488.71,264.65,481.08,11.15,120.93,0.00,2.40,0.01
0.1135,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,828.41,69.45,70.97,500.24,281.85,513.18,18.49,119.93,0.00,2.37,0.02
0.1203,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,828.82,66.91,70.04,511.56,301.25,544.64,9.95,118.93,0.00,2.33,0.02
0.1268,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,829.26,64.30,69.14,521.64,320.36,576.38,1.78,118.52,0.00,2.30,0.02
0.1336,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,829.78,61.37,68.23,530.75,338.61,605.66,10.43,117.34,0.00,2.27,0.02
0.1400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,830.30,58.51,67.39,538.21,354.78,635.69,-1.14,116.79,0.00,2.24,0.02
0.1469,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,830.93,55.19,66.51,546.16,372.44,662.77,19.07,115.46,0.00,2.20,0.02
0.1535,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,831.57,51.84,65.64,553.72,390.35,692.33,-2.06,114.91,0.00,2.16,0.03
0.1603,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,832.27,48.30,64.82,557.00,406.58,718.60,4.06,114.27,0.00,2.12,0.03
0.1672,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,833.04,44.53,64.00,560.97,421.88,744.37,19.54,113.29,0.00,2.08,0.03
0.1742,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,833.86,40.55,63.18,562.64,438.16,769.95,-18.99,112.47,0.00,2.04,0.03
0.1807,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,834.66,36.73,62.48,561.43,450.43,792.79,24.93,112.49,0.00,2.00,0.03
0.1878,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,835.59,32.42,61.74,558.54,463.98,814.83,5.85,109.96,0.00,1.96,0.03
0.1950,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,836.56,27.99,61.07,554.75,474.93,834.41,-41.36,112.67,0.00,1.91,0.03
0.2017,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,837.53,23.71,60.48,544.29,483.76,854.84,120.83,107.97,0.00,1.87,0.03
0.2086,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,838.53,19.26,60.05,539.15,489.78,866.08,-316.20,114.96,0.00,1.82,0.03
0.2156,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,839.51,14.66,59.30,535.18,504.41,887.55,274.32,111.74,0.00,1.78,0.03
0.2225,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,840.54,10.13,58.87,520.44,506.52,898.04,34.78,97.19,0.00,1.73,0.03
0.2293,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,841.31,5.49,56.95,586.95,565.36,938.86,155.25,102.25,0.00,1.68,0.04
0.2362,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.25,0.68,55.30,553.83,581.70,951.48,-288.34,104.54,0.00,1.63,0.04
0.2432,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.35,-4.21,53.82,523.64,566.01,963.37,617.89,91.68,0.00,1.58,0.04
0.2499,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.44,-8.90,52.61,508.49,537.12,954.94,-765.76,87.85,0.00,1.53,0.04
0.2571,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.59,-13.96,51.31,495.71,532.43,958.81,534.92,105.79,0.00,1.48,0.04
