t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0138,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.53,36.78,79.99,240.14,626.32,511.10,229.25,128.53,0.00,2.76,-0.04
0.0270,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.33,43.07,81.11,212.43,610.89,456.35,-105.58,128.97,0.00,2.73,-0.04
0.0426,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.11,50.09,82.25,168.70,589.49,403.89,276.40,131.20,0.00,2.68,-0.04
0.0536,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.94,54.93,83.03,152.80,569.99,346.52,-140.20,130.74,0.00,2.64,-0.04
0.0651,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.75,59.87,83.70,125.33,547.97,297.68,209.57,134.20,0.00,2.59,-0.04
0.0752,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.60,64.07,84.29,105.97,530.41,250.87,-30.62,133.92,0.00,2.54,-0.04
0.0870,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.41,68.66,84.78,70.69,509.16,209.47,261.02,132.30,0.00,2.48,-0.04
0.0997,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.23,73.13,85.27,41.78,486.41,167.71,-131.91,132.64,0.00,2.41,-0.04
0.1278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.93,79.57,85.66,99.13,434.50,114.15,346.42,134.27,0.00,2.23,-0.04
0.1496,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.88,82.58,85.72,150.09,369.21,23.14,-140.70,134.08,0.00,2.07,-0.03
0.1628,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.90,84.00,85.62,153.24,312.61,79.00,215.18,135.78,0.00,1.97,-0.03
0.2058,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.34,82.75,85.71,275.35,224.92,167.94,-120.48,136.08,0.00,1.69,-0.03
0.2353,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.97,78.12,85.00,356.94,125.01,307.81,605.67,119.87,0.00,1.43,-0.02
0.2492,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.27,75.76,84.66,344.87,60.55,467.39,-472.49,125.70,0.00,1.31,-0.02
0.2716,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.90,69.82,83.76,397.89,65.08,578.16,586.31,132.31,0.00,1.12,-0.02
0.2821,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.18,66.69,83.31,391.28,76.08,669.51,-382.51,130.38,0.00,1.04,-0.02
0.2967,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.49,61.50,82.31,427.16,157.25,718.75,410.77,133.04,0.00,0.92,-0.01
0.3072,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.70,57.37,81.85,450.39,187.23,755.97,-200.40,132.04,0.00,0.83,-0.01
0.3178,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.75,52.80,80.33,479.32,269.82,793.36,368.12,128.30,0.00,0.75,-0.01
0.3292,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.05,47.51,80.87,481.50,255.61,793.79,-247.25,131.86,0.00,0.66,-0.01
0.3395,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.35,42.39,80.27,513.42,308.48,824.35,33.69,138.19,0.00,0.59,-0.00
0.3509,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.82,36.26,81.87,536.31,332.77,825.67,466.53,112.91,0.00,0.50,-0.00
0.3686,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.24,25.95,83.98,550.33,401.27,855.89,22.41,139.10,0.00,0.37,0.00
