t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0069,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.41,98.75,0.55,0.50,0.58,98.47,99.25
0.0143,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.41,98.74,1.13,1.10,1.21,98.46,99.25
0.0231,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.41,98.72,1.87,2.08,2.37,98.45,99.23
0.0294,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.41,98.73,1.23,1.28,1.02,98.46,99.24
0.0364,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.41,98.74,1.03,1.09,1.07,98.46,99.25
0.0429,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.41,98.75,0.92,1.01,1.00,98.47,99.25
0.0502,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.41,98.75,0.87,0.66,0.63,98.47,99.25
0.0568,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.41,98.75,0.67,0.54,0.39,98.47,99.25
0.0637,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.97,0.41,98.75,0.78,0.61,0.56,98.47,99.25
0.0718,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.97,0.41,98.74,1.84,1.74,1.84,98.46,99.24
0.0785,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.96,0.41,98.74,0.91,0.62,0.46,98.46,99.24
0.0851,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.96,0.41,98.75,1.01,0.91,0.76,98.47,99.25
0.0922,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,0.41,98.75,0.90,0.62,0.48,98.47,99.25
0.0991,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,0.41,98.75,0.98,0.67,0.51,98.47,99.25
0.1060,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.41,98.75,1.09,0.78,0.65,98.47,99.25
0.1130,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.41,98.75,1.12,0.80,0.66,98.47,99.25
