t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,0.10,98.73,0.73,0.97,1.16,98.45,99.23
0.0151,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,0.10,98.73,0.78,0.81,0.95,98.45,99.23
0.0245,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,0.10,98.71,1.97,1.97,2.25,98.43,99.21
0.0320,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,0.10,98.72,1.12,0.75,0.71,98.44,99.22
0.0392,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,0.10,98.73,1.27,1.26,1.16,98.44,99.23
0.0464,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,0.10,98.74,1.08,1.10,1.07,98.45,99.24
0.0549,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,0.10,98.73,1.55,1.08,1.11,98.45,99.23
0.0622,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,0.10,98.73,1.11,0.78,0.65,98.45,99.23
0.0705,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.37,0.10,98.73,1.56,1.03,1.06,98.44,99.23
0.0779,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.37,0.10,98.73,1.24,0.82,0.61,98.44,99.23
0.0855,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.36,0.10,98.73,1.22,0.80,0.66,98.45,99.23
0.0931,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.36,0.10,98.73,1.22,0.81,0.67,98.45,99.23
0.1006,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.35,0.10,98.73,1.27,0.88,0.75,98.45,99.23
0.1084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.35,0.10,98.73,1.45,1.04,0.95,98.45,99.23
0.1163,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.34,0.10,98.73,1.42,1.02,0.89,98.44,99.23
0.1238,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.33,0.10,98.73,1.35,0.97,0.72,98.45,99.23
0.1310,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.33,0.10,98.74,1.24,1.02,0.76,98.45,99.23
