t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.18,98.71,1.23,1.40,1.64,98.43,99.21
0.0149,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.18,98.70,1.11,0.95,1.18,98.43,99.21
0.0229,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.18,98.70,1.17,1.03,1.30,98.42,99.20
0.0294,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.18,98.70,1.11,1.01,0.84,98.43,99.21
0.0359,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.18,98.72,1.28,1.36,1.34,98.44,99.22
0.0421,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.18,98.72,1.06,1.16,1.20,98.44,99.22
0.0487,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.18,98.72,0.71,0.48,0.51,98.44,99.22
0.0554,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.18,98.72,1.03,0.83,0.86,98.44,99.22
0.0621,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.18,98.72,0.91,0.81,0.89,98.44,99.22
0.0686,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.18,98.72,0.82,0.59,0.58,98.44,99.22
0.0761,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.18,98.71,1.51,1.29,1.38,98.43,99.21
0.0827,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.18,98.71,0.96,0.61,0.50,98.43,99.21
0.0892,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.18,98.72,0.98,0.73,0.60,98.44,99.22
