t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0068,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.27,0.03,98.73,0.50,0.56,0.64,98.44,99.22
0.0145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.27,0.03,98.72,1.36,1.25,1.38,98.43,99.22
0.0232,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.27,0.03,98.70,2.04,2.02,2.30,98.42,99.20
0.0301,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.27,0.03,98.71,1.13,0.81,0.73,98.42,99.21
0.0367,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.27,0.03,98.72,1.39,1.48,1.41,98.43,99.22
0.0433,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.26,0.03,98.73,1.13,1.28,1.29,98.44,99.22
0.0497,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.26,0.03,98.73,0.73,0.89,0.90,98.45,99.23
0.0564,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.26,0.03,98.73,0.72,0.73,0.71,98.45,99.23
0.0632,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.25,0.03,98.73,0.73,0.87,0.89,98.44,99.23
0.0702,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.25,0.03,98.72,1.05,1.05,1.10,98.44,99.22
0.0773,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.25,0.03,98.72,0.93,1.00,1.08,98.44,99.22
0.0841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.24,0.03,98.72,0.79,0.73,0.67,98.44,99.22
0.0908,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.24,0.03,98.72,0.75,0.72,0.60,98.44,99.22
0.0978,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.23,0.03,98.72,0.92,0.79,0.71,98.44,99.22
0.1041,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.23,0.03,98.73,0.87,0.86,0.59,98.44,99.23
0.1112,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.22,0.03,98.73,0.98,0.82,0.71,98.44,99.22
0.1180,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.22,0.03,98.72,0.97,0.86,0.71,98.44,99.22
0.1244,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.21,0.03,98.73,0.90,0.84,0.60,98.44,99.23
0.1312,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.21,0.03,98.73,1.01,0.85,0.66,98.44,99.23
0.1380,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.20,0.03,98.73,1.15,0.95,0.80,98.44,99.22
0.1449,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.19,0.03,98.72,1.14,0.92,0.78,98.44,99.22
0.1515,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.19,0.03,98.73,1.12,0.82,0.58,98.44,99.22
0.1585,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.18,0.02,98.72,1.31,0.91,0.76,98.44,99.22
0.1653,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.17,0.02,98.72,1.24,0.83,0.56,98.44,99.22
0.1733,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.17,0.02,98.72,1.96,1.42,1.40,98.43,99.22
0.1802,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.16,0.02,98.72,1.56,0.89,0.58,98.43,99.22
0.1873,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.15,0.02,98.72,1.59,0.88,0.56,98.44,99.22
0.1941,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.15,0.02,98.72,1.57,0.92,0.60,98.44,99.22
0.2008,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.14,0.02,98.73,1.53,0.88,0.56,98.44,99.23
0.2077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.13,0.01,98.73,1.57,0.85,0.56,98.44,99.23
0.2139,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.12,0.01,98.73,1.41,0.92,0.57,98.45,99.23
0.2207,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.12,0.01,98.73,1.46,0.83,0.56,98.44,99.23
0.2276,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.11,0.01,98.73,1.49,0.90,0.69,98.44,99.23
0.2349,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.01,98.72,1.84,1.19,1.11,98.44,99.22
0.2417,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.09,0.00,98.72,1.57,0.84,0.51,98.44,99.22
0.2486,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.09,0.00,98.72,1.62,0.82,0.49,98.44,99.22
0.2555,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.08,0.00,98.73,1.63,0.83,0.48,98.44,99.22
0.2625,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.07,-0.00,98.73,1.69,0.86,0.58,98.44,99.22
0.2697,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.06,-0.00,98.72,1.81,0.96,0.73,98.44,99.22
0.2763,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.05,-0.01,98.73,1.68,0.90,0.39,98.44,99.22
0.2845,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.04,-0.01,98.72,2.28,1.40,1.31,98.43,99.22
0.2913,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.04,-0.01,98.72,1.89,0.98,0.42,98.44,99.22
0.2992,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.03,-0.01,98.72,2.15,1.04,0.80,98.43,99.22
0.3055,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,-0.02,98.73,2.10,1.44,1.00,98.44,99.22
0.3122,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,-0.02,98.73,1.84,1.14,0.87,98.44,99.23
0.3190,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,-0.02,98.73,1.74,0.91,0.49,98.45,99.23
0.3256,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,-0.02,98.73,1.74,0.93,0.54,98.45,99.23
0.3325,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,-0.02,98.73,1.83,1.06,0.80,98.44,99.23
0.3393,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.97,-0.03,98.73,1.70,0.95,0.64,98.44,99.23
0.3459,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.96,-0.03,98.73,1.63,0.86,0.45,98.44,99.23
0.3528,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.96,-0.03,98.73,1.67,0.89,0.57,98.44,99.23
0.3592,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,-0.03,98.73,1.58,0.87,0.37,98.45,99.23
0.3659,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,-0.03,98.73,1.58,0.82,0.46,98.45,99.23
0.3726,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,-0.03,98.73,1.61,0.87,0.57,98.45,99.23
0.3791,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.92,-0.04,98.73,1.53,0.82,0.38,98.45,99.23
0.3860,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,-0.04,98.73,1.65,0.89,0.65,98.45,99.23
0.3928,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.90,-0.04,98.73,1.61,0.86,0.61,98.44,99.23
0.3996,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.90,-0.04,98.73,1.67,0.86,0.59,98.44,99.23
0.4062,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.89,-0.04,98.73,1.64,0.82,0.50,98.45,99.23
0.4127,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,-0.05,98.73,1.59,0.81,0.44,98.45,99.23
0.4191,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,-0.05,98.74,1.56,0.80,0.45,98.45,99.24
0.4258,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,-0.05,98.74,1.63,0.83,0.57,98.45,99.23
0.4323,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,-0.05,98.74,1.57,0.78,0.44,98.45,99.23
0.4391,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,-0.05,98.74,1.71,0.89,0.68,98.45,99.23
0.4455,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,-0.05,98.74,1.61,0.80,0.40,98.45,99.23
0.4524,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,-0.05,98.73,1.74,0.87,0.65,98.45,99.23
0.4590,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,-0.06,98.73,1.67,0.80,0.44,98.45,99.23
0.4661,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,-0.06,98.73,1.87,0.96,0.79,98.44,99.23
0.4728,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,-0.06,98.73,1.75,0.82,0.44,98.44,99.23
0.4798,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,-0.06,98.73,1.84,0.86,0.60,98.44,99.23
0.4864,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.79,-0.06,98.73,1.78,0.85,0.41,98.45,99.23
0.4930,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.78,-0.06,98.74,1.75,0.85,0.50,98.45,99.24
0.4994,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.77,-0.06,98.74,1.71,0.83,0.49,98.45,99.24
0.5060,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.76,-0.07,98.74,1.76,0.85,0.59,98.45,99.24
0.9060,Walk,1,853.80,0.00,90.00,91.34,0.00,0.00,0.00,0.00,850.71,-0.11,98.14,16.56,16.77,18.22,97.94,98.72
1.2341,Walk,1,859.83,0.00,90.02,157.99,0.00,0.00,0.00,0.00,850.76,-0.24,97.60,28.86,49.20,62.54,98.01,98.15
1.5680,Walk,1,867.47,0.00,90.00,206.62,0.00,0.00,0.00,0.00,851.68,0.01,97.42,52.74,37.46,36.27,97.26,97.89
1.8929,Walk,1,876.30,0.00,90.00,242.11,0.00,0.00,0.00,0.00,853.84,0.32,97.79,88.95,89.06,115.21,97.19,98.26
2.2202,Walk,1,885.99,0.00,90.02,268.00,0.00,0.00,0.00,0.00,857.79,0.54,97.21,151.49,123.26,155.72,96.86,97.66
2.5465,Walk,1,896.32,0.00,90.00,286.89,0.00,0.00,0.00,0.00,863.24,0.63,97.70,219.29,198.20,204.28,98.40,98.19
2.8742,Walk,1,907.10,0.00,90.00,300.67,0.00,0.00,0.00,0.00,871.02,0.97,97.62,259.94,249.10,257.38,97.22,98.13
3.2191,Walk,1,918.21,0.00,90.02,310.73,0.00,0.00,0.00,0.00,880.94,1.13,96.40,311.13,310.07,326.45,96.47,97.24
3.5650,Walk,1,928.46,2.69,90.00,285.40,74.90,0.00,0.00,0.00,892.58,1.16,95.08,359.25,370.61,351.43,95.12,95.44
3.9021,Walk,1,938.09,7.20,90.00,268.32,125.68,-0.00,0.00,0.00,905.72,1.56,94.37,362.09,385.74,422.97,93.55,94.65
4.2484,Walk,1,947.31,12.95,90.00,257.15,160.34,0.00,0.00,0.00,919.83,2.17,93.82,394.68,453.26,431.43,94.42,94.15
4.6139,Walk,1,956.25,19.54,90.00,249.99,184.18,0.00,0.00,0.00,934.65,3.83,93.97,315.38,453.26,497.76,93.32,94.40
4.9944,Walk,1,964.98,21.69,90.00,239.79,59.13,0.00,0.00,0.00,949.64,6.74,94.03,332.01,471.89,448.83,94.28,94.41
5.3768,Walk,1,973.50,20.44,90.00,233.14,-34.22,0.00,0.00,0.00,963.95,10.65,93.76,339.41,422.17,448.78,93.19,94.17
5.7603,Walk,1,981.86,16.92,90.00,229.82,-96.82,-0.00,0.00,-0.00,976.25,14.83,92.84,294.92,394.50,359.70,92.51,93.23
6.1525,Walk,1,990.14,11.87,90.00,228.94,-139.48,-0.00,0.00,0.00,986.82,18.68,91.78,260.41,333.32,337.46,91.80,92.21
6.5496,Walk,1,999.51,8.48,90.00,259.75,-94.03,0.00,0.00,0.00,995.94,21.75,91.34,224.50,270.72,291.86,90.33,91.69
6.9435,Walk,1,1009.63,6.19,90.00,281.43,-63.60,0.00,0.00,0.00,1003.32,22.95,90.84,228.23,239.45,237.21,91.00,91.22
7.3435,Walk,1,1020.28,4.65,90.00,296.93,-43.13,0.00,0.00,0.00,1009.54,22.86,90.49,204.16,190.62,187.73,89.52,90.89
7.7182,Walk,1,1031.30,3.60,90.00,308.10,-29.32,0.00,0.00,0.00,1015.00,20.77,90.01,238.46,175.19,190.87,89.52,90.47
8.1021,Walk,1,1038.80,2.88,90.00,202.16,-19.24,-0.00,0.00,0.00,1020.57,17.42,89.90,213.92,226.85,198.42,89.14,90.18
8.4863,Walk,1,1043.71,2.42,90.00,124.86,-11.88,-0.00,0.00,-0.00,1026.53,12.92,90.58,231.02,233.07,250.56,90.00,91.05
8.8777,Walk,1,1046.40,2.16,90.00,68.46,-6.51,0.00,-0.00,0.00,1032.90,7.70,91.46,240.24,263.28,264.60,91.63,92.01
9.2504,Walk,1,1048.07,2.00,90.00,38.54,-3.67,0.00,0.00,-0.00,1039.71,2.70,92.69,224.84,266.54,232.62,92.25,93.16
9.6440,Idle,1,1048.65,1.95,90.00,13.36,-1.27,0.00,0.00,0.00,1046.05,-2.06,93.18,179.14,252.29,260.43,92.59,93.65
10.0183,Idle,1,1048.62,1.95,90.00,-0.50,0.05,-0.00,-0.00,0.00,1051.37,-5.94,93.73,135.62,175.88,208.48,93.31,94.13
