t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0061,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.23,100.89,0.95,3.08,1.09,73.90,149.84,0.00,1.90,-0.11
0.0132,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.23,100.88,1.75,1.44,0.33,73.89,149.83,0.00,1.90,-0.11
0.0207,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.23,100.87,2.17,1.01,0.38,73.86,149.81,0.00,1.89,-0.11
0.0259,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.23,100.88,1.25,2.46,1.55,73.87,149.82,0.00,1.89,-0.11
0.0318,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.23,100.89,0.66,1.65,0.88,73.87,149.83,0.00,1.88,-0.11
0.0380,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.23,100.89,0.26,1.26,0.83,73.87,149.83,0.00,1.88,-0.11
0.0448,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.88,1.39,1.56,0.38,73.85,149.83,0.00,1.87,-0.11
0.0509,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.88,0.74,1.52,0.62,73.84,149.83,0.00,1.86,-0.11
0.0568,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.88,0.28,1.40,0.48,73.84,149.83,0.00,1.86,-0.11
0.0622,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.89,0.47,1.99,1.01,73.84,149.83,0.00,1.85,-0.11
0.0682,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.89,0.37,1.22,0.49,73.84,149.84,0.00,1.84,-0.11
0.0748,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.89,1.35,1.49,0.34,73.82,149.83,0.00,1.83,-0.10
0.0802,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.89,0.13,1.82,0.66,73.82,149.83,0.00,1.83,-0.10
0.0861,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.89,0.36,1.25,0.70,73.82,149.83,0.00,1.82,-0.10
0.0917,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.89,0.23,1.63,0.57,73.81,149.84,0.00,1.81,-0.10
0.0972,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.24,100.90,0.21,1.79,0.85,73.81,149.84,0.00,1.80,-0.10
0.1031,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.24,100.89,0.70,1.11,0.91,73.81,149.84,0.00,1.79,-0.09
0.1087,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.24,100.90,0.39,1.48,1.07,73.80,149.84,0.00,1.78,-0.09
0.1145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.24,100.89,0.67,1.11,0.69,73.80,149.84,0.00,1.77,-0.09
0.1206,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.24,100.89,1.04,1.27,0.62,73.79,149.83,0.00,1.76,-0.09
0.1261,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.24,100.89,0.25,1.48,0.58,73.78,149.84,0.00,1.75,-0.09
0.1319,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.24,100.89,0.43,1.73,0.71,73.77,149.84,0.00,1.74,-0.08
