t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0057,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.20,100.91,0.78,1.26,0.78,73.92,149.86,0.00,1.87,-0.09
0.0126,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.20,100.90,2.14,1.88,0.18,73.90,149.85,0.00,1.86,-0.09
0.0199,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.21,100.88,2.19,1.27,0.16,73.88,149.83,0.00,1.86,-0.10
0.0255,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.21,100.89,0.14,1.59,1.11,73.88,149.83,0.00,1.86,-0.10
0.0311,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.21,100.90,0.82,2.08,0.96,73.88,149.84,0.00,1.85,-0.10
0.0366,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.21,100.90,0.52,1.63,0.75,73.88,149.85,0.00,1.85,-0.09
0.0435,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.21,100.90,1.37,1.29,0.40,73.87,149.84,0.00,1.84,-0.09
0.0479,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,-0.21,100.91,1.27,2.24,0.95,73.87,149.85,0.00,1.84,-0.09
0.0532,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.91,0.46,1.54,1.27,73.88,149.86,0.00,1.83,-0.09
0.0583,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.92,0.14,1.60,1.59,73.88,149.86,0.00,1.83,-0.09
0.0646,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.91,1.40,1.42,0.60,73.87,149.86,0.00,1.82,-0.08
0.0704,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.90,1.22,1.36,0.81,73.86,149.85,0.00,1.82,-0.08
0.0772,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.21,100.89,1.89,0.89,0.08,73.84,149.84,0.00,1.81,-0.08
0.0831,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.21,100.89,0.55,1.64,0.66,73.83,149.84,0.00,1.80,-0.08
0.0890,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.21,100.89,0.20,1.26,0.62,73.83,149.84,0.00,1.79,-0.08
0.0949,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.21,100.90,0.21,1.59,0.85,73.82,149.84,0.00,1.79,-0.08
0.1006,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.21,100.90,0.19,1.83,0.66,73.82,149.85,0.00,1.78,-0.08
0.1064,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.21,100.90,0.46,1.18,0.75,73.81,149.85,0.00,1.77,-0.08
0.1120,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.20,100.90,0.38,1.50,0.68,73.81,149.85,0.00,1.76,-0.08
0.1181,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.90,0.93,0.97,0.75,73.80,149.85,0.00,1.75,-0.07
0.1233,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.90,0.17,1.71,0.88,73.80,149.85,0.00,1.75,-0.07
0.1287,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,0.13,1.41,0.66,73.79,149.85,0.00,1.74,-0.07
0.1346,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.90,0.82,1.31,0.72,73.79,149.85,0.00,1.72,-0.07
0.1401,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.91,0.46,1.29,0.69,73.78,149.85,0.00,1.71,-0.07
0.1464,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.90,1.36,1.24,0.67,73.77,149.85,0.00,1.70,-0.06
0.1526,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.20,100.89,1.16,0.94,0.52,73.75,149.84,0.00,1.68,-0.06
0.1578,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.21,100.90,0.27,1.98,1.05,73.75,149.85,0.00,1.67,-0.06
0.1636,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.21,100.90,0.24,1.29,1.03,73.74,149.85,0.00,1.65,-0.06
0.1690,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.21,100.91,0.23,1.85,1.75,73.74,149.85,0.00,1.63,-0.05
