t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0063,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.90,-0.22,100.85,0.26,1.97,0.69,73.78,149.79,0.00,1.89,-0.15
0.0158,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.22,100.82,3.10,2.87,0.31,73.74,149.76,0.00,1.88,-0.15
0.0235,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.22,100.81,1.30,2.27,0.38,73.72,149.75,0.00,1.87,-0.16
0.0302,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.22,100.83,0.78,1.83,1.18,73.72,149.76,0.00,1.87,-0.16
0.0373,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.21,100.83,0.61,2.10,1.30,73.72,149.77,0.00,1.86,-0.16
0.0440,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.21,100.84,0.61,1.70,0.95,73.72,149.77,0.00,1.85,-0.16
0.0506,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,-0.21,100.85,0.62,1.98,1.05,73.72,149.78,0.00,1.84,-0.15
0.0577,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.20,100.85,1.00,1.69,0.56,73.72,149.78,0.00,1.84,-0.15
0.0643,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.20,100.84,0.84,1.97,0.77,73.71,149.78,0.00,1.83,-0.15
0.0708,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.20,100.85,0.61,1.63,0.65,73.71,149.78,0.00,1.82,-0.15
0.0778,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.20,100.84,1.07,1.97,0.63,73.70,149.78,0.00,1.81,-0.15
0.0845,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,-0.19,100.84,0.77,1.89,0.55,73.70,149.78,0.00,1.80,-0.14
0.0922,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.19,100.83,1.78,1.90,0.39,73.68,149.76,0.00,1.79,-0.14
0.0997,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,-0.19,100.83,1.42,1.67,0.42,73.66,149.76,0.00,1.77,-0.14
