t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.83,-35.92,161.59,525.63,596.19,443.89,283.09,216.61,0.00,2.50,-0.00
0.0197,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,918.14,-32.87,166.72,425.33,821.19,501.64,-289.59,239.11,0.00,2.33,0.41
0.0265,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,933.88,-57.16,176.69,1008.63,2299.93,1590.29,381.79,224.30,0.00,2.21,0.50
0.0346,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,974.89,-94.03,186.52,1055.12,3027.35,3245.67,-354.51,235.59,0.00,1.92,0.75
0.0418,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1010.45,-122.68,192.85,784.90,4882.29,5484.12,568.54,250.07,0.00,1.45,0.99
0.0487,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1036.73,-157.60,197.26,685.35,6879.76,7211.30,-406.55,237.90,0.00,0.94,1.18
0.0552,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1064.77,-195.66,202.29,628.95,8075.07,5299.36,1216.86,245.47,0.00,0.65,1.38
0.0622,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1082.62,-239.29,207.90,758.35,8972.27,4874.01,-525.61,249.91,0.00,0.47,1.52
0.0688,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1102.96,-272.12,213.38,804.57,9197.66,4538.05,1894.22,265.89,0.00,0.44,1.66
0.0759,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,1138.86,-319.05,224.95,1188.76,8664.66,4130.67,-746.53,269.34,0.00,0.48,1.90
