t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,0.00,97.49,29.21,29.50,31.20,83.92,146.89,0.00,2.40,0.00
0.0187,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.00,97.06,36.81,37.18,39.51,43.66,146.75,0.00,2.39,0.00
0.0245,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.00,96.83,39.02,38.62,44.91,108.23,146.20,0.00,2.39,-0.00
0.0323,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.00,96.51,42.62,42.98,47.58,2.69,145.90,0.00,2.38,-0.00
0.0394,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.00,96.17,46.69,47.45,53.93,143.58,145.65,0.00,2.38,-0.00
0.0463,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.01,95.85,48.74,50.62,56.49,-37.49,145.25,0.00,2.37,-0.00
0.0530,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.01,95.49,53.10,56.19,63.51,201.45,144.73,0.00,2.36,-0.00
0.0598,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,-0.01,95.14,53.68,58.37,64.46,-122.17,144.25,0.00,2.35,-0.00
0.0662,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,-0.02,94.74,59.66,65.50,74.22,313.02,143.16,0.00,2.34,-0.00
0.0729,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.10,0.27,1.44,1.64,68.21,147.59,0.00,2.07,0.00
0.0803,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.01,98.05,7.47,6.39,8.68,70.85,147.48,0.00,2.07,0.00
0.0874,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,97.95,14.23,13.22,15.57,65.92,147.42,0.00,2.07,0.00
0.0942,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.01,97.81,20.04,19.85,22.47,74.27,147.18,0.00,2.06,0.00
