t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0190,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.51,98.31,0.49,0.35,0.54,98.12,98.90
0.0417,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.50,98.25,3.28,3.42,3.85,98.06,98.84
0.0628,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.50,98.22,1.02,1.53,2.20,98.04,98.82
0.0817,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.50,98.28,1.66,1.93,1.70,98.09,98.87
0.1003,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.50,98.34,2.03,2.47,2.54,98.14,98.92
0.1184,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.50,98.38,1.41,1.80,1.97,98.17,98.95
0.1343,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.50,98.44,2.35,2.87,3.09,98.22,99.00
0.1518,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.50,98.45,0.51,0.71,1.02,98.23,99.01
0.1687,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.51,98.45,1.05,1.00,1.20,98.23,99.01
0.1883,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.51,98.39,3.43,3.62,3.97,98.17,98.96
0.2047,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.51,98.40,1.00,0.64,0.59,98.18,98.97
0.2300,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.51,98.23,6.35,6.88,7.56,98.05,98.83
