t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0069,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.79,0.11,100.82,0.21,2.03,0.95,73.73,149.75,0.00,-88.17,-0.22
0.0165,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.79,0.11,100.80,2.58,2.90,0.64,73.70,149.73,0.00,-88.17,-0.22
0.0252,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.79,0.11,100.78,1.82,2.38,0.68,73.67,149.71,0.00,-88.18,-0.22
0.0324,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.79,0.11,100.79,0.62,2.08,1.15,73.67,149.72,0.00,-88.18,-0.22
0.0406,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.80,0.11,100.80,0.64,1.97,0.57,73.66,149.72,0.00,-88.19,-0.22
0.0484,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.80,0.10,100.80,0.68,1.63,0.91,73.65,149.72,0.00,-88.20,-0.22
0.0564,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.80,0.10,100.80,0.91,1.89,0.58,73.64,149.72,0.00,-88.21,-0.22
0.0644,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.80,0.10,100.80,1.07,1.46,0.77,73.63,149.72,0.00,-88.22,-0.22
0.0709,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.81,0.10,100.81,1.07,2.55,1.20,73.64,149.73,0.00,-88.23,-0.21
0.0784,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.81,0.10,100.81,0.58,2.03,0.96,73.63,149.74,0.00,-88.24,-0.21
0.0856,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.81,0.09,100.81,0.66,1.61,0.65,73.63,149.74,0.00,-88.25,-0.21
