t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.12,101.71,0.63,2.72,2.73,83.20,151.19,0.00,-87.64,0.28
0.0211,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.12,101.55,10.42,5.73,4.92,83.04,151.03,0.00,-87.66,0.28
0.0288,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.12,101.51,6.27,4.06,3.19,82.99,150.99,0.00,-87.67,0.28
0.0367,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.12,101.50,2.48,4.19,3.64,82.96,150.98,0.00,-87.68,0.28
0.0441,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.12,101.52,1.93,5.68,5.62,82.97,151.01,0.00,-87.69,0.28
0.0513,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.12,101.56,4.43,6.58,6.10,83.00,151.05,0.00,-87.71,0.28
0.0590,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.11,101.60,4.41,5.22,5.22,83.02,151.09,0.00,-87.73,0.29
0.0651,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.11,101.65,6.91,7.33,6.81,83.06,151.14,0.00,-87.74,0.29
0.0756,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.11,101.65,1.43,1.50,1.14,83.04,151.14,0.00,-87.77,0.29
0.0826,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.10,101.66,1.58,3.67,3.26,83.04,151.14,0.00,-87.80,0.29
0.0897,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.10,101.67,1.92,3.47,2.85,83.05,151.15,0.00,-87.82,0.29
0.0968,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.10,101.68,1.93,3.49,2.68,83.06,151.16,0.00,-87.84,0.30
0.1049,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.09,101.67,1.79,2.63,1.39,83.05,151.16,0.00,-87.87,0.30
0.1102,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.09,101.70,4.08,6.80,5.87,83.07,151.18,0.00,-87.89,0.30
0.1171,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.09,101.72,3.93,4.50,3.48,83.10,151.21,0.00,-87.91,0.30
0.1238,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.08,101.74,3.37,3.93,2.79,83.12,151.23,0.00,-87.93,0.30
0.1309,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.08,101.75,2.46,3.16,2.04,83.14,151.24,0.00,-87.96,0.31
0.1384,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.07,101.74,2.37,2.42,1.56,83.14,151.23,0.00,-87.99,0.31
0.1455,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.07,101.73,2.56,2.78,1.62,83.14,151.22,0.00,-88.02,0.31
0.1534,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.06,101.71,3.58,2.39,1.00,83.13,151.20,0.00,-88.05,0.31
0.1603,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.06,101.70,2.94,3.19,1.90,83.13,151.19,0.00,-88.08,0.31
0.1710,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.05,101.62,7.31,3.71,2.75,83.07,151.11,0.00,-88.13,0.31
0.1779,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.04,101.61,4.07,4.15,2.67,83.06,151.10,0.00,-88.16,0.31
0.1851,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.04,101.61,2.47,4.39,3.02,83.07,151.10,0.00,-88.19,0.31
0.1919,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.03,101.63,2.99,5.30,4.00,83.09,151.12,0.00,-88.22,0.32
0.1989,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.02,101.66,3.68,5.24,3.60,83.12,151.15,0.00,-88.25,0.32
0.2066,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.02,101.68,3.00,3.72,3.26,83.14,151.16,0.00,-88.29,0.33
0.2139,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.01,101.69,2.84,3.61,3.61,83.15,151.17,0.00,-88.33,0.33
0.2210,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.00,101.70,2.83,3.74,3.23,83.17,151.18,0.00,-88.36,0.33
0.2292,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.01,101.69,2.93,2.66,1.53,83.17,151.18,0.00,-88.41,0.33
0.2364,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.01,101.69,2.90,3.44,1.42,83.17,151.17,0.00,-88.45,0.33
0.2435,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.02,101.69,2.81,3.45,2.09,83.18,151.17,0.00,-88.49,0.33
0.2505,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.03,101.69,2.81,3.69,1.98,83.19,151.18,0.00,-88.53,0.34
0.2581,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.03,101.69,2.88,3.03,2.18,83.19,151.18,0.00,-88.57,0.34
0.2658,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.04,101.68,3.04,3.16,2.22,83.19,151.17,0.00,-88.61,0.34
0.2728,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.05,101.68,2.82,3.57,2.61,83.20,151.17,0.00,-88.65,0.34
0.2802,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.06,101.68,2.82,3.59,3.14,83.20,151.17,0.00,-88.69,0.34
0.2898,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.07,101.64,5.06,4.79,1.93,83.17,151.13,0.00,-88.75,0.34
0.2972,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.07,101.62,3.86,6.05,2.14,83.16,151.11,0.00,-88.80,0.34
0.3044,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.08,101.62,2.95,6.36,2.38,83.16,151.11,0.00,-88.84,0.34
0.3128,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.08,101.61,3.34,5.68,0.93,83.14,151.10,0.00,-88.90,0.34
0.3243,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.09,101.52,7.76,6.82,2.48,83.06,151.01,0.00,-88.99,0.33
0.3321,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.09,101.49,4.89,7.52,2.13,83.03,150.98,0.00,-89.04,0.32
0.3386,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.09,101.51,3.19,8.20,5.34,83.04,151.00,0.00,-89.09,0.32
0.3458,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.09,101.55,4.88,7.87,5.18,83.07,151.04,0.00,-89.14,0.32
0.3528,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.09,101.59,5.96,7.61,5.03,83.10,151.08,0.00,-89.19,0.33
0.3599,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.09,101.63,6.06,6.66,5.13,83.13,151.12,0.00,-89.24,0.33
0.3667,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.09,101.67,5.92,6.31,6.02,83.17,151.16,0.00,-89.29,0.33
0.3739,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.09,101.70,4.63,5.27,5.60,83.19,151.18,0.00,-89.34,0.33
0.3815,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.09,101.71,3.06,5.40,5.22,83.21,151.20,0.00,-89.40,0.33
0.3890,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.09,101.71,2.29,5.66,4.57,83.21,151.20,0.00,-89.46,0.33
0.3964,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,0.08,101.70,2.33,4.74,3.80,83.21,151.19,0.00,-89.52,0.33
0.4038,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,0.08,101.69,2.38,5.61,3.35,83.21,151.18,0.00,-89.57,0.33
0.4112,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,0.08,101.68,2.40,5.99,2.98,83.21,151.17,0.00,-89.63,0.33
0.4184,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.95,0.07,101.68,2.25,6.20,2.80,83.21,151.17,0.00,-89.68,0.33
0.4261,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.95,0.07,101.67,2.55,5.99,2.62,83.21,151.16,0.00,-89.74,0.32
