t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,0.64,98.78,0.73,0.71,0.86,98.50,99.28
0.0147,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,0.64,98.77,1.14,1.27,1.57,98.49,99.27
0.0224,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,0.64,98.76,1.29,1.13,1.42,98.48,99.27
0.0294,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.64,98.76,0.71,0.34,0.32,98.48,99.27
0.0361,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.64,98.77,0.91,0.97,0.86,98.49,99.28
0.0424,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.64,98.78,1.02,1.20,1.18,98.50,99.28
0.0491,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.64,98.78,0.54,0.41,0.52,98.50,99.29
0.0557,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.64,98.78,0.64,0.38,0.55,98.50,99.29
0.0625,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.64,98.78,0.91,0.69,0.86,98.50,99.28
0.0691,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,0.64,98.78,0.58,0.33,0.56,98.49,99.28
0.0756,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,0.64,98.78,0.55,0.32,0.41,98.50,99.28
0.0826,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,0.64,98.78,0.86,0.58,0.73,98.49,99.28
