t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0068,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.68,98.71,0.44,0.39,0.53,98.44,99.22
0.0147,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.69,98.70,1.42,1.44,1.59,98.43,99.21
0.0229,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.69,98.69,1.18,1.41,1.73,98.42,99.20
0.0299,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.69,98.70,0.51,0.36,0.35,98.42,99.20
0.0367,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.69,98.71,0.97,1.08,1.02,98.43,99.21
0.0440,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.10,0.69,98.71,0.56,0.49,0.54,98.43,99.22
0.0511,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.09,0.69,98.71,0.58,0.36,0.44,98.43,99.22
0.0580,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.09,0.69,98.71,0.64,0.41,0.49,98.43,99.22
0.0701,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.09,0.69,98.66,4.32,4.56,4.90,98.39,99.17
0.0772,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.08,0.69,98.67,1.60,1.14,0.55,98.40,99.18
0.0840,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.08,0.69,98.69,2.99,3.29,3.19,98.42,99.20
0.0914,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.08,0.69,98.71,1.90,2.08,2.21,98.43,99.22
0.0982,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.08,0.69,98.72,1.21,1.19,1.29,98.44,99.22
0.1051,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.07,0.69,98.72,0.90,0.52,0.49,98.44,99.22
0.1122,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.07,0.69,98.72,1.25,0.95,0.91,98.44,99.22
0.1192,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.06,0.69,98.71,1.03,0.78,0.77,98.43,99.22
0.1262,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.06,0.69,98.71,1.04,0.65,0.57,98.43,99.22
0.1336,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.05,0.69,98.71,1.26,0.90,0.88,98.43,99.21
0.1407,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.04,0.69,98.71,1.07,0.65,0.53,98.43,99.21
0.1490,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.04,0.69,98.70,1.68,1.36,1.41,98.42,99.21
0.1559,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.03,0.69,98.70,1.28,0.77,0.42,98.43,99.21
0.1633,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.69,98.71,1.22,0.70,0.50,98.43,99.21
0.1708,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,0.69,98.71,1.30,0.71,0.54,98.43,99.21
0.1778,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.01,0.69,98.71,1.27,0.70,0.45,98.43,99.22
0.1844,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.69,98.72,1.32,0.91,0.71,98.44,99.22
0.1912,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.00,0.69,98.72,1.27,0.79,0.58,98.44,99.22
0.1980,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.99,0.69,98.72,1.30,0.74,0.47,98.44,99.22
0.2047,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.98,0.69,98.72,1.32,0.75,0.47,98.44,99.22
0.2116,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.97,0.69,98.72,1.43,0.88,0.67,98.44,99.22
0.2183,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.96,0.69,98.72,1.35,0.75,0.42,98.44,99.22
0.2256,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,0.69,98.72,1.53,0.94,0.76,98.44,99.22
0.2332,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.69,98.71,1.62,1.15,1.10,98.43,99.22
0.2400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.69,98.71,1.50,0.79,0.40,98.44,99.22
0.2471,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,0.69,98.72,1.52,0.79,0.42,98.44,99.22
0.2538,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.92,0.68,98.72,1.55,0.85,0.49,98.44,99.22
0.2609,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,0.68,98.72,1.60,0.84,0.48,98.44,99.22
0.2681,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.90,0.68,98.72,1.74,1.00,0.76,98.44,99.22
0.2755,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.89,0.68,98.71,1.71,1.01,0.79,98.44,99.22
0.2824,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.68,98.72,1.69,0.86,0.42,98.44,99.22
0.2894,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.68,98.72,1.72,0.87,0.44,98.44,99.22
0.2960,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.68,98.72,1.74,0.96,0.55,98.44,99.23
0.3032,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.68,98.72,1.79,0.93,0.51,98.44,99.23
