t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.81,0.40,0.50,0.45,98.52,99.31
0.0137,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.80,0.52,0.43,0.58,98.52,99.31
0.0219,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.79,1.66,1.60,1.81,98.51,99.30
0.0297,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.51,0.83,98.78,1.12,1.05,1.41,98.50,99.29
0.0360,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.80,1.33,1.39,1.17,98.51,99.30
0.0430,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.51,0.83,98.80,0.96,0.95,0.94,98.52,99.31
0.0493,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.51,0.83,98.81,0.94,1.01,1.00,98.53,99.31
0.0563,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.81,0.73,0.38,0.46,98.53,99.31
0.0629,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.81,0.81,0.52,0.60,98.52,99.31
0.0700,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.80,1.09,0.85,0.97,98.52,99.31
0.0766,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.83,98.80,0.71,0.37,0.43,98.52,99.31
0.0838,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.84,98.80,0.96,0.58,0.67,98.52,99.31
0.0906,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.84,98.80,0.89,0.46,0.49,98.52,99.31
0.0976,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.49,0.84,98.80,0.94,0.48,0.48,98.52,99.31
0.1045,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.49,0.84,98.80,0.96,0.48,0.43,98.52,99.31
0.1109,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.49,0.84,98.81,0.93,0.62,0.46,98.52,99.31
0.1179,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,0.84,98.81,1.05,0.57,0.49,98.52,99.31
0.1250,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,0.84,98.80,1.28,0.82,0.80,98.52,99.31
0.1320,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.84,98.80,1.16,0.67,0.58,98.52,99.31
0.1388,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.83,98.80,1.18,0.62,0.41,98.52,99.31
0.1456,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,0.83,98.80,1.20,0.63,0.41,98.52,99.31
0.1527,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,0.83,98.80,1.32,0.71,0.56,98.52,99.31
0.1594,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.45,0.83,98.81,1.27,0.68,0.43,98.52,99.31
0.1661,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.45,0.83,98.81,1.26,0.68,0.41,98.52,99.31
0.1739,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.44,0.83,98.80,1.84,1.29,1.27,98.52,99.31
0.1812,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.43,0.83,98.79,1.61,0.97,0.92,98.51,99.30
0.1880,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.43,0.83,98.80,1.55,0.85,0.48,98.52,99.31
0.1948,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.42,0.83,98.80,1.56,0.96,0.67,98.52,99.31
0.2010,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.41,0.83,98.81,1.57,1.19,0.98,98.53,99.32
0.2076,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.40,0.83,98.81,1.42,0.81,0.47,98.53,99.32
0.2146,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.40,0.83,98.81,1.62,1.00,0.74,98.53,99.32
0.2212,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,0.82,98.81,1.49,0.89,0.53,98.52,99.31
0.2278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,0.82,98.81,1.48,0.84,0.43,98.52,99.31
