t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0066,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.66,0.84,98.82,0.56,0.54,0.42,98.53,99.32
0.0147,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.84,98.81,1.05,0.91,1.09,98.53,99.32
0.0232,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.84,98.80,1.40,1.39,1.76,98.52,99.31
0.0298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.84,98.81,0.95,0.91,0.65,98.52,99.31
0.0367,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.84,98.81,0.99,1.08,1.01,98.53,99.32
0.0434,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.82,0.79,0.87,0.87,98.54,99.33
0.0497,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.83,0.69,0.84,0.88,98.54,99.33
0.0565,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.83,0.52,0.35,0.47,98.54,99.33
0.0632,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.82,0.79,0.67,0.78,98.54,99.33
0.0698,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.82,0.39,0.36,0.51,98.54,99.33
0.0767,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.82,0.68,0.55,0.66,98.53,99.33
0.0840,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.82,1.12,0.99,1.13,98.53,99.32
0.0908,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.85,98.82,0.62,0.38,0.39,98.53,99.32
0.0976,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.85,98.82,0.66,0.49,0.38,98.53,99.32
0.1036,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.85,98.83,0.94,1.06,0.99,98.54,99.33
0.1101,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.85,98.83,0.57,0.54,0.49,98.54,99.33
0.1164,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.66,0.85,98.83,0.59,0.52,0.39,98.54,99.33
0.1236,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.66,0.85,98.82,1.31,1.21,1.20,98.54,99.33
0.1307,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.66,0.85,98.82,1.15,1.10,1.16,98.53,99.32
0.1373,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.65,0.85,98.82,0.98,0.67,0.50,98.53,99.32
0.1444,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.65,0.85,98.82,1.14,0.72,0.59,98.53,99.32
0.1510,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.64,0.85,98.82,1.11,0.74,0.47,98.53,99.32
0.1578,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.63,0.85,98.82,1.17,0.73,0.47,98.54,99.33
