t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0078,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,97.45,2.06,0.52,1.09,94.75,146.93,0.00,-87.48,0.27
0.0185,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,97.39,5.06,1.59,2.08,94.69,146.87,0.00,-87.50,0.27
0.0273,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,97.35,3.38,0.90,0.47,94.65,146.84,0.00,-87.52,0.27
0.0337,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.37,2.84,1.80,4.62,94.65,146.86,0.00,-87.53,0.27
0.0398,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.41,6.68,3.03,7.30,94.67,146.90,0.00,-87.53,0.27
0.0464,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.01,97.45,6.43,2.93,6.00,94.70,146.94,0.00,-87.54,0.27
0.0528,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.01,97.49,5.43,2.41,5.06,94.74,146.97,0.00,-87.55,0.27
0.0603,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.00,97.50,2.26,1.15,2.67,94.76,146.99,0.00,-87.57,0.27
0.0667,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.00,97.51,1.36,0.95,2.37,94.78,147.00,0.00,-87.59,0.27
0.0732,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.00,97.51,0.30,0.62,1.58,94.79,147.00,0.00,-87.61,0.27
0.0789,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.00,97.51,0.83,0.33,2.21,94.80,147.00,0.00,-87.63,0.27
0.0869,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.00,97.50,1.82,1.22,0.28,94.79,146.98,0.00,-87.66,0.27
0.0948,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.00,97.47,2.81,0.73,0.33,94.77,146.96,0.00,-87.69,0.26
0.1024,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.00,97.45,2.53,0.62,0.67,94.74,146.94,0.00,-87.71,0.26
0.1102,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.00,97.43,1.89,0.40,1.13,94.72,146.92,0.00,-87.74,0.26
0.1200,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.00,97.39,3.64,1.59,1.18,94.66,146.88,0.00,-87.78,0.26
0.1316,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,0.01,97.32,6.04,1.81,2.45,94.55,146.80,0.00,-87.83,0.26
0.1400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,0.01,97.30,1.67,0.86,1.79,94.50,146.79,0.00,-87.86,0.26
0.1485,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.01,97.31,1.37,0.88,1.92,94.47,146.80,0.00,-87.90,0.26
0.1541,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.01,97.36,9.03,4.39,9.52,94.49,146.85,0.00,-87.91,0.26
0.1614,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.01,97.42,8.19,4.18,3.94,94.53,146.91,0.00,-87.94,0.27
0.1686,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.01,97.46,6.02,2.69,5.27,94.56,146.95,0.00,-87.97,0.27
0.1766,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.02,97.48,2.43,2.01,3.08,94.58,146.97,0.00,-88.01,0.27
0.1829,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.02,97.49,2.03,0.92,3.33,94.60,146.98,0.00,-88.04,0.27
0.1899,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.02,97.50,0.61,1.25,2.43,94.60,146.98,0.00,-88.08,0.27
0.1984,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.02,97.47,2.31,2.09,1.40,94.59,146.96,0.00,-88.13,0.27
0.2042,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.02,97.47,0.43,0.50,3.74,94.59,146.96,0.00,-88.16,0.27
0.2109,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.02,97.47,0.58,0.27,3.50,94.59,146.96,0.00,-88.20,0.27
0.2197,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.02,97.45,2.15,1.31,1.88,94.56,146.94,0.00,-88.26,0.27
0.2280,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.02,97.43,2.63,0.90,2.06,94.53,146.91,0.00,-88.31,0.28
0.2344,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.03,97.43,0.72,0.90,4.48,94.52,146.92,0.00,-88.35,0.28
