t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0071,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.30,98.74,0.49,0.57,0.81,98.45,99.24
0.0145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.30,98.73,0.86,0.75,0.95,98.45,99.23
0.0278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.30,98.66,4.66,4.76,5.30,98.39,99.17
0.0350,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.30,98.68,2.64,2.05,1.45,98.40,99.19
0.0413,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.30,98.72,4.82,5.36,5.29,98.44,99.22
0.0481,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.31,98.75,3.30,3.79,4.06,98.46,99.24
0.0553,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.31,98.75,1.19,1.14,1.37,98.47,99.25
0.0618,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.31,98.75,0.86,0.65,0.67,98.46,99.25
0.0694,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.31,98.74,1.83,1.70,1.77,98.45,99.24
0.0762,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.77,0.31,98.74,0.97,1.00,1.16,98.45,99.24
0.0832,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.76,0.31,98.74,0.82,0.71,0.77,98.45,99.24
0.0898,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.76,0.31,98.74,0.65,0.66,0.52,98.45,99.24
0.0970,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.76,0.31,98.74,0.73,0.66,0.67,98.45,99.24
0.1039,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.76,0.31,98.74,0.69,0.69,0.66,98.45,99.24
0.1109,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.75,0.31,98.74,0.81,0.79,0.76,98.45,99.24
0.1180,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.75,0.31,98.74,0.76,0.76,0.70,98.45,99.24
0.1248,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.74,0.31,98.74,0.72,0.74,0.58,98.45,99.24
0.1317,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.74,0.31,98.74,0.80,0.77,0.63,98.45,99.24
0.1387,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.73,0.31,98.74,0.98,0.90,0.79,98.45,99.24
0.1457,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.73,0.31,98.74,0.89,0.82,0.63,98.45,99.24
0.1533,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.72,0.31,98.73,1.40,1.15,1.10,98.45,99.23
0.1606,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.71,0.31,98.73,1.20,0.92,0.76,98.45,99.23
0.1673,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.71,0.30,98.74,1.17,0.96,0.68,98.45,99.24
0.1742,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.70,0.30,98.74,1.17,0.88,0.62,98.45,99.24
0.1811,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.69,0.30,98.74,1.17,0.88,0.59,98.45,99.24
0.1877,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.69,0.30,98.74,1.14,0.89,0.58,98.46,99.24
0.1948,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.68,0.30,98.74,1.39,1.04,0.84,98.45,99.24
0.2018,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.67,0.30,98.74,1.33,1.00,0.75,98.45,99.24
0.2084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.66,0.30,98.74,1.26,0.94,0.57,98.45,99.24
0.2152,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.66,0.30,98.74,1.31,0.91,0.57,98.45,99.24
0.2219,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.65,0.30,98.74,1.34,0.94,0.59,98.46,99.24
0.2292,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.64,0.29,98.74,1.66,1.18,0.97,98.45,99.24
0.2357,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.63,0.29,98.74,1.44,0.98,0.49,98.45,99.24
0.2425,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.62,0.29,98.74,1.44,0.95,0.53,98.45,99.24
0.2489,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.61,0.29,98.75,1.40,1.00,0.58,98.46,99.25
0.2556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.60,0.29,98.75,1.46,0.96,0.56,98.46,99.25
0.2621,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.60,0.29,98.75,1.46,0.99,0.56,98.46,99.25
0.2685,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.59,0.28,98.75,1.44,0.97,0.53,98.46,99.25
0.2759,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.58,0.28,98.74,1.90,1.37,1.17,98.45,99.24
0.2825,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.57,0.28,98.74,1.62,1.04,0.56,98.45,99.24
0.2889,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.56,0.28,98.74,1.60,1.04,0.55,98.46,99.24
0.2955,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.55,0.27,98.75,1.61,1.01,0.50,98.46,99.25
0.3020,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.54,0.27,98.75,1.65,1.02,0.51,98.46,99.25
0.3088,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.53,0.27,98.75,1.76,1.10,0.67,98.46,99.25
0.3157,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.52,0.27,98.74,1.82,1.15,0.76,98.45,99.24
0.3230,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.51,0.26,98.74,2.09,1.27,0.98,98.45,99.24
0.3301,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,0.26,98.74,2.03,1.15,0.72,98.45,99.24
0.3370,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.49,0.26,98.74,2.05,1.08,0.54,98.45,99.24
0.3438,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,0.26,98.74,2.04,1.10,0.55,98.45,99.24
0.3504,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,0.25,98.75,2.01,1.10,0.56,98.46,99.24
0.3572,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,0.25,98.75,2.04,1.06,0.51,98.46,99.25
0.3638,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.45,0.25,98.75,2.02,1.06,0.50,98.46,99.25
0.3720,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.43,0.24,98.73,2.75,1.83,1.69,98.45,99.23
0.3790,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.42,0.24,98.73,2.27,1.15,0.67,98.45,99.23
0.3862,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.41,0.24,98.74,2.29,1.07,0.50,98.45,99.24
0.3932,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.40,0.23,98.74,2.28,1.11,0.52,98.45,99.24
0.4012,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,0.23,98.73,2.57,1.29,0.94,98.45,99.23
0.4086,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,0.23,98.73,2.46,1.15,0.62,98.44,99.23
0.4156,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.37,0.22,98.74,2.40,1.17,0.59,98.45,99.24
0.4222,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.35,0.22,98.74,2.33,1.40,0.96,98.45,99.24
0.4371,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.33,0.21,98.65,6.47,5.74,6.02,98.38,99.16
0.4447,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.32,0.21,98.67,3.83,2.30,1.36,98.39,99.18
0.4518,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.30,0.20,98.71,5.25,5.16,4.99,98.43,99.22
