t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0052,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.53,98.72,0.29,0.20,0.25,98.44,99.22,0.00,2.56,-0.07
0.0125,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.53,98.71,1.99,2.08,2.21,98.43,99.21,0.00,2.55,-0.07
0.0198,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.53,98.69,1.80,2.10,2.45,98.42,99.20,0.00,2.53,-0.08
0.0258,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.53,98.70,0.74,0.36,0.38,98.42,99.20,0.00,2.52,-0.08
0.0319,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,0.53,98.70,1.03,0.90,0.78,98.43,99.21,0.00,2.51,-0.08
0.0372,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,0.53,98.71,1.62,1.73,1.70,98.43,99.22,0.00,2.49,-0.09
0.0431,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,0.53,98.72,0.93,0.84,0.86,98.44,99.22,0.00,2.48,-0.09
0.0487,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.73,0.53,98.72,0.81,0.57,0.45,98.44,99.22,0.00,2.46,-0.09
0.0543,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.73,0.53,98.72,0.91,0.69,0.55,98.44,99.22,0.00,2.45,-0.09
0.0603,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,0.53,98.71,1.25,1.10,1.05,98.44,99.22,0.00,2.43,-0.09
0.0660,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,0.53,98.71,0.96,0.77,0.64,98.43,99.22,0.00,2.41,-0.09
0.0716,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.71,0.53,98.72,1.00,0.75,0.59,98.44,99.22,0.00,2.39,-0.10
0.0769,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.71,0.53,98.72,1.05,0.85,0.70,98.44,99.22,0.00,2.37,-0.10
0.0823,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.70,0.53,98.72,1.06,0.86,0.69,98.44,99.22,0.00,2.35,-0.10
0.0875,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,0.53,98.72,1.08,0.89,0.70,98.44,99.22,0.00,2.33,-0.10
0.0935,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,0.53,98.72,1.42,1.24,1.09,98.44,99.22,0.00,2.31,-0.10
0.0989,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,0.53,98.72,1.20,1.00,0.77,98.44,99.22,0.00,2.29,-0.10
