t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0071,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.56,-0.32,98.58,0.56,0.59,0.73,98.29,99.07
0.0148,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.56,-0.32,98.58,1.23,0.98,1.14,98.28,99.07
0.0236,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.56,-0.32,98.56,2.04,1.62,1.88,98.27,99.05
0.0302,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.56,-0.32,98.57,1.37,1.21,1.06,98.28,99.06
0.0367,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.56,-0.32,98.58,1.44,1.64,1.61,98.29,99.07
0.0443,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.55,-0.32,98.58,1.20,0.80,0.82,98.29,99.07
0.0529,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.55,-0.32,98.57,2.05,1.52,1.65,98.28,99.06
0.0600,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.55,-0.32,98.57,1.57,1.12,1.05,98.28,99.06
0.0670,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.55,-0.32,98.58,1.40,1.13,1.04,98.28,99.07
0.0737,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.54,-0.32,98.58,1.19,1.22,1.11,98.29,99.07
0.0801,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.54,-0.32,98.59,0.91,1.17,1.07,98.29,99.08
0.0866,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.53,-0.32,98.59,0.69,1.02,0.91,98.30,99.08
0.0936,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.53,-0.32,98.59,1.05,1.24,1.19,98.29,99.08
0.1004,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.52,-0.32,98.58,0.80,1.20,1.13,98.29,99.07
0.1074,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.52,-0.32,98.58,1.03,1.28,1.21,98.29,99.07
0.1142,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.51,-0.32,98.58,0.76,1.16,0.99,98.29,99.07
0.1205,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,-0.32,98.59,0.62,1.20,0.97,98.29,99.08
0.1272,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.50,-0.32,98.59,0.64,1.15,0.95,98.29,99.08
0.1339,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.49,-0.32,98.59,0.75,1.23,1.05,98.29,99.08
0.1405,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,-0.32,98.58,0.65,1.20,0.99,98.29,99.08
0.1476,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.48,-0.32,98.58,1.04,1.35,1.21,98.29,99.07
0.1541,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.47,-0.32,98.58,0.71,1.21,0.92,98.29,99.07
0.1628,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.46,-0.32,98.57,2.32,2.14,2.13,98.27,99.06
0.1695,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.45,-0.32,98.57,1.39,1.44,1.02,98.28,99.06
0.1760,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.44,-0.32,98.58,1.38,1.57,1.31,98.29,99.07
0.1825,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.43,-0.32,98.59,1.17,1.42,1.17,98.29,99.08
0.1893,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.43,-0.32,98.59,1.11,1.21,0.92,98.29,99.08
0.1960,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.42,-0.32,98.58,1.09,1.24,0.94,98.29,99.08
0.2032,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.41,-0.33,98.58,1.47,1.42,1.23,98.29,99.07
0.2100,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.40,-0.33,98.58,1.24,1.26,0.99,98.28,99.07
0.2166,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,-0.33,98.58,1.15,1.19,0.86,98.29,99.07
0.2235,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.39,-0.33,98.58,1.26,1.18,0.91,98.29,99.07
0.2300,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.38,-0.33,98.58,1.11,1.14,0.74,98.29,99.07
0.2365,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.37,-0.33,98.59,1.02,1.09,0.76,98.29,99.08
0.2433,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.36,-0.33,98.58,1.18,1.13,0.89,98.29,99.07
0.2500,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.36,-0.33,98.58,1.12,1.09,0.85,98.29,99.07
0.2567,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.35,-0.33,98.58,1.16,1.06,0.82,98.29,99.07
0.2632,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.34,-0.33,98.58,1.04,0.98,0.64,98.29,99.07
0.2711,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.33,-0.34,98.57,1.91,1.50,1.46,98.28,99.07
0.2777,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.32,-0.34,98.58,1.38,1.05,0.66,98.28,99.07
0.2846,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.32,-0.34,98.58,1.39,0.98,0.65,98.28,99.07
