t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0050,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,-0.02,98.68,1.44,1.11,1.07,98.40,99.17,0.00,2.48,-0.18
0.0119,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,-0.02,98.66,2.31,2.29,2.33,98.39,99.16,0.00,2.46,-0.18
0.0177,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,-0.02,98.66,1.59,1.43,1.53,98.38,99.16,0.00,2.45,-0.18
0.0234,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,-0.02,98.66,1.38,1.04,1.04,98.38,99.16,0.00,2.44,-0.19
0.0280,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,-0.02,98.67,1.89,1.82,1.79,98.39,99.17,0.00,2.43,-0.19
0.0330,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,-0.02,98.68,1.61,1.52,1.56,98.40,99.18,0.00,2.41,-0.19
0.0386,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,-0.02,98.68,1.32,1.09,0.98,98.40,99.18,0.00,2.40,-0.19
0.0438,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.02,98.68,1.34,1.14,1.03,98.40,99.17,0.00,2.39,-0.19
0.0493,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.02,98.67,1.43,1.24,1.16,98.39,99.17,0.00,2.37,-0.20
0.0549,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,-0.02,98.67,1.39,1.25,1.19,98.39,99.17,0.00,2.35,-0.20
0.0602,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.02,98.67,1.27,1.01,0.92,98.39,99.17,0.00,2.34,-0.20
0.0657,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.02,98.67,1.27,1.03,0.93,98.39,99.17,0.00,2.32,-0.20
0.0713,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,-0.02,98.67,1.29,1.06,0.96,98.39,99.17,0.00,2.30,-0.20
0.0764,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.02,98.67,1.27,1.02,0.87,98.39,99.17,0.00,2.28,-0.20
0.0816,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.02,98.68,1.23,0.98,0.85,98.40,99.17,0.00,2.26,-0.20
0.0867,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.02,98.68,1.23,0.97,0.82,98.40,99.18,0.00,2.24,-0.20
0.0930,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.02,98.67,1.62,1.50,1.41,98.39,99.17,0.00,2.22,-0.20
0.0983,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.02,98.67,1.25,1.00,0.87,98.39,99.17,0.00,2.20,-0.21
0.1033,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.02,98.68,1.28,1.01,0.86,98.40,99.17,0.00,2.18,-0.21
0.1084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.02,98.68,1.29,1.02,0.89,98.40,99.18,0.00,2.16,-0.21
0.1134,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.02,98.68,1.28,0.98,0.82,98.40,99.18,0.00,2.14,-0.21
0.1180,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.02,98.68,1.33,1.02,0.86,98.40,99.18,0.00,2.12,-0.21
0.1232,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.02,98.68,1.38,1.05,0.85,98.40,99.18,0.00,2.10,-0.21
0.1280,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.02,98.68,1.36,0.98,0.76,98.40,99.18,0.00,2.08,-0.22
0.1330,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.02,98.68,1.41,1.02,0.82,98.40,99.18,0.00,2.05,-0.22
0.1379,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.02,98.68,1.40,1.01,0.80,98.40,99.18,0.00,2.03,-0.22
0.1430,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.02,98.68,1.42,0.99,0.79,98.40,99.18,0.00,2.01,-0.22
0.1481,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.02,98.68,1.40,0.99,0.78,98.40,99.18,0.00,1.98,-0.22
0.1533,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.02,98.68,1.40,0.95,0.74,98.40,99.18,0.00,1.96,-0.23
0.1585,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.02,98.68,1.40,0.95,0.75,98.40,99.18,0.00,1.93,-0.23
0.1639,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.02,98.68,1.39,0.97,0.76,98.40,99.18,0.00,1.90,-0.23
0.1690,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.02,98.68,1.36,0.87,0.63,98.40,99.18,0.00,1.87,-0.23
0.1741,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,98.68,1.36,0.86,0.61,98.40,99.18,0.00,1.84,-0.24
0.1796,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,98.68,1.42,0.96,0.74,98.40,99.18,0.00,1.81,-0.24
0.1843,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.02,98.68,1.42,0.90,0.62,98.40,99.18,0.00,1.79,-0.24
0.1896,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.02,98.68,1.40,0.88,0.61,98.40,99.18,0.00,1.76,-0.24
0.1940,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.02,98.69,1.50,1.00,0.79,98.41,99.19,0.00,1.73,-0.25
0.1990,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.02,98.69,1.45,0.87,0.57,98.41,99.19,0.00,1.70,-0.25
0.2039,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.03,98.69,1.51,0.93,0.65,98.41,99.19,0.00,1.67,-0.25
0.2093,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.03,98.69,1.60,1.14,0.94,98.40,99.18,0.00,1.64,-0.26
0.2142,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.03,98.69,1.52,0.90,0.63,98.40,99.18,0.00,1.61,-0.26
0.2194,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.03,98.68,1.54,0.95,0.69,98.40,99.18,0.00,1.57,-0.26
0.2248,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.03,98.68,1.53,0.99,0.74,98.40,99.18,0.00,1.54,-0.26
0.2299,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.03,98.68,1.51,0.87,0.56,98.40,99.18,0.00,1.51,-0.27
0.2348,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.03,98.69,1.55,0.92,0.61,98.41,99.19,0.00,1.48,-0.27
0.2400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.03,98.69,1.56,0.93,0.60,98.41,99.19,0.00,1.44,-0.27
0.2450,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.03,98.69,1.59,0.94,0.62,98.41,99.19,0.00,1.41,-0.28
0.2503,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.03,98.69,1.63,1.02,0.72,98.41,99.19,0.00,1.37,-0.28
0.2552,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.03,98.69,1.61,0.94,0.58,98.41,99.19,0.00,1.34,-0.28
0.2619,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.03,98.68,2.09,1.86,1.74,98.40,99.18,0.00,1.30,-0.28
0.2671,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.03,98.68,1.56,0.93,0.61,98.40,99.18,0.00,1.26,-0.29
0.2724,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.04,98.68,1.62,1.04,0.74,98.40,99.18,0.00,1.23,-0.29
0.2777,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.04,98.69,1.63,1.04,0.74,98.41,99.19,0.00,1.19,-0.29
0.2824,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.04,98.69,1.79,1.23,1.00,98.41,99.19,0.00,1.16,-0.30
0.2874,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.04,98.69,1.74,1.07,0.74,98.41,99.19,0.00,1.12,-0.30
0.2928,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.04,98.69,1.84,1.25,0.92,98.41,99.19,0.00,1.09,-0.30
0.2987,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.04,98.69,1.97,1.59,1.38,98.40,99.18,0.00,1.05,-0.30
0.3038,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,-0.04,98.69,1.76,1.08,0.73,98.41,99.19,0.00,1.01,-0.31
0.3092,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.04,98.69,1.78,1.12,0.77,98.41,99.19,0.00,0.97,-0.31
0.3145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.04,98.69,1.80,1.13,0.78,98.41,99.19,0.00,0.93,-0.31
