t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0049,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7507.07,-4925.52,2683.82,7080.55,5720.64,5251.24,2533.21,2735.25,0.00,3.13,4.66
0.0112,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7526.86,-4951.52,2674.40,7126.09,5322.92,5359.29,2661.14,2726.19,0.00,3.26,4.67
0.0160,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7549.32,-4978.85,2668.47,7196.80,5472.27,4948.72,2540.75,2719.60,0.00,3.33,4.72
0.0210,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7568.42,-5002.06,2660.31,7213.13,5119.95,6070.37,2653.24,2706.48,0.00,3.50,4.75
0.0267,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7590.15,-5036.00,2652.92,7139.39,5578.30,6617.16,2561.93,2700.60,0.00,3.66,4.78
0.0313,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7605.49,-5062.82,2645.31,7130.49,5731.54,7595.23,2750.94,2694.61,0.00,3.75,4.80
0.0366,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7623.82,-5092.92,2636.10,7101.19,6202.00,8306.84,2519.25,2685.28,0.00,3.79,4.82
0.0420,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7643.38,-5124.17,2626.35,7077.83,6398.62,8050.73,2780.67,2676.37,0.00,3.80,4.85
0.0470,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7660.95,-5154.04,2617.22,7037.24,6637.96,7740.15,2471.35,2666.78,0.00,3.77,4.88
0.0522,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,7679.22,-5185.25,2607.83,7015.78,6845.01,7446.18,2785.44,2658.12,0.00,3.73,4.90
