t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0071,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.02,96.02,48.24,48.23,52.27,-22.24,145.48,0.00,2.45,-0.00
0.0142,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,95.65,52.13,52.50,57.84,180.67,144.95,0.00,2.44,-0.00
0.0217,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.03,95.26,52.81,53.90,58.75,-90.01,144.55,0.00,2.44,-0.00
0.0290,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.03,94.84,57.11,58.99,65.98,269.33,143.61,0.00,2.43,-0.00
0.0362,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.04,94.45,57.28,59.42,65.01,-222.42,143.01,0.00,2.42,-0.00
0.0434,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.10,0.36,1.30,1.60,68.07,147.59,0.00,2.19,-0.00
0.0505,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.05,7.16,5.98,8.42,71.00,147.48,0.00,2.19,-0.00
0.0575,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,97.96,13.83,12.84,15.05,65.65,147.43,0.00,2.19,-0.00
0.0646,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.01,97.82,19.89,19.64,21.95,74.75,147.17,0.00,2.19,-0.00
0.0718,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.01,97.63,25.87,25.90,28.49,58.22,147.15,0.00,2.18,-0.00
0.0789,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,-0.01,97.41,30.81,31.52,34.86,86.84,146.88,0.00,2.18,-0.00
0.0861,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.01,97.16,35.31,36.28,40.48,41.84,146.75,0.00,2.17,-0.00
0.0929,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.02,96.89,39.11,41.11,46.56,109.59,146.26,0.00,2.17,-0.00
0.0999,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,96.60,42.27,45.10,50.95,9.51,146.09,0.00,2.16,-0.00
0.1069,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.02,96.28,45.49,50.35,57.50,149.89,145.52,0.00,2.15,-0.00
0.1139,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.02,95.96,47.16,53.66,60.68,-49.10,145.20,0.00,2.14,-0.00
0.1342,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,-0.06,94.80,57.11,65.54,72.53,206.59,144.43,0.00,2.09,-0.00
0.1419,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,-0.08,94.34,64.91,66.13,87.02,-123.73,144.77,0.00,2.08,-0.01
0.1487,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,-0.09,93.78,68.15,88.01,103.18,438.80,135.43,0.00,2.06,-0.01
0.1558,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.11,1.63,1.49,0.78,67.74,147.61,0.00,1.65,0.00
0.1629,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.01,98.07,6.02,4.60,7.58,71.46,147.50,0.00,1.65,0.00
0.1698,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,97.98,12.88,11.71,14.64,64.40,147.48,0.00,1.64,0.00
0.1766,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.01,97.86,18.66,18.81,22.08,77.14,147.27,0.00,1.64,0.00
0.1833,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.02,97.69,24.27,25.26,28.88,55.24,147.28,0.00,1.63,0.00
0.1903,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.02,97.49,29.16,31.33,36.02,92.71,146.89,0.00,1.63,0.00
0.1973,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.02,97.26,33.87,36.83,42.49,29.20,146.78,0.00,1.62,0.00
0.2042,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.03,96.99,38.64,43.47,50.60,127.28,146.30,0.00,1.61,0.00
0.2111,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.03,96.71,41.69,48.54,56.01,-13.60,146.09,0.00,1.60,0.00
0.2178,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.04,96.38,46.37,56.24,65.81,183.64,145.38,0.00,1.59,-0.00
0.2248,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,-0.04,96.07,48.07,61.07,69.49,-106.04,144.93,0.00,1.57,-0.00
0.2315,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,-0.05,95.66,56.44,71.74,84.17,311.25,143.16,0.00,1.56,-0.00
0.2383,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.09,1.13,2.12,2.67,68.27,147.59,0.00,1.12,0.00
0.2452,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,98.04,8.13,6.81,9.76,70.50,147.48,0.00,1.12,0.00
0.2521,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.01,97.94,14.71,13.63,16.85,65.78,147.44,0.00,1.12,0.00
0.2590,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.01,97.80,20.41,20.57,24.29,74.37,147.17,0.00,1.11,0.00
0.2661,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.02,97.61,26.41,27.17,31.54,57.37,147.20,0.00,1.10,0.00
0.2731,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.02,97.39,30.87,33.69,39.12,89.35,146.79,0.00,1.10,-0.00
0.2800,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,97.15,35.51,39.28,45.76,32.52,146.70,0.00,1.09,-0.00
0.2875,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.03,96.84,40.41,47.03,54.84,125.46,146.09,0.00,1.08,-0.00
0.2943,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.03,96.56,43.45,52.28,60.72,-15.85,145.88,0.00,1.06,-0.00
0.3011,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,-0.04,96.21,48.90,61.69,72.39,189.29,144.78,0.00,1.05,-0.00
0.3082,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,-0.05,95.88,50.29,66.83,75.76,-115.21,144.14,0.00,1.03,-0.00
0.3152,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,-0.07,95.36,63.29,81.62,96.12,321.80,140.51,0.00,1.02,-0.00
0.3221,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.00,98.10,0.58,1.70,2.20,68.38,147.60,0.00,0.54,-0.00
0.3290,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.01,98.04,7.70,6.36,9.46,70.00,147.50,0.00,0.53,-0.00
0.3492,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.03,97.52,26.16,24.86,28.84,65.02,147.07,0.00,0.51,-0.00
0.3556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.04,97.32,30.22,27.69,39.98,73.63,146.77,0.00,0.50,-0.00
0.3630,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.04,97.07,35.13,38.01,46.08,56.94,146.61,0.00,0.49,-0.00
0.3696,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.04,96.81,39.28,46.23,56.61,84.40,146.20,0.00,0.48,-0.00
0.3773,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,-0.04,96.49,42.96,55.17,64.32,38.90,146.09,0.00,0.46,-0.00
0.3834,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,-0.05,96.20,45.54,63.37,75.94,108.50,145.24,0.00,0.45,-0.00
0.3911,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,-0.05,95.86,46.94,71.23,80.43,4.17,144.89,0.00,0.43,-0.01
0.3974,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.76,-0.06,95.49,52.09,81.11,95.97,146.57,143.45,0.00,0.41,-0.01
0.4043,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,-0.07,95.16,51.44,88.02,97.01,-55.37,141.80,0.00,0.39,-0.01
0.4113,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.02,-0.11,94.45,86.17,110.64,130.01,186.66,139.82,0.00,0.37,-0.01
0.4181,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.16,-0.14,93.98,75.60,117.95,126.23,-69.88,136.36,0.00,0.35,-0.01
0.4252,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.33,-0.17,93.37,84.43,124.53,142.38,171.49,143.69,0.00,0.32,-0.01
0.4321,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.51,-0.20,92.87,73.93,128.68,144.28,-28.15,139.61,0.00,0.29,-0.01
0.4391,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.69,-0.24,92.34,73.72,134.22,153.29,142.85,143.02,0.00,0.26,-0.01
0.4461,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.89,-0.27,91.91,65.05,139.49,154.83,-21.47,136.71,0.00,0.23,-0.02
0.4532,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.08,-0.30,91.42,68.58,147.55,164.56,138.45,143.25,0.00,0.19,-0.02
0.4603,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.27,-0.33,91.03,58.71,155.21,168.02,-5.75,138.13,0.00,0.15,-0.02
0.4674,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.46,-0.37,90.61,61.08,163.66,177.59,117.30,141.53,0.00,0.11,-0.02
0.4744,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.65,-0.40,90.27,53.89,171.79,182.27,13.68,137.92,0.00,0.07,-0.02
0.4816,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.83,-0.43,89.88,58.13,180.40,192.64,103.48,140.80,0.00,0.03,-0.03
0.4888,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,853.00,-0.46,89.57,51.23,188.85,198.04,26.54,137.76,0.00,-0.02,-0.03
0.4960,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,853.16,-0.50,89.19,57.15,197.19,208.90,88.96,139.92,0.00,-0.07,-0.03
0.5033,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,853.32,-0.53,88.90,50.83,205.64,214.45,42.91,137.59,0.00,-0.12,-0.03
0.9033,Walk,1,853.80,0.00,90.00,91.34,0.00,0.00,0.00,0.00,854.70,-0.82,87.20,66.84,216.18,227.25,192.78,137.47,0.00,-0.72,-0.05
1.3033,Walk,1,859.83,0.00,90.02,157.99,0.00,0.00,0.00,0.00,899.77,304.74,31.60,1221.26,10416.79,20952.90,-89.50,-115.77,0.00,-0.60,-0.03
1.6991,Walk,1,867.47,0.00,90.00,206.62,0.00,0.00,0.00,0.00,836.71,-272.83,-84.83,1411.86,8765.61,2332.35,-3274.90,-3823.65,0.00,-3.71,0.11
2.0991,Walk,1,876.30,0.00,90.00,242.11,0.00,0.00,0.00,0.00,904.21,107.29,-32.19,3014.53,4016.81,1514.44,-2611.15,-25.82,0.00,1.57,-4.91
2.4991,Walk,1,885.99,0.00,90.02,268.00,0.00,0.00,0.00,0.00,828.78,87.59,-110.65,1584.79,2776.45,3848.06,51.04,-1139.98,0.00,-0.93,2.31
2.8991,Walk,1,896.32,0.00,90.00,286.89,0.00,0.00,0.00,0.00,899.36,14.97,70.66,337.65,944.54,471.92,36.08,-77.08,0.00,0.30,0.68
3.2991,Walk,1,907.10,0.00,90.00,300.67,0.00,0.00,0.00,0.00,922.61,-9.08,66.50,304.94,1006.90,556.42,-768.98,98.43,0.00,-0.11,-2.88
3.6991,Walk,1,917.10,2.69,90.02,278.06,74.90,0.00,0.00,0.00,856.38,28.67,-28.19,604.35,2228.82,2307.25,557.71,-185.24,11.80,0.03,3.55
4.0991,Walk,1,925.94,7.69,90.00,245.57,138.92,-0.00,-0.00,0.00,1006.30,188.29,-68.63,4234.68,5302.09,1548.84,-2782.40,-77.51,23.60,14.42,-4.97
4.4991,Walk,1,933.30,14.61,90.00,204.24,192.00,0.00,0.00,0.00,753.44,-76.54,-209.80,3652.97,5629.46,4817.52,1285.88,-460.75,35.39,24.64,5.49
4.8991,Walk,1,938.91,23.03,90.00,155.46,233.65,-0.00,-0.00,0.00,1070.06,271.67,-203.65,4657.86,7546.53,2921.77,-3579.43,-187.16,47.19,37.61,-6.42
5.2991,Walk,1,946.49,28.86,90.00,209.41,160.98,-0.00,-0.00,-0.00,771.63,-172.40,-273.94,5067.73,7159.38,6013.07,1594.72,-402.97,35.39,48.62,6.36
5.6991,Walk,1,955.33,32.14,90.00,243.96,90.51,-0.00,-0.00,0.00,1167.26,-208.65,-314.09,9388.92,7248.54,7496.76,-7418.26,-663.28,23.60,31.07,-5.97
6.0991,Walk,1,964.81,32.96,90.00,261.57,22.46,0.00,0.00,0.00,725.24,-30.58,-498.17,2903.54,7391.32,12018.40,-1103.59,-1539.04,11.80,22.55,5.19
6.4991,Walk,1,974.89,34.28,90.00,279.98,36.75,0.00,0.00,0.00,1143.25,-68.63,-73.83,4188.30,3821.02,2122.04,-10861.33,-1838.91,11.80,9.24,-1.28
6.8991,Walk,1,985.42,35.95,90.00,293.50,46.58,-0.00,0.00,0.00,1032.37,37.19,50.80,1335.64,1195.86,789.41,-756.36,-4.22,11.80,12.83,-1.99
7.2991,Walk,1,996.28,37.86,90.02,303.43,53.38,0.00,0.00,0.00,962.32,65.50,50.11,443.39,1038.09,1188.88,639.83,28.52,11.80,11.43,2.59
7.6991,Walk,1,1007.39,39.94,90.00,310.72,58.09,0.00,0.00,0.00,1068.62,58.44,-29.39,639.83,2953.52,1516.88,-2980.00,-89.05,11.80,12.03,-3.81
8.0991,Walk,1,1014.94,41.35,90.00,204.36,38.21,0.00,0.00,0.00,935.95,72.27,-76.20,802.96,2741.46,3242.91,478.09,-404.73,11.80,11.64,3.61
8.4991,Walk,1,1019.92,42.28,90.00,126.75,23.70,0.00,0.00,0.00,1116.21,55.64,-85.47,857.14,3944.94,2265.53,-4257.74,-230.15,11.80,11.93,-4.02
8.8991,Walk,1,1022.65,42.79,90.02,70.12,13.11,0.00,0.00,0.00,904.79,98.98,-142.08,1338.26,3906.68,4487.18,451.78,-358.23,11.80,11.66,5.19
9.2991,Walk,1,1024.35,43.11,90.00,39.48,7.38,0.00,0.00,0.00,1068.09,50.15,16.85,328.32,2106.42,897.46,-1444.55,-966.83,11.80,11.71,1.36
9.6991,Walk,1,1024.94,43.22,90.00,13.68,2.56,0.00,0.00,0.00,1035.07,47.17,88.60,178.71,599.17,257.75,-194.96,108.76,11.80,11.82,-0.95
10.0991,Idle,1,1024.92,43.22,90.00,-0.52,-0.10,-0.00,0.00,0.00,1036.62,44.93,87.66,135.68,509.37,238.28,-93.05,136.39,11.80,11.78,-2.92
