t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0090,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.06,97.36,0.51,0.59,0.88,95.96,146.84,0.00,-87.59,0.30
0.0259,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.06,97.21,8.28,4.07,5.45,95.81,146.70,0.00,-87.62,0.29
0.0358,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.05,97.18,2.31,0.86,2.05,95.76,146.67,0.00,-87.64,0.29
0.0461,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.05,97.18,0.95,0.66,1.55,95.73,146.67,0.00,-87.66,0.29
0.0557,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.05,97.22,3.82,1.62,1.87,95.73,146.71,0.00,-87.68,0.29
0.0659,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.05,97.26,3.61,1.57,1.82,95.74,146.74,0.00,-87.70,0.29
0.0744,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.04,97.30,5.40,2.44,2.47,95.78,146.79,0.00,-87.73,0.30
0.0822,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.04,97.35,6.28,2.96,3.58,95.82,146.84,0.00,-87.75,0.30
0.0904,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.04,97.39,5.05,2.07,4.77,95.87,146.88,0.00,-87.77,0.30
0.0993,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.03,97.41,2.33,1.19,2.82,95.91,146.90,0.00,-87.80,0.30
0.1082,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.03,97.41,0.49,0.56,1.58,95.93,146.90,0.00,-87.84,0.30
0.1171,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.03,97.39,1.20,0.69,1.03,95.93,146.88,0.00,-87.87,0.29
0.1258,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,97.38,1.16,0.18,1.45,95.93,146.87,0.00,-87.91,0.29
0.1363,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.02,97.34,3.18,1.76,1.14,95.90,146.83,0.00,-87.95,0.29
0.1437,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.02,97.35,1.13,1.09,2.43,95.90,146.84,0.00,-87.99,0.29
0.1523,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.01,97.36,1.42,0.79,2.64,95.90,146.85,0.00,-88.03,0.29
0.1611,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,97.36,1.19,0.69,2.50,95.90,146.85,0.00,-88.07,0.29
0.1685,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,97.38,3.04,1.27,3.92,95.92,146.87,0.00,-88.10,0.29
0.1779,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.39,0.72,0.61,2.03,95.92,146.88,0.00,-88.15,0.29
0.1876,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.37,1.12,0.82,0.98,95.90,146.86,0.00,-88.20,0.29
0.1959,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.00,97.37,0.21,0.66,2.30,95.89,146.86,0.00,-88.24,0.29
0.2190,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.00,97.05,12.99,7.18,7.67,95.49,146.54,0.00,-88.41,0.27
0.2280,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.01,97.06,1.41,3.22,5.02,95.44,146.55,0.00,-88.47,0.26
0.2371,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.01,97.13,8.76,5.26,6.37,95.45,146.62,0.00,-88.52,0.26
0.2457,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.01,97.23,11.46,5.51,10.34,95.51,146.72,0.00,-88.56,0.26
0.2554,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.01,97.32,8.98,4.19,3.89,95.57,146.81,0.00,-88.62,0.27
0.2649,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.01,97.38,5.43,3.56,5.44,95.62,146.87,0.00,-88.67,0.27
0.2738,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.01,97.40,3.21,2.27,1.87,95.66,146.89,0.00,-88.72,0.27
0.2841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.01,97.39,1.31,3.62,1.54,95.66,146.88,0.00,-88.78,0.27
0.2919,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.01,97.39,0.85,1.24,2.52,95.68,146.88,0.00,-88.82,0.27
0.3009,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.01,97.39,0.95,1.34,1.84,95.68,146.88,0.00,-88.88,0.26
0.3108,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.01,97.36,2.12,1.71,0.92,95.66,146.85,0.00,-88.94,0.25
0.3195,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.01,97.35,0.89,0.73,2.10,95.65,146.84,0.00,-88.99,0.25
0.3296,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.01,97.33,1.67,1.49,1.08,95.63,146.83,0.00,-89.06,0.24
0.3379,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.00,97.34,1.28,0.93,2.33,95.63,146.83,0.00,-89.11,0.24
0.3478,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.00,97.34,0.67,1.27,1.90,95.61,146.83,0.00,-89.17,0.24
0.3573,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.00,97.34,0.72,3.00,1.94,95.60,146.83,0.00,-89.23,0.23
0.3663,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.00,97.34,1.05,1.66,2.07,95.59,146.83,0.00,-89.29,0.23
0.3749,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.00,97.36,1.94,1.48,2.41,95.59,146.85,0.00,-89.34,0.23
0.3830,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.01,97.38,2.65,2.66,2.37,95.61,146.87,0.00,-89.39,0.23
0.3925,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.38,0.90,2.74,1.69,95.60,146.87,0.00,-89.45,0.22
0.4015,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.38,0.53,3.71,1.39,95.60,146.87,0.00,-89.51,0.22
0.4105,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.01,97.38,0.59,2.66,1.48,95.59,146.87,0.00,-89.56,0.22
0.4209,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.01,97.35,2.19,4.37,2.24,95.56,146.84,0.00,-89.64,0.21
0.4323,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.01,97.30,3.65,3.35,1.83,95.49,146.80,0.00,-89.72,0.20
0.4390,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.01,97.33,3.91,2.51,3.09,95.50,146.82,0.00,-89.77,0.20
0.4473,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.01,97.36,4.40,2.00,3.35,95.52,146.86,0.00,-89.83,0.20
0.4565,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.01,97.39,2.63,3.25,3.49,95.53,146.88,0.00,-89.89,0.20
0.4657,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.01,97.39,1.02,2.92,2.58,95.53,146.88,0.00,-89.95,0.20
0.4743,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.01,97.40,0.89,3.84,2.73,95.53,146.89,0.00,-90.01,0.20
