t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0086,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.74,1.42,1.67,1.99,98.46,99.25
0.0163,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.74,0.82,0.66,0.96,98.46,99.25
0.0246,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.73,1.07,0.81,1.08,98.46,99.24
0.0314,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.74,1.40,1.32,1.05,98.47,99.25
0.0401,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.74,0.97,0.49,0.64,98.46,99.25
0.0469,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.75,1.17,1.01,0.80,98.47,99.26
0.0538,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.76,0.93,0.98,0.96,98.48,99.26
0.0605,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.76,0.67,0.67,0.71,98.48,99.27
0.0674,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.76,0.61,0.31,0.45,98.48,99.27
0.0747,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.76,1.07,0.88,1.02,98.48,99.26
0.0816,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.76,0.61,0.44,0.66,98.48,99.26
0.0884,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.76,0.52,0.30,0.36,98.48,99.26
0.0964,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.38,98.75,1.33,1.16,1.31,98.47,99.26
0.1036,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.38,98.75,0.73,0.44,0.65,98.47,99.25
0.1108,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.38,98.75,0.75,0.34,0.36,98.47,99.26
0.1179,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.38,98.75,0.76,0.40,0.34,98.47,99.26
0.1250,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.38,98.76,0.78,0.39,0.34,98.48,99.26
0.1319,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.38,98.76,0.77,0.42,0.34,98.48,99.26
0.1389,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.37,98.76,0.82,0.45,0.41,98.48,99.26
0.1458,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.37,98.76,0.84,0.48,0.46,98.48,99.26
0.1532,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.37,98.76,1.13,0.82,0.87,98.48,99.26
0.1603,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.37,98.75,0.90,0.55,0.58,98.47,99.26
0.1673,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.37,98.76,0.89,0.48,0.36,98.48,99.26
0.1743,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.37,98.76,0.90,0.49,0.38,98.48,99.26
0.1810,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.37,98.76,0.87,0.56,0.40,98.48,99.27
0.1881,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,0.37,98.76,0.96,0.56,0.48,98.48,99.27
0.1949,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.37,98.76,0.96,0.57,0.49,98.48,99.27
0.2022,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.37,98.76,1.19,0.82,0.82,98.48,99.26
0.2089,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.36,98.76,0.97,0.55,0.32,98.48,99.26
0.2160,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.36,98.76,1.03,0.57,0.47,98.48,99.26
0.2229,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.79,0.36,98.76,1.04,0.59,0.47,98.48,99.27
0.2301,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.78,0.36,98.76,1.19,0.74,0.69,98.48,99.26
0.2366,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.78,0.36,98.76,1.11,0.69,0.40,98.48,99.27
0.2435,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.77,0.36,98.77,1.04,0.58,0.40,98.48,99.27
0.2505,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.76,0.36,98.76,1.17,0.70,0.60,98.48,99.27
0.2579,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.36,98.76,1.44,1.02,1.02,98.48,99.26
0.2646,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.36,98.76,1.14,0.60,0.34,98.48,99.26
0.2714,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,0.36,98.76,1.13,0.64,0.41,98.48,99.27
0.2781,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.73,0.36,98.77,1.12,0.64,0.42,98.48,99.27
0.2854,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,0.35,98.76,1.38,0.88,0.81,98.48,99.27
0.2924,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,0.35,98.76,1.24,0.72,0.63,98.48,99.27
0.2996,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.71,0.35,98.76,1.32,0.71,0.58,98.48,99.27
0.3065,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.70,0.35,98.76,1.28,0.65,0.43,98.48,99.27
0.3138,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,0.35,98.76,1.42,0.80,0.69,98.48,99.26
0.3202,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,0.35,98.77,1.43,0.94,0.61,98.48,99.27
0.3273,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,0.35,98.77,1.29,0.63,0.41,98.48,99.27
0.3343,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,0.35,98.77,1.37,0.73,0.57,98.48,99.27
0.3413,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.35,98.76,1.37,0.72,0.59,98.48,99.27
