t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0066,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.94,0.90,98.75,4.79,4.43,3.47,98.47,99.27
0.0139,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.94,0.90,98.80,5.64,6.15,6.16,98.51,99.31
0.0212,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.93,0.90,98.83,3.90,4.28,4.53,98.54,99.33
0.0282,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.93,0.90,98.84,1.98,1.93,2.14,98.55,99.34
0.0346,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.93,0.90,98.85,1.13,0.81,0.82,98.55,99.35
0.0411,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.93,0.91,98.84,1.07,0.85,0.75,98.55,99.34
0.0481,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.93,0.91,98.84,1.11,1.16,1.19,98.54,99.34
0.0548,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.93,0.91,98.83,0.95,0.94,0.95,98.54,99.33
0.0615,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.92,0.91,98.83,0.47,0.63,0.54,98.54,99.33
0.0680,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.92,0.91,98.83,0.37,0.65,0.52,98.54,99.34
0.0744,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.92,0.91,98.84,0.31,0.66,0.56,98.54,99.34
0.0820,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.92,0.91,98.83,1.17,1.25,1.24,98.54,99.33
0.0895,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.91,0.91,98.82,1.00,1.21,1.31,98.53,99.33
0.0963,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.91,0.91,98.82,0.62,0.72,0.51,98.53,99.33
0.1027,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.90,0.91,98.83,0.78,1.00,0.82,98.54,99.33
