t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0099,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.01,97.91,16.26,15.09,17.11,62.17,147.39,0.00,2.36,0.00
0.0277,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.01,97.36,30.90,30.71,32.85,78.79,146.89,0.00,2.35,0.00
0.0385,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.02,96.96,37.78,37.85,42.55,55.24,146.48,0.00,2.35,-0.00
0.0486,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.02,96.53,43.30,43.53,49.28,87.03,146.01,0.00,2.34,-0.00
0.0582,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.03,96.07,47.50,48.48,55.67,38.45,145.69,0.00,2.33,-0.00
0.0675,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,-0.03,95.61,50.79,53.63,62.05,111.36,145.01,0.00,2.31,-0.00
0.0771,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,-0.04,95.11,53.05,58.26,67.06,1.71,144.70,0.00,2.30,-0.00
0.0866,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,-0.04,94.58,54.94,63.74,73.73,157.37,143.79,0.00,2.28,-0.00
0.0966,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,-0.06,94.04,55.63,68.12,77.65,-72.28,143.44,0.00,2.26,-0.00
0.1059,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,-0.07,93.49,58.13,74.86,86.34,250.25,142.20,0.00,2.24,-0.01
0.1155,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.03,-0.09,92.98,57.56,79.73,89.18,-210.93,141.69,0.00,2.22,-0.01
0.1248,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.17,-0.11,92.35,64.19,89.74,102.61,441.75,138.15,0.00,2.19,-0.01
0.1342,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.01,98.14,3.89,2.75,0.86,66.24,147.66,0.00,1.77,-0.00
0.1435,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,-0.01,98.08,6.65,5.08,8.53,73.45,147.46,0.00,1.77,-0.00
0.1538,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.02,97.90,16.75,15.40,18.99,59.91,147.41,0.00,1.76,-0.00
0.1643,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.02,97.64,25.30,25.65,30.02,83.50,147.15,0.00,1.75,-0.00
0.1736,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.03,97.35,32.05,33.65,39.24,47.02,146.89,0.00,1.74,-0.00
