t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0072,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.82,98.69,0.40,0.35,0.49,98.42,99.21
0.0145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.82,98.69,0.55,0.49,0.64,98.42,99.20
0.0228,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.82,98.68,1.36,1.39,1.59,98.41,99.20
0.0306,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.82,98.68,0.56,0.65,0.99,98.41,99.19
0.0372,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.82,98.69,1.21,1.35,1.17,98.42,99.20
0.0543,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.56,6.92,7.50,8.17,98.32,99.10
0.0613,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.60,4.60,4.46,3.39,98.34,99.13
0.0679,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.66,7.52,8.40,8.32,98.40,99.18
0.0746,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.71,5.61,6.44,6.88,98.43,99.22
0.0814,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.73,2.08,2.50,3.01,98.45,99.23
0.0882,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.72,0.77,0.40,0.35,98.45,99.23
0.0948,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.82,98.72,1.16,1.16,1.13,98.44,99.22
0.1023,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.82,98.70,1.97,1.95,1.99,98.43,99.21
0.1092,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.81,98.69,0.87,0.83,0.98,98.42,99.21
0.1159,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.81,98.70,0.72,0.38,0.27,98.42,99.21
0.1226,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.81,98.70,0.84,0.65,0.64,98.43,99.21
0.1296,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.81,98.70,0.75,0.33,0.23,98.43,99.21
0.1361,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.81,98.71,0.79,0.45,0.38,98.43,99.22
0.1426,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.81,98.71,0.79,0.38,0.30,98.43,99.22
0.1501,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,0.81,98.70,1.27,1.05,1.01,98.43,99.21
0.1570,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.81,98.70,0.84,0.51,0.49,98.42,99.21
0.1640,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.81,98.70,0.86,0.38,0.25,98.43,99.21
0.1711,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.81,98.70,0.89,0.40,0.27,98.43,99.21
0.1777,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.81,98.71,0.92,0.55,0.42,98.43,99.21
0.1842,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.81,98.71,0.95,0.61,0.54,98.43,99.22
0.1912,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.81,98.71,0.96,0.46,0.33,98.43,99.22
0.1988,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.81,98.70,1.53,1.31,1.34,98.43,99.21
0.2059,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.81,98.70,0.99,0.55,0.61,98.42,99.21
0.2129,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.81,98.70,0.98,0.41,0.19,98.43,99.21
0.2199,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,0.80,98.70,1.00,0.43,0.25,98.43,99.21
0.2273,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.80,98.70,1.12,0.58,0.55,98.43,99.21
0.2342,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,0.80,98.70,1.04,0.40,0.27,98.43,99.21
0.2414,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,0.80,98.70,1.09,0.46,0.39,98.43,99.21
0.2482,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,0.80,98.71,1.06,0.44,0.27,98.43,99.22
0.2553,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.80,98.71,1.10,0.45,0.36,98.43,99.22
0.2625,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,0.80,98.70,1.20,0.63,0.62,98.43,99.21
0.2698,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,0.80,98.70,1.25,0.69,0.73,98.43,99.21
0.2769,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,0.80,98.70,1.13,0.43,0.37,98.43,99.21
0.2841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,0.80,98.70,1.14,0.44,0.37,98.43,99.21
0.2909,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,0.80,98.71,1.16,0.56,0.42,98.43,99.22
0.2974,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,0.80,98.71,1.24,0.79,0.72,98.44,99.22
0.3053,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,0.80,98.71,1.58,1.16,1.18,98.43,99.22
0.3124,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,0.80,98.70,1.17,0.51,0.59,98.43,99.21
0.3199,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,0.80,98.70,1.28,0.65,0.71,98.43,99.21
0.3270,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,0.80,98.70,1.16,0.40,0.31,98.43,99.21
0.3338,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,0.80,98.71,1.22,0.64,0.52,98.43,99.22
0.3457,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,0.80,98.66,4.15,4.35,4.68,98.39,99.18
0.3527,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,0.79,98.67,1.76,1.18,0.65,98.40,99.19
0.3601,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,0.79,98.69,2.26,2.30,2.16,98.42,99.20
0.3678,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,0.79,98.70,1.53,1.37,1.39,98.43,99.21
0.3745,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,0.79,98.71,1.60,1.47,1.53,98.44,99.22
0.3815,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,0.79,98.72,1.13,0.53,0.66,98.44,99.23
0.3892,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,0.79,98.71,1.46,0.97,1.05,98.44,99.22
