t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0069,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.60,0.35,0.46,0.66,98.32,99.10
0.0145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.60,0.80,0.82,1.00,98.32,99.10
0.0233,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.58,1.35,1.57,1.87,98.31,99.08
0.0299,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.59,0.73,0.86,0.72,98.32,99.09
0.0370,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.60,0.78,0.97,0.97,98.32,99.10
0.0443,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.60,0.45,0.43,0.56,98.33,99.10
0.0512,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.60,0.44,0.41,0.55,98.33,99.10
0.0579,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.61,0.39,0.41,0.54,98.33,99.10
0.0649,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.61,0.64,0.55,0.70,98.33,99.10
0.0718,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.61,0.45,0.41,0.62,98.33,99.10
0.0786,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.61,0.50,0.41,0.56,98.33,99.10
0.0856,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,-0.09,98.61,0.70,0.58,0.74,98.33,99.10
0.0923,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,-0.09,98.61,0.49,0.33,0.48,98.33,99.10
0.0990,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,-0.09,98.61,0.51,0.38,0.51,98.33,99.11
0.1058,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,-0.10,98.61,0.65,0.47,0.61,98.33,99.11
0.1127,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,-0.10,98.61,0.84,0.66,0.80,98.33,99.10
0.1198,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,-0.10,98.60,0.77,0.66,0.85,98.33,99.10
0.1269,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,-0.10,98.60,0.87,0.61,0.73,98.33,99.10
0.1334,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,-0.10,98.61,0.85,0.61,0.50,98.33,99.11
0.1405,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,-0.10,98.61,0.79,0.44,0.51,98.33,99.11
0.1472,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,-0.10,98.61,0.79,0.45,0.52,98.33,99.11
0.1545,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,-0.11,98.60,1.19,0.92,1.02,98.33,99.10
0.1612,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.64,-0.11,98.61,0.82,0.41,0.45,98.33,99.10
0.1681,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,-0.11,98.61,0.85,0.45,0.49,98.33,99.11
0.1750,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,-0.11,98.61,0.95,0.54,0.61,98.33,99.11
0.1820,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,-0.11,98.61,1.02,0.61,0.69,98.33,99.11
0.1886,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,-0.11,98.61,0.92,0.45,0.45,98.33,99.11
0.1958,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.61,-0.11,98.61,1.04,0.59,0.66,98.33,99.11
0.2027,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.61,-0.12,98.61,0.97,0.49,0.58,98.33,99.11
0.2095,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,-0.12,98.61,0.99,0.49,0.52,98.33,99.11
