t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0071,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.14,98.71,0.22,0.43,0.55,98.43,99.21
0.0161,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.14,98.69,1.86,1.89,2.08,98.41,99.19
0.0255,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.14,98.67,1.89,2.10,2.49,98.40,99.18
0.0330,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.14,98.68,0.97,0.81,0.65,98.40,99.18
0.0401,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.14,98.70,1.70,1.90,1.83,98.42,99.20
0.0490,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.15,98.69,1.02,0.61,0.70,98.42,99.20
0.0561,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.15,98.70,1.05,0.89,0.74,98.42,99.20
0.0633,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.15,98.71,0.80,0.81,0.81,98.43,99.21
0.0707,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.15,98.71,0.72,0.56,0.61,98.43,99.21
0.0787,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.15,98.70,1.32,1.18,1.28,98.42,99.20
0.0861,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.15,98.70,0.77,0.65,0.77,98.42,99.20
0.0933,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.15,98.70,0.68,0.60,0.55,98.42,99.20
0.1006,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.15,98.71,0.68,0.56,0.56,98.42,99.21
0.1073,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.15,98.71,0.65,0.73,0.67,98.43,99.21
0.1157,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.15,98.70,1.51,1.40,1.47,98.42,99.20
0.1226,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.14,98.70,0.74,0.59,0.46,98.42,99.21
0.1298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.14,98.71,0.70,0.62,0.53,98.43,99.21
0.1369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,0.14,98.71,0.69,0.59,0.51,98.43,99.21
0.1445,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,0.14,98.71,1.04,0.88,0.90,98.43,99.21
0.1516,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.14,98.71,0.74,0.59,0.54,98.43,99.21
0.1588,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.14,98.71,0.77,0.58,0.52,98.43,99.21
0.1656,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.14,98.71,0.70,0.59,0.49,98.43,99.21
0.1726,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.14,98.71,0.72,0.56,0.51,98.43,99.21
0.1800,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.79,0.14,98.71,1.11,0.93,0.98,98.43,99.21
