t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0061,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.95,0.47,98.73,0.46,0.36,0.36,98.45,99.23,0.00,2.59,0.03
0.0120,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.47,98.73,0.49,0.41,0.38,98.45,99.23,0.00,2.58,0.03
0.0180,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.47,98.73,0.54,0.43,0.40,98.45,99.23,0.00,2.57,0.03
0.0238,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.94,0.47,98.73,0.55,0.47,0.41,98.45,99.23,0.00,2.56,0.02
0.0308,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,0.47,98.72,1.49,1.43,1.50,98.45,99.23,0.00,2.54,0.02
0.0365,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,0.47,98.73,0.78,0.62,0.45,98.45,99.23,0.00,2.53,0.02
0.0424,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.93,0.47,98.73,0.83,0.76,0.67,98.45,99.23,0.00,2.51,0.02
0.0490,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.92,0.47,98.73,0.99,0.79,0.74,98.45,99.23,0.00,2.50,0.02
0.0550,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.92,0.47,98.73,0.88,0.71,0.58,98.45,99.23,0.00,2.48,0.02
0.0610,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,0.47,98.73,0.90,0.71,0.57,98.45,99.23,0.00,2.46,0.01
0.0669,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.91,0.47,98.73,0.91,0.74,0.59,98.45,99.23,0.00,2.44,0.01
0.0735,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.90,0.46,98.73,1.25,1.07,0.99,98.45,99.23,0.00,2.42,0.01
0.0793,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.90,0.46,98.73,1.04,0.85,0.61,98.45,99.23,0.00,2.40,0.01
0.0852,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.89,0.46,98.73,1.04,0.86,0.68,98.45,99.24,0.00,2.38,0.01
0.0911,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.46,98.73,1.06,0.87,0.67,98.45,99.24,0.00,2.36,0.01
0.0972,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.88,0.46,98.73,1.18,0.97,0.78,98.45,99.24,0.00,2.33,0.01
0.1026,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.87,0.46,98.74,1.11,0.96,0.74,98.46,99.24,0.00,2.31,0.01
0.1084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.46,98.74,1.14,0.96,0.73,98.46,99.24,0.00,2.29,0.01
0.1137,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.86,0.46,98.74,1.14,1.04,0.82,98.46,99.24,0.00,2.27,0.01
0.1195,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.85,0.46,98.74,1.24,1.06,0.82,98.46,99.24,0.00,2.24,0.01
0.1253,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.84,0.46,98.74,1.35,1.17,0.95,98.46,99.24,0.00,2.22,0.01
0.1313,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.46,98.74,1.35,1.18,0.95,98.46,99.24,0.00,2.19,0.01
