t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.05,101.42,0.62,1.62,1.60,85.40,150.84,0.00,-87.66,-0.21
0.0244,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.05,101.22,11.73,4.09,4.03,85.21,150.65,0.00,-87.69,-0.21
0.0301,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.05,101.27,5.86,4.53,4.55,85.21,150.69,0.00,-87.70,-0.21
0.0380,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.05,101.34,7.74,4.05,4.04,85.24,150.76,0.00,-87.71,-0.21
0.0458,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.05,101.41,6.97,3.09,2.78,85.28,150.83,0.00,-87.73,-0.21
0.0545,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.05,101.45,3.37,1.48,1.53,85.31,150.87,0.00,-87.75,-0.21
0.0614,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.05,101.48,3.70,2.07,2.02,85.34,150.90,0.00,-87.76,-0.20
0.0680,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.05,101.51,3.77,2.21,1.84,85.37,150.93,0.00,-87.78,-0.20
0.0751,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.05,101.52,2.03,1.83,1.03,85.40,150.95,0.00,-87.80,-0.20
0.0819,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.05,101.53,1.30,1.52,1.20,85.42,150.96,0.00,-87.81,-0.20
0.0886,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.05,101.54,1.06,1.47,1.20,85.43,150.96,0.00,-87.83,-0.20
0.0949,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.05,101.54,0.98,1.77,1.32,85.44,150.97,0.00,-87.84,-0.19
0.1017,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.05,101.54,1.02,1.57,1.38,85.45,150.97,0.00,-87.85,-0.19
0.1075,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.05,101.55,1.05,1.98,1.69,85.47,150.98,0.00,-87.87,-0.19
0.1143,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.04,101.55,0.98,1.58,1.46,85.48,150.97,0.00,-87.88,-0.19
0.1232,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.04,101.51,4.79,1.59,2.12,85.45,150.93,0.00,-87.90,-0.18
0.1309,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.04,101.47,4.39,2.46,2.06,85.42,150.90,0.00,-87.93,-0.18
0.1375,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.04,101.47,0.92,2.07,2.24,85.41,150.90,0.00,-87.94,-0.18
0.1440,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.04,101.49,1.45,1.66,2.13,85.42,150.91,0.00,-87.96,-0.18
0.1513,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.04,101.50,0.59,1.18,1.78,85.42,150.92,0.00,-87.99,-0.18
0.1580,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.04,101.51,1.10,1.39,1.62,85.43,150.94,0.00,-88.01,-0.18
0.1656,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.04,101.51,0.76,1.33,1.35,85.43,150.94,0.00,-88.03,-0.18
0.1725,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.04,101.51,0.50,1.09,1.39,85.43,150.94,0.00,-88.06,-0.18
0.1791,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.03,101.52,0.38,1.05,1.44,85.43,150.94,0.00,-88.08,-0.18
0.1857,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.03,101.52,0.63,0.75,1.85,85.44,150.95,0.00,-88.10,-0.18
0.1916,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.03,101.54,1.95,0.71,1.60,85.45,150.97,0.00,-88.12,-0.18
0.1978,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.03,101.55,1.73,1.09,1.78,85.46,150.98,0.00,-88.14,-0.18
0.2042,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.03,101.56,0.81,1.08,1.87,85.47,150.99,0.00,-88.17,-0.18
0.2107,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.03,101.56,0.64,1.06,1.65,85.48,150.99,0.00,-88.20,-0.18
0.2168,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.02,101.57,0.56,0.82,1.39,85.48,151.00,0.00,-88.23,-0.18
0.2235,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.02,101.56,1.12,1.00,2.09,85.48,150.99,0.00,-88.26,-0.18
0.2312,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.02,101.54,3.24,1.09,2.19,85.45,150.97,0.00,-88.30,-0.18
0.2361,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.02,101.56,2.12,2.04,2.33,85.46,150.98,0.00,-88.33,-0.17
0.2428,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.01,101.56,0.67,0.85,1.85,85.46,150.99,0.00,-88.37,-0.17
0.2490,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.01,101.57,0.61,0.60,2.51,85.46,151.00,0.00,-88.40,-0.17
0.2554,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.01,101.57,0.44,0.89,2.65,85.46,151.00,0.00,-88.43,-0.17
0.2623,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.01,101.57,1.43,1.05,2.64,85.45,151.00,0.00,-88.47,-0.17
0.2682,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.01,101.57,0.53,1.16,1.60,85.44,151.00,0.00,-88.51,-0.17
0.2751,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.00,101.57,1.26,1.06,2.22,85.43,151.00,0.00,-88.55,-0.17
0.2826,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.00,101.55,2.72,1.26,2.45,85.41,150.98,0.00,-88.60,-0.17
0.2908,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.00,101.52,4.25,1.86,2.87,85.36,150.95,0.00,-88.66,-0.16
0.2995,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,-0.00,101.47,5.42,2.01,2.39,85.29,150.90,0.00,-88.72,-0.16
0.3062,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.01,101.47,1.05,2.45,2.29,85.26,150.90,0.00,-88.77,-0.16
0.3140,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,-0.01,101.47,0.79,2.62,1.92,85.23,150.90,0.00,-88.82,-0.16
0.3224,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,-0.01,101.46,1.79,2.21,1.69,85.19,150.89,0.00,-88.89,-0.16
0.3314,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,-0.01,101.43,3.21,2.35,1.64,85.13,150.87,0.00,-88.95,-0.16
