t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z
0.0077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,1.08,98.68,0.31,0.15,0.12,98.41,99.20
0.0213,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,1.08,98.61,5.00,5.33,5.84,98.36,99.15
0.0304,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,1.08,98.61,1.06,0.83,1.57,98.35,99.14
0.0390,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,1.08,98.64,2.32,2.48,2.15,98.38,99.16
0.0469,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,1.08,98.67,2.94,3.32,3.34,98.40,99.19
0.0545,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,1.08,98.69,2.32,2.68,2.88,98.42,99.21
0.0621,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,1.08,98.70,1.12,1.23,1.46,98.43,99.21
0.0698,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,1.08,98.70,0.73,0.21,0.10,98.43,99.21
0.0782,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,1.08,98.69,1.62,1.49,1.48,98.42,99.20
0.0856,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,1.07,98.68,0.76,0.30,0.23,98.41,99.20
0.0940,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,1.07,98.68,1.08,0.75,0.76,98.41,99.20
0.1021,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,1.07,98.68,0.95,0.51,0.52,98.41,99.20
0.1094,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,1.07,98.69,1.09,0.84,0.75,98.41,99.20
0.1175,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,1.07,98.69,0.92,0.37,0.15,98.42,99.20
0.1250,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,1.07,98.69,0.99,0.54,0.38,98.42,99.21
0.1325,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,1.07,98.69,1.02,0.52,0.35,98.42,99.21
0.1400,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,1.06,98.70,1.03,0.47,0.22,98.42,99.21
0.1474,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,1.06,98.70,1.06,0.48,0.22,98.42,99.21
0.1547,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,1.06,98.70,1.08,0.47,0.17,98.43,99.21
0.1622,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,1.06,98.70,1.13,0.51,0.23,98.42,99.21
0.1699,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.51,1.06,98.69,1.27,0.74,0.61,98.42,99.21
0.1955,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,1.05,98.34,12.96,14.11,15.59,98.14,98.93
0.2034,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,1.04,98.45,11.27,11.31,9.30,98.22,99.02
0.2111,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,1.04,98.61,16.08,17.98,18.23,98.35,99.14
0.2186,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,1.04,98.71,11.82,13.54,14.85,98.44,99.23
0.2263,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,1.04,98.75,4.57,5.43,6.71,98.47,99.26
0.2341,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.43,1.03,98.74,1.56,0.78,0.42,98.46,99.25
0.2420,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,1.03,98.72,2.83,2.81,2.51,98.44,99.23
0.2501,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,1.03,98.69,2.63,2.61,2.60,98.42,99.21
0.2586,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,1.03,98.68,2.29,1.92,1.93,98.41,99.20
0.2677,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,1.03,98.66,1.67,1.36,1.45,98.40,99.19
0.2759,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,1.02,98.67,1.51,0.81,0.56,98.40,99.19
0.2838,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,1.02,98.68,1.87,1.52,1.51,98.41,99.20
0.2914,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,1.02,98.70,1.90,1.57,1.66,98.42,99.21
