t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0070,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.41,-0.01,98.65,1.56,1.53,1.51,98.37,99.15,0.00,2.46,-0.19
0.0164,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,-0.01,98.63,2.67,2.97,3.07,98.35,99.13,0.00,2.44,-0.19
0.0252,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,-0.01,98.61,2.22,2.41,2.63,98.34,99.12,0.00,2.42,-0.19
0.0324,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.00,98.62,1.72,1.55,1.45,98.35,99.13,0.00,2.40,-0.19
0.0397,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,-0.00,98.63,1.95,1.99,2.02,98.36,99.14,0.00,2.38,-0.19
0.0473,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.00,98.64,1.44,1.41,1.44,98.37,99.14,0.00,2.36,-0.19
0.0548,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,0.00,98.64,1.33,1.27,1.22,98.37,99.15,0.00,2.34,-0.19
0.0617,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,0.00,98.65,1.28,1.24,1.18,98.37,99.15,0.00,2.31,-0.19
0.0689,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,0.00,98.65,1.27,1.22,1.15,98.37,99.15,0.00,2.29,-0.19
0.0759,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,0.01,98.65,1.27,1.21,1.13,98.37,99.15,0.00,2.26,-0.19
0.0834,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,0.01,98.65,1.42,1.38,1.33,98.37,99.15,0.00,2.24,-0.19
0.0907,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,0.01,98.64,1.23,1.18,1.12,98.37,99.15,0.00,2.21,-0.19
0.0977,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,0.01,98.65,1.17,1.06,0.98,98.37,99.15,0.00,2.18,-0.19
0.1048,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,0.01,98.65,1.16,1.04,0.95,98.37,99.15,0.00,2.15,-0.19
0.1119,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,0.01,98.65,1.18,1.04,0.95,98.37,99.15,0.00,2.12,-0.19
0.1193,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,0.02,98.65,1.27,1.12,1.06,98.37,99.15,0.00,2.09,-0.19
0.1267,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,0.02,98.65,1.24,1.12,1.07,98.37,99.15,0.00,2.06,-0.19
0.1338,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,0.02,98.65,1.14,0.91,0.84,98.37,99.15,0.00,2.03,-0.19
0.1412,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,0.02,98.65,1.15,0.92,0.86,98.37,99.15,0.00,1.99,-0.20
0.1486,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,0.02,98.65,1.14,0.90,0.85,98.37,99.15,0.00,1.96,-0.20
0.1556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,0.02,98.65,1.04,0.78,0.70,98.37,99.15,0.00,1.92,-0.20
0.1630,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,0.02,98.65,1.09,0.84,0.79,98.37,99.15,0.00,1.88,-0.20
0.1702,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,0.02,98.65,1.04,0.77,0.72,98.37,99.15,0.00,1.84,-0.21
0.1775,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.02,98.65,1.06,0.77,0.75,98.37,99.15,0.00,1.80,-0.21
0.1849,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,0.02,98.65,1.08,0.79,0.78,98.37,99.15,0.00,1.76,-0.21
0.1923,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.02,98.65,1.10,0.81,0.82,98.37,99.15,0.00,1.71,-0.22
0.2006,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.02,98.64,1.36,1.28,1.39,98.36,99.14,0.00,1.66,-0.22
0.2083,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.02,98.64,1.09,0.80,0.87,98.36,99.14,0.00,1.61,-0.22
0.2159,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.02,98.64,0.95,0.62,0.60,98.37,99.14,0.00,1.57,-0.23
0.2246,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.02,98.63,1.37,1.20,1.28,98.36,99.14,0.00,1.51,-0.23
0.2321,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.02,98.64,0.95,0.61,0.57,98.36,99.14,0.00,1.46,-0.23
0.2399,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,0.02,98.64,0.94,0.66,0.64,98.37,99.15,0.00,1.41,-0.24
0.2478,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.02,98.64,0.99,0.67,0.69,98.37,99.15,0.00,1.36,-0.24
0.2584,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.02,98.61,2.72,2.85,3.02,98.34,99.12,0.00,1.29,-0.24
0.2659,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,0.02,98.62,1.10,0.82,0.65,98.35,99.13,0.00,1.24,-0.25
0.2741,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,0.02,98.63,1.14,1.07,1.01,98.36,99.14,0.00,1.18,-0.25
0.2821,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,0.03,98.64,1.05,0.90,0.91,98.36,99.14,0.00,1.13,-0.25
0.2897,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,0.03,98.65,1.07,0.86,0.88,98.37,99.15,0.00,1.08,-0.26
0.2977,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,0.03,98.65,1.11,0.75,0.74,98.37,99.15,0.00,1.02,-0.26
0.3057,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,0.03,98.64,1.23,0.88,0.88,98.37,99.15,0.00,0.97,-0.27
0.3135,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,0.03,98.64,1.16,0.75,0.74,98.37,99.15,0.00,0.91,-0.27
0.3215,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,0.03,98.64,1.26,0.84,0.82,98.37,99.15,0.00,0.85,-0.28
0.3299,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,0.03,98.64,1.49,1.19,1.21,98.36,99.14,0.00,0.79,-0.28
0.3378,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,0.03,98.64,1.20,0.72,0.66,98.36,99.14,0.00,0.74,-0.29
0.3458,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.03,98.64,1.23,0.75,0.66,98.37,99.15,0.00,0.68,-0.29
0.3535,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.03,98.65,1.27,0.78,0.66,98.37,99.15,0.00,0.62,-0.30
0.3611,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.03,98.65,1.32,0.81,0.69,98.37,99.15,0.00,0.56,-0.30
0.3698,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.99,0.03,98.64,1.65,1.33,1.28,98.37,99.15,0.00,0.50,-0.31
0.3770,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.03,98.65,1.39,0.80,0.60,98.37,99.15,0.00,0.44,-0.31
0.3855,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,0.03,98.64,1.51,1.08,0.97,98.37,99.15,0.00,0.37,-0.31
0.3935,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.95,0.03,98.64,1.39,0.87,0.73,98.37,99.15,0.00,0.31,-0.32
0.4008,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.94,0.03,98.65,1.50,0.96,0.77,98.37,99.15,0.00,0.26,-0.32
0.4085,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,0.03,98.65,1.49,0.88,0.65,98.38,99.16,0.00,0.20,-0.33
0.4159,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,0.03,98.66,1.55,0.88,0.64,98.38,99.16,0.00,0.14,-0.33
0.4232,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,0.03,98.66,1.62,0.91,0.64,98.38,99.16,0.00,0.08,-0.34
0.4319,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,0.03,98.65,2.07,1.78,1.66,98.37,99.15,0.00,0.01,-0.34
0.4391,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.88,0.03,98.65,1.63,0.91,0.60,98.38,99.16,0.00,-0.04,-0.34
0.4464,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.87,0.03,98.66,1.71,1.04,0.75,98.38,99.16,0.00,-0.10,-0.35
0.4533,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.86,0.03,98.67,1.87,1.21,1.00,98.39,99.17,0.00,-0.15,-0.35
0.4609,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.84,0.03,98.67,1.83,1.13,0.79,98.39,99.17,0.00,-0.21,-0.36
0.4675,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.83,0.03,98.67,1.93,1.10,0.78,98.39,99.17,0.00,-0.26,-0.36
0.4745,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.82,0.03,98.67,1.99,1.17,0.80,98.39,99.17,0.00,-0.31,-0.37
0.4815,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.80,0.03,98.67,2.06,1.29,0.94,98.39,99.17,0.00,-0.37,-0.37
0.4886,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.79,0.02,98.67,2.06,1.32,0.97,98.39,99.17,0.00,-0.42,-0.38
0.4960,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.77,0.02,98.67,2.11,1.45,1.16,98.39,99.17,0.00,-0.47,-0.38
0.5029,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.76,0.02,98.67,2.05,1.25,0.86,98.39,99.17,0.00,-0.53,-0.39
0.9029,Walk,1,853.80,0.00,90.00,91.34,0.00,0.00,0.00,0.00,849.62,-0.02,98.04,16.05,18.33,19.79,97.76,98.53,0.00,-1.74,-0.10
1.1309,Walk,1,859.83,0.00,90.02,157.99,0.00,0.00,0.00,0.00,849.13,0.05,97.56,51.02,58.08,66.13,98.34,98.32,0.00,-1.51,3.42
1.3642,Walk,1,867.47,0.00,90.00,206.62,0.00,0.00,0.00,0.00,850.88,0.18,96.76,47.97,66.57,50.36,96.80,97.22,0.00,-0.74,2.85
1.5808,Walk,1,876.30,0.00,90.00,242.11,0.00,0.00,0.00,0.00,854.00,0.70,97.24,92.07,92.75,116.79,96.90,97.68,0.00,0.03,2.76
1.7908,Walk,1,885.99,0.00,90.02,268.00,0.00,0.00,0.00,0.00,859.51,0.88,96.69,122.30,173.47,192.75,96.09,97.18,0.00,-0.06,0.05
1.9971,Walk,1,896.32,0.00,90.00,286.89,0.00,0.00,0.00,0.00,866.24,0.75,96.29,214.28,198.47,221.97,95.87,96.73,0.00,-1.13,0.82
2.2102,Walk,1,907.10,0.00,90.00,300.67,0.00,0.00,0.00,0.00,874.21,0.84,96.94,287.53,257.62,266.60,97.09,97.37,0.00,-2.26,3.82
2.4280,Walk,1,918.21,0.00,90.02,310.73,0.00,0.00,0.00,0.00,884.78,0.91,95.53,315.56,341.31,308.00,95.81,95.86,0.00,-2.04,3.61
2.6379,Walk,1,929.57,0.00,90.00,318.07,0.00,0.00,0.00,0.00,897.64,1.16,95.29,332.55,375.38,393.54,94.76,95.64,0.00,-0.67,0.27
2.8496,Walk,1,941.11,0.00,90.00,323.43,0.00,0.00,0.00,0.00,910.83,0.67,94.42,390.87,390.47,417.76,94.08,94.85,0.00,-1.19,0.12
3.0728,Walk,1,952.78,0.00,90.02,327.34,0.00,0.00,0.00,0.00,923.93,0.26,95.06,441.57,407.62,413.64,95.61,95.54,0.00,-2.09,3.06
3.3014,Walk,1,963.43,2.69,90.00,297.46,75.11,0.00,0.00,0.00,938.89,0.23,94.67,391.43,456.94,443.65,94.54,95.00,11.80,-0.94,-0.38
3.5441,Walk,1,972.75,7.70,90.00,259.48,139.50,0.00,0.00,0.00,953.32,0.50,94.58,404.85,412.41,410.63,94.01,95.04,23.60,6.05,-2.28
