t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0072,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,-0.02,98.64,1.79,1.91,1.89,98.36,99.14,0.00,2.45,-0.20
0.0170,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,-0.02,98.61,2.95,3.23,3.31,98.34,99.12,0.00,2.43,-0.20
0.0251,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.02,98.61,1.81,1.90,2.02,98.34,99.11,0.00,2.42,-0.19
0.0329,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.02,98.62,1.68,1.60,1.61,98.34,99.12,0.00,2.40,-0.19
0.0407,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.02,98.63,1.66,1.62,1.63,98.35,99.13,0.00,2.38,-0.19
0.0496,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.02,98.62,1.64,1.61,1.58,98.35,99.13,0.00,2.35,-0.19
0.0569,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.02,98.63,1.54,1.46,1.36,98.36,99.13,0.00,2.33,-0.19
0.0655,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.02,98.63,1.48,1.43,1.38,98.35,99.13,0.00,2.30,-0.18
0.0727,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.02,98.63,1.41,1.33,1.22,98.36,99.14,0.00,2.28,-0.18
0.0805,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.02,98.64,1.22,1.15,1.08,98.36,99.14,0.00,2.25,-0.18
0.0881,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.01,98.64,1.19,1.11,1.03,98.36,99.14,0.00,2.22,-0.18
0.0962,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.01,98.63,1.41,1.35,1.32,98.36,99.14,0.00,2.19,-0.18
0.1042,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.01,98.63,1.21,1.17,1.17,98.36,99.13,0.00,2.16,-0.18
0.1116,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.01,98.63,1.07,0.94,0.86,98.36,99.14,0.00,2.13,-0.18
0.1213,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.01,98.62,2.02,2.06,2.13,98.35,99.12,0.00,2.09,-0.18
0.1282,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.01,98.63,1.34,1.23,1.03,98.35,99.13,0.00,2.06,-0.19
0.1359,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.01,98.64,1.11,1.10,1.09,98.36,99.14,0.00,2.02,-0.19
0.1439,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.00,98.64,0.94,0.80,0.80,98.36,99.14,0.00,1.99,-0.19
0.1511,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.00,98.64,0.87,0.78,0.79,98.37,99.14,0.00,1.95,-0.19
0.1583,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.00,98.65,0.83,0.74,0.77,98.37,99.15,0.00,1.91,-0.20
0.1658,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.00,98.65,0.91,0.78,0.83,98.37,99.15,0.00,1.87,-0.20
0.1730,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,0.00,98.65,0.87,0.73,0.81,98.37,99.15,0.00,1.83,-0.20
0.1820,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,0.00,98.63,1.91,1.95,2.09,98.36,99.13,0.00,1.78,-0.21
0.1889,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.00,98.64,0.82,0.70,0.69,98.36,99.14,0.00,1.74,-0.21
0.1963,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.00,98.64,0.79,0.78,0.82,98.37,99.14,0.00,1.70,-0.22
0.2035,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,0.00,98.65,0.78,0.76,0.84,98.37,99.15,0.00,1.65,-0.22
0.2102,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,0.01,98.65,0.84,0.82,0.92,98.38,99.15,0.00,1.61,-0.23
0.2179,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,0.01,98.65,1.00,0.82,0.93,98.37,99.15,0.00,1.57,-0.23
0.2270,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,0.00,98.63,2.04,2.21,2.43,98.36,99.13,0.00,1.51,-0.24
0.2351,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.00,98.62,1.09,1.08,1.38,98.35,99.13,0.00,1.46,-0.24
0.2432,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,0.00,98.62,0.83,0.63,0.81,98.35,99.13,0.00,1.40,-0.24
0.2516,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,0.00,98.63,0.79,0.59,0.74,98.35,99.13,0.00,1.35,-0.25
0.2600,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,0.00,98.63,0.83,0.63,0.79,98.35,99.13,0.00,1.29,-0.25
0.2680,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,0.00,98.63,0.77,0.58,0.70,98.36,99.13,0.00,1.24,-0.26
0.2764,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,0.00,98.63,0.85,0.62,0.76,98.36,99.13,0.00,1.18,-0.26
0.2850,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.08,0.00,98.63,1.11,0.93,1.07,98.35,99.13,0.00,1.12,-0.27
0.2936,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,0.00,98.62,0.97,0.81,0.99,98.35,99.13,0.00,1.06,-0.27
0.3016,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,0.00,98.63,0.89,0.65,0.68,98.35,99.13,0.00,1.01,-0.27
0.3101,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,0.00,98.63,0.95,0.64,0.71,98.36,99.13,0.00,0.95,-0.28
0.3179,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,0.00,98.64,0.99,0.69,0.71,98.36,99.14,0.00,0.90,-0.28
0.3256,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,0.01,98.64,1.08,0.76,0.77,98.37,99.14,0.00,0.84,-0.29
0.3338,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,0.01,98.64,1.19,0.78,0.78,98.36,99.14,0.00,0.78,-0.30
0.3410,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,0.01,98.65,1.26,0.81,0.75,98.37,99.15,0.00,0.73,-0.30
0.3486,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,0.01,98.65,1.24,0.69,0.63,98.37,99.15,0.00,0.67,-0.31
0.3565,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.01,0.01,98.65,1.44,0.96,0.90,98.37,99.15,0.00,0.62,-0.31
0.3642,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.00,0.01,98.64,1.37,0.82,0.76,98.37,99.15,0.00,0.56,-0.32
0.3729,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.98,0.01,98.64,1.78,1.49,1.50,98.36,99.14,0.00,0.49,-0.32
0.3806,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.97,0.00,98.64,1.35,0.76,0.65,98.36,99.14,0.00,0.43,-0.33
0.3879,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.96,0.00,98.64,1.51,1.01,0.83,98.37,99.15,0.00,0.37,-0.33
0.3954,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.95,0.00,98.65,1.54,0.97,0.81,98.37,99.15,0.00,0.32,-0.34
0.4032,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.94,0.00,98.65,1.56,0.92,0.67,98.37,99.15,0.00,0.26,-0.34
0.4103,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.93,0.00,98.65,1.62,0.88,0.60,98.38,99.16,0.00,0.20,-0.35
0.4173,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,0.00,98.66,1.73,0.96,0.68,98.38,99.16,0.00,0.15,-0.35
0.4243,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.91,0.00,98.66,1.80,0.99,0.66,98.38,99.16,0.00,0.09,-0.36
0.4312,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.89,0.00,98.66,1.89,1.03,0.67,98.38,99.16,0.00,0.04,-0.36
0.4387,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.88,0.00,98.66,2.04,1.40,1.12,98.38,99.16,0.00,-0.02,-0.37
0.4456,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.87,-0.00,98.66,1.96,1.14,0.76,98.38,99.16,0.00,-0.07,-0.37
0.4530,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.85,-0.00,98.66,2.02,1.33,1.02,98.38,99.16,0.00,-0.13,-0.38
0.4601,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.84,-0.00,98.66,1.99,1.24,0.86,98.38,99.16,0.00,-0.19,-0.38
0.4678,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.82,-0.01,98.66,2.05,1.46,1.16,98.38,99.16,0.00,-0.24,-0.38
0.4751,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.80,-0.01,98.66,1.98,1.33,0.97,98.38,99.16,0.00,-0.30,-0.38
0.4823,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.79,-0.01,98.66,2.01,1.31,0.95,98.38,99.16,0.00,-0.35,-0.39
0.4900,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.77,-0.01,98.66,2.04,1.51,1.19,98.38,99.16,0.00,-0.41,-0.39
0.4974,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.75,-0.01,98.66,1.98,1.37,1.01,98.38,99.16,0.00,-0.47,-0.39
0.5055,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.73,-0.02,98.65,2.04,1.64,1.37,98.38,99.16,0.00,-0.53,-0.39
0.9055,Walk,1,853.80,0.00,90.00,91.34,0.00,0.00,0.00,0.00,849.59,-0.05,98.02,16.22,18.50,20.01,97.74,98.51,0.00,-1.74,-0.10
1.1452,Walk,1,859.83,0.00,90.02,157.99,0.00,0.00,0.00,0.00,849.11,0.02,97.54,50.81,57.78,65.79,98.32,98.31,0.00,-1.51,3.41
1.3676,Walk,1,867.47,0.00,90.00,206.62,0.00,0.00,0.00,0.00,850.86,0.16,96.75,48.27,66.51,50.66,96.80,97.21,0.00,-0.75,2.86
1.5654,Walk,1,876.30,0.00,90.00,242.11,0.00,0.00,0.00,0.00,853.94,0.68,97.20,93.66,90.16,112.14,96.89,97.64,0.00,-0.02,2.97
1.7949,Walk,1,885.99,0.00,90.02,268.00,0.00,0.00,0.00,0.00,859.52,0.91,96.71,119.90,176.01,192.92,96.09,97.20,0.00,-0.03,-0.04
2.0145,Walk,1,896.32,0.00,90.00,286.89,0.00,0.00,0.00,0.00,866.17,0.76,96.32,217.33,195.65,220.34,95.93,96.76,0.00,-1.19,1.08
2.2376,Walk,1,907.10,0.00,90.00,300.67,0.00,0.00,0.00,0.00,874.08,0.88,96.90,287.95,258.55,268.23,97.25,97.33,0.00,-2.38,4.20
2.4585,Walk,1,918.21,0.00,90.02,310.73,0.00,0.00,0.00,0.00,884.87,1.00,95.42,310.10,344.90,310.97,95.54,95.72,0.00,-1.83,3.21
2.6729,Walk,1,929.57,0.00,90.00,318.07,0.00,0.00,0.00,0.00,897.69,1.21,95.22,333.78,374.06,394.79,94.60,95.59,0.00,-0.69,0.03
2.9109,Walk,1,941.11,0.00,90.00,323.43,0.00,0.00,0.00,0.00,910.65,0.65,94.50,402.90,385.22,406.22,94.27,94.92,0.00,-1.54,0.97
3.1584,Walk,1,952.78,0.00,90.02,327.34,0.00,0.00,0.00,0.00,923.93,0.40,94.70,431.72,415.00,416.96,95.36,95.14,0.00,-2.40,2.94
3.4060,Walk,1,963.43,2.69,90.00,297.46,75.11,0.00,0.00,0.00,939.34,0.39,94.79,383.92,459.68,451.92,94.35,95.11,11.80,-0.52,-2.29
3.6516,Walk,1,972.75,7.70,90.00,259.48,139.50,0.00,0.00,0.00,953.02,0.19,94.60,433.11,384.62,388.04,94.34,95.11,23.60,5.32,-0.27
3.9011,Walk,1,980.45,14.63,90.02,213.97,192.89,0.00,0.00,0.00,966.40,0.38,95.50,410.42,371.96,380.84,96.16,96.04,35.39,13.95,1.09
4.1792,Walk,1,986.29,23.07,90.00,162.23,234.52,-0.00,-0.00,0.00,979.33,3.09,95.48,346.70,384.81,342.11,94.93,95.82,47.19,25.46,-2.22
4.4154,Walk,1,990.09,32.58,90.00,105.56,264.01,-0.00,-0.00,0.00,990.07,7.04,95.08,348.46,308.51,308.76,94.30,95.53,58.99,37.72,-1.31
4.6506,Walk,1,991.74,42.69,90.00,45.78,280.89,0.00,0.00,0.00,999.29,11.48,96.26,337.61,262.40,277.25,96.11,96.77,70.79,49.07,2.09
4.8788,Walk,1,996.27,51.18,90.00,125.41,234.53,0.00,-0.00,-0.00,1007.05,18.26,95.71,310.97,297.34,269.43,95.54,96.12,58.99,60.89,2.52
5.1156,Walk,1,1003.01,57.80,90.00,185.99,182.76,0.00,0.00,0.00,1014.37,27.36,96.41,281.85,316.75,330.81,95.53,97.08,47.19,62.00,-0.98
5.3659,Walk,1,1011.34,62.39,90.00,229.79,126.73,0.00,0.00,0.00,1019.02,37.21,95.57,305.45,332.90,311.43,94.75,95.87,35.39,57.59,-1.88
5.6169,Walk,1,1020.68,64.84,90.00,258.16,67.67,0.00,0.00,0.00,1021.42,47.54,95.69,321.50,377.92,354.69,95.73,95.98,23.60,46.55,0.14
