t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0055,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,804.77,108.56,76.94,308.85,108.88,145.60,-74.34,126.27,0.00,2.71,0.04
0.0135,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,804.67,107.58,76.22,337.55,142.93,182.82,192.36,126.04,0.00,2.70,0.04
0.0204,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,804.68,106.51,75.72,350.33,152.35,215.31,-6.13,125.21,0.00,2.69,0.04
0.0263,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,804.72,105.45,75.13,362.98,177.59,258.29,139.66,124.54,0.00,2.67,0.05
0.0328,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,804.92,104.10,74.78,368.92,180.12,278.71,24.13,124.32,0.00,2.66,0.05
0.0387,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,805.13,102.73,74.31,383.21,197.20,319.12,115.26,123.56,0.00,2.64,0.05
0.0453,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,805.48,101.02,74.05,393.44,209.53,342.93,35.72,123.64,0.00,2.63,0.05
0.0513,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,805.83,99.28,73.64,408.90,233.02,383.05,101.95,122.80,0.00,2.61,0.05
0.0577,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,806.30,97.26,73.40,420.25,250.46,410.26,-147.20,126.45,0.00,2.59,0.06
0.0639,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,806.87,95.16,72.65,436.44,297.30,471.81,549.82,114.10,0.00,2.57,0.06
0.0702,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,807.60,92.87,72.96,439.28,274.67,464.52,-410.89,123.96,0.00,2.54,0.06
0.0765,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,808.30,90.33,72.95,460.28,306.19,504.26,519.95,121.32,0.00,2.52,0.06
0.0829,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,809.05,87.63,73.00,475.19,334.90,539.19,-431.84,120.68,0.00,2.50,0.06
0.0889,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,809.79,84.93,72.90,488.58,356.28,574.39,332.14,122.97,0.00,2.47,0.06
0.0955,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,810.73,81.74,72.93,502.80,377.75,605.82,-175.26,122.21,0.00,2.44,0.06
