t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0054,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,858.47,-46.56,81.89,231.29,57.27,134.45,189.92,133.28,0.00,2.69,-0.02
0.0126,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,858.85,-47.16,81.83,251.70,42.95,120.61,-79.93,131.31,0.00,2.67,-0.02
0.0186,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.14,-47.55,81.73,264.16,44.29,110.07,271.75,130.52,0.00,2.66,-0.02
0.0243,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.40,-47.83,81.68,276.81,56.00,97.11,-140.46,127.41,0.00,2.65,-0.02
0.0306,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.65,-48.02,81.54,291.68,72.45,88.75,239.52,131.48,0.00,2.63,-0.03
0.0358,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.86,-48.10,81.47,302.06,92.38,77.21,-100.06,128.72,0.00,2.62,-0.03
0.0410,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.04,-48.11,81.36,312.71,112.16,69.54,167.60,131.81,0.00,2.61,-0.03
0.0461,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.22,-48.03,81.33,323.71,133.96,57.03,-65.95,130.57,0.00,2.59,-0.03
0.0520,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.38,-47.82,81.23,337.80,155.71,48.55,197.13,132.87,0.00,2.57,-0.03
0.0585,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.55,-47.44,81.25,353.81,182.31,34.09,-90.48,130.57,0.00,2.55,-0.04
0.0637,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.65,-47.06,81.18,362.16,203.54,28.99,230.69,132.07,0.00,2.54,-0.04
0.0693,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.75,-46.54,81.29,374.72,231.16,25.96,-44.74,130.40,0.00,2.52,-0.04
0.0753,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.80,-45.85,81.22,386.77,251.66,30.98,216.66,129.24,0.00,2.49,-0.04
0.0821,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.82,-44.90,81.25,403.03,279.48,44.22,-97.75,127.90,0.00,2.47,-0.05
0.0870,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.82,-44.14,81.22,409.09,301.72,56.63,159.66,131.35,0.00,2.45,-0.05
0.0928,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.81,-43.13,81.34,421.45,329.70,72.15,-82.83,130.52,0.00,2.42,-0.05
0.0986,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.74,-42.01,81.38,431.19,352.51,84.96,213.31,132.50,0.00,2.40,-0.05
0.1039,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.67,-40.88,81.56,441.01,378.82,103.80,-33.87,130.74,0.00,2.37,-0.05
0.1093,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.54,-39.62,81.61,448.05,397.97,113.56,224.33,129.78,0.00,2.35,-0.05
0.1145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.40,-38.35,81.74,456.39,420.76,129.66,-121.20,128.24,0.00,2.32,-0.06
0.1200,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,860.22,-36.90,81.81,463.58,441.32,141.23,258.43,131.82,0.00,2.30,-0.06
0.1262,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.98,-35.11,82.02,473.73,467.25,158.54,-155.51,128.35,0.00,2.26,-0.06
0.1320,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.73,-33.39,82.20,476.96,489.20,173.17,195.37,133.00,0.00,2.23,-0.06
0.1388,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.41,-31.22,82.57,482.53,516.28,192.47,-111.93,131.92,0.00,2.20,-0.06
0.1460,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,859.01,-28.78,82.92,481.39,539.06,207.37,241.59,134.07,0.00,2.16,-0.07
0.1523,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,858.63,-26.58,83.35,479.07,562.08,226.18,-42.78,132.70,0.00,2.12,-0.07
0.1597,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,858.11,-23.90,83.68,470.66,578.85,233.68,263.00,131.48,0.00,2.08,-0.07
0.1666,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,857.61,-21.32,84.07,464.04,597.98,246.70,-145.75,131.09,0.00,2.04,-0.07
0.1727,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,857.13,-18.96,84.36,454.32,611.59,252.94,197.47,134.80,0.00,2.00,-0.07
0.1788,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,856.65,-16.57,84.79,446.64,627.62,263.81,-36.24,134.41,0.00,1.96,-0.07
0.1848,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,856.15,-14.21,85.11,433.60,636.62,266.91,142.07,134.96,0.00,1.93,-0.07
0.1911,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,855.62,-11.63,85.61,422.40,649.29,275.71,17.05,135.30,0.00,1.89,-0.08
0.1966,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,855.12,-9.37,85.95,407.83,653.82,275.33,111.43,135.56,0.00,1.85,-0.08
0.2024,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,854.60,-6.97,86.43,395.45,661.63,281.42,-101.20,137.02,0.00,1.81,-0.08
0.2084,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,853.96,-4.45,86.28,368.09,653.15,264.63,650.91,115.60,0.00,1.77,-0.08
0.2150,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,853.32,-1.69,86.67,354.27,666.48,273.90,-674.60,121.48,0.00,1.73,-0.08
0.2211,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,852.73,0.85,86.94,333.72,668.29,271.74,481.72,140.28,0.00,1.69,-0.08
0.2288,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.99,4.09,87.54,312.74,673.21,275.56,-308.25,136.72,0.00,1.64,-0.08
0.2356,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,851.29,6.97,87.92,289.08,671.26,270.55,306.98,139.15,0.00,1.59,-0.08
0.2420,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,9.67,88.41,273.50,670.06,270.91,-87.40,137.82,0.00,1.54,-0.08
0.2485,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.92,12.44,88.69,249.17,661.77,259.24,210.73,139.00,0.00,1.50,-0.08
0.2549,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,849.23,15.21,89.16,234.34,662.14,258.45,-2.30,138.81,0.00,1.45,-0.07
0.2614,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.49,17.96,89.33,208.98,653.30,244.83,164.22,139.06,0.00,1.40,-0.07
0.2675,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.83,20.58,89.74,197.15,653.72,245.03,29.00,139.36,0.00,1.36,-0.07
0.2735,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.12,23.14,89.80,172.81,642.77,229.40,149.03,139.16,0.00,1.32,-0.07
0.2801,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.40,25.96,90.29,161.97,644.69,232.63,36.27,139.97,0.00,1.27,-0.07
0.2864,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,845.67,28.61,90.36,135.18,633.20,216.72,150.87,139.35,0.00,1.22,-0.07
0.2927,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.99,31.21,90.81,125.86,631.83,220.99,21.53,140.60,0.00,1.17,-0.07
0.2985,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,844.30,33.60,90.81,100.36,617.45,199.87,160.61,139.47,0.00,1.13,-0.06
0.3048,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,843.61,36.17,91.24,92.62,615.52,204.65,-0.90,141.06,0.00,1.08,-0.06
0.3102,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.98,38.33,91.22,69.73,601.56,183.29,165.38,139.82,0.00,1.04,-0.06
0.3164,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,842.31,40.77,91.64,65.86,597.99,189.49,-14.91,141.44,0.00,1.00,-0.06
0.3226,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,841.58,43.12,91.52,31.44,580.84,165.91,165.93,140.28,0.00,0.95,-0.05
0.3282,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,840.95,45.20,91.68,25.27,573.80,162.67,-20.53,141.61,0.00,0.91,-0.05
0.3340,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,840.24,47.31,91.25,48.91,559.74,142.45,173.44,139.68,0.00,0.86,-0.05
0.3395,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,839.64,49.26,91.22,48.59,553.95,133.24,-35.39,140.99,0.00,0.82,-0.04
0.3453,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,838.97,51.21,90.64,84.38,541.95,130.91,171.25,139.22,0.00,0.78,-0.04
0.3518,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,838.30,53.34,90.50,80.09,532.04,113.79,-37.30,140.17,0.00,0.73,-0.04
0.3577,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,837.68,55.17,89.95,105.18,516.25,120.83,159.89,138.65,0.00,0.68,-0.04
0.3634,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,837.13,56.87,89.81,107.97,502.51,102.40,-31.85,139.43,0.00,0.64,-0.03
