t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0076,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.44,-0.01,98.63,1.63,1.64,1.63,98.36,99.14,0.00,2.46,-0.21
0.0175,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.42,-0.02,98.61,2.68,3.04,3.14,98.34,99.12,0.00,2.44,-0.20
0.0257,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.40,-0.02,98.61,1.62,1.64,1.75,98.34,99.11,0.00,2.43,-0.20
0.0351,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.39,-0.02,98.60,1.82,1.78,1.88,98.33,99.11,0.00,2.40,-0.20
0.0428,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.38,-0.02,98.61,1.88,1.78,1.69,98.34,99.12,0.00,2.38,-0.20
0.0507,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.36,-0.02,98.63,1.71,1.72,1.75,98.35,99.13,0.00,2.36,-0.20
0.0587,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,-0.02,98.63,1.45,1.41,1.39,98.36,99.14,0.00,2.34,-0.20
0.0658,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.02,98.64,1.46,1.46,1.43,98.37,99.14,0.00,2.31,-0.19
0.0741,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,-0.02,98.64,1.55,1.54,1.42,98.36,99.14,0.00,2.29,-0.19
0.0827,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.02,98.63,1.79,1.92,1.90,98.35,99.13,0.00,2.26,-0.19
0.0901,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.02,98.63,1.32,1.22,1.14,98.36,99.13,0.00,2.23,-0.19
0.0983,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.01,98.63,1.38,1.29,1.23,98.36,99.13,0.00,2.19,-0.19
0.1066,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.01,98.63,1.42,1.33,1.28,98.35,99.13,0.00,2.16,-0.19
0.1142,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.01,98.63,1.29,1.17,1.04,98.36,99.14,0.00,2.13,-0.19
0.1233,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.01,98.62,1.64,1.58,1.56,98.35,99.13,0.00,2.09,-0.19
0.1303,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.01,98.63,1.48,1.36,1.20,98.36,99.14,0.00,2.06,-0.19
0.1379,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.01,98.64,1.31,1.24,1.20,98.37,99.14,0.00,2.03,-0.19
0.1454,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.00,98.64,1.18,1.04,0.97,98.37,99.15,0.00,1.99,-0.19
0.1544,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.00,98.63,1.91,1.91,1.90,98.36,99.14,0.00,1.95,-0.20
0.1616,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.00,98.64,1.13,0.93,0.81,98.36,99.14,0.00,1.91,-0.20
0.1680,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,0.00,98.65,1.71,1.80,1.76,98.37,99.15,0.00,1.87,-0.20
0.1751,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.00,98.66,1.16,1.09,1.10,98.38,99.16,0.00,1.83,-0.20
0.1821,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,0.00,98.66,1.07,0.86,0.79,98.38,99.16,0.00,1.79,-0.21
0.1895,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,0.01,98.65,1.33,1.14,1.10,98.38,99.15,0.00,1.75,-0.21
0.1964,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,0.01,98.65,1.11,0.84,0.81,98.38,99.15,0.00,1.71,-0.21
