t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0081,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.88,-11.85,105.72,452.06,225.36,171.45,56.93,154.45,0.00,2.34,-0.01
0.0230,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.07,-24.23,116.07,559.04,273.65,305.16,127.38,165.48,0.00,2.31,-0.03
0.0315,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.83,-27.78,123.11,704.20,425.71,438.62,-9.49,171.57,0.00,2.30,-0.02
0.0396,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,846.14,-31.89,130.38,760.49,456.60,521.32,208.81,179.59,0.00,2.28,-0.03
0.0474,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.62,-6.05,101.17,285.37,95.47,125.99,80.58,150.91,0.00,2.18,-0.01
0.0552,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.89,-11.91,105.73,452.26,231.63,180.38,54.81,154.42,0.00,2.17,-0.01
0.0626,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.41,-16.88,110.90,576.99,309.62,351.04,121.47,159.78,0.00,2.16,-0.02
0.0703,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.42,-21.95,117.33,709.80,427.55,404.49,-15.87,165.80,0.00,2.14,-0.02
0.0776,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.19,-25.18,123.85,757.58,445.53,520.22,210.52,173.01,0.00,2.13,-0.02
0.0852,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.56,-29.92,131.27,865.77,484.57,596.12,-31.18,179.42,0.00,2.11,-0.02
0.0925,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.70,-5.67,100.98,285.98,94.30,125.45,79.95,150.71,0.00,1.99,-0.01
0.1000,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.98,-11.23,105.32,452.47,230.46,178.78,55.25,154.06,0.00,1.98,-0.01
0.1077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.30,-17.19,110.70,572.02,323.05,350.88,120.23,159.66,0.00,1.97,-0.02
0.1154,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.55,-21.48,117.07,703.56,415.80,428.70,-14.43,165.51,0.00,1.95,-0.02
0.1228,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.19,-24.98,123.84,758.97,420.84,518.12,208.95,172.98,0.00,1.94,-0.02
0.1308,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.53,-29.00,131.54,864.64,508.34,611.04,-29.00,180.10,0.00,1.91,-0.02
0.1385,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,848.63,-6.00,101.13,284.71,93.99,125.61,80.72,150.88,0.00,1.75,-0.01
0.1461,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.91,-11.64,105.55,452.12,231.13,184.39,53.43,154.26,0.00,1.74,-0.01
0.1540,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.22,-17.79,111.08,571.72,322.80,348.27,124.88,160.03,0.00,1.72,-0.02
0.1619,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.48,-22.11,117.57,706.22,417.45,415.95,-16.68,165.97,0.00,1.71,-0.02
0.1696,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,847.20,-25.79,124.61,760.30,421.05,511.82,217.04,173.73,0.00,1.69,-0.02
