t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0067,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.37,-0.01,98.65,1.53,1.62,1.65,98.37,99.15,0.00,2.46,-0.18
0.0173,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.35,-0.01,98.62,3.22,3.53,3.55,98.35,99.12,0.00,2.44,-0.18
0.0255,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.01,98.61,1.77,1.94,2.12,98.34,99.12,0.00,2.42,-0.17
0.0329,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.01,98.62,1.54,1.48,1.44,98.35,99.13,0.00,2.40,-0.17
0.0398,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.01,98.64,2.09,2.22,2.27,98.36,99.14,0.00,2.38,-0.17
0.0469,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.01,98.65,1.51,1.58,1.66,98.37,99.15,0.00,2.37,-0.17
0.0541,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.01,98.65,1.14,1.09,1.03,98.38,99.15,0.00,2.34,-0.17
0.0618,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.01,98.65,1.42,1.40,1.31,98.37,99.15,0.00,2.32,-0.17
0.0694,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.01,98.64,1.36,1.42,1.41,98.37,99.14,0.00,2.30,-0.17
0.0765,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.01,98.64,1.05,0.91,0.86,98.37,99.14,0.00,2.27,-0.17
0.0839,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.01,98.64,1.03,0.87,0.83,98.37,99.14,0.00,2.24,-0.17
0.0921,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.01,98.64,1.44,1.39,1.42,98.36,99.14,0.00,2.21,-0.17
0.0998,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.01,98.63,0.97,0.83,0.86,98.36,99.14,0.00,2.18,-0.17
