t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0077,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,-0.03,98.64,1.49,1.60,1.63,98.37,99.14,0.00,2.45,-0.16
0.0170,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.03,98.62,2.35,2.68,2.84,98.35,99.13,0.00,2.43,-0.16
0.0251,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.03,98.62,1.28,1.31,1.50,98.35,99.12,0.00,2.41,-0.16
0.0320,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.03,98.63,1.56,1.60,1.54,98.36,99.13,0.00,2.40,-0.16
0.0388,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.03,98.65,1.81,2.01,2.07,98.37,99.15,0.00,2.38,-0.16
0.0462,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.03,98.65,0.89,0.90,0.96,98.37,99.15,0.00,2.36,-0.16
0.0530,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.03,98.65,0.79,0.77,0.77,98.38,99.15,0.00,2.34,-0.16
0.0600,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.03,98.65,0.88,0.82,0.81,98.38,99.15,0.00,2.32,-0.16
0.0671,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.03,98.65,0.87,0.87,0.90,98.37,99.15,0.00,2.30,-0.16
0.0742,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.03,98.65,0.94,0.88,0.94,98.37,99.15,0.00,2.27,-0.16
0.0814,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.03,98.65,0.74,0.70,0.77,98.37,99.15,0.00,2.25,-0.16
0.0885,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.03,98.65,0.71,0.61,0.67,98.37,99.15,0.00,2.22,-0.17
0.0956,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.03,98.65,0.69,0.58,0.66,98.37,99.15,0.00,2.19,-0.17
0.1027,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.03,98.65,0.68,0.56,0.64,98.37,99.15,0.00,2.16,-0.17
0.1102,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.03,98.65,0.85,0.73,0.83,98.37,99.15,0.00,2.13,-0.17
0.1169,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.03,98.65,0.62,0.49,0.50,98.37,99.15,0.00,2.11,-0.18
0.1241,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.24,-0.02,98.65,0.63,0.46,0.54,98.37,99.15,0.00,2.08,-0.18
0.1324,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.03,98.64,1.50,1.48,1.60,98.37,99.14,0.00,2.04,-0.18
0.1390,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.03,98.65,0.68,0.57,0.55,98.37,99.15,0.00,2.01,-0.19
0.1467,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.23,-0.03,98.64,0.71,0.57,0.70,98.37,99.15,0.00,1.97,-0.19
0.1534,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.03,98.65,0.65,0.67,0.73,98.37,99.15,0.00,1.94,-0.20
0.1601,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.03,98.66,0.65,0.69,0.79,98.38,99.16,0.00,1.90,-0.20
0.1672,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.22,-0.03,98.66,0.70,0.55,0.71,98.38,99.16,0.00,1.86,-0.20
0.1740,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.03,98.66,0.68,0.51,0.70,98.38,99.16,0.00,1.82,-0.21
0.1807,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.03,98.66,0.69,0.48,0.66,98.38,99.16,0.00,1.79,-0.21
0.1876,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.21,-0.03,98.66,0.81,0.59,0.76,98.38,99.16,0.00,1.75,-0.22
0.1947,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.03,98.65,0.81,0.61,0.81,98.38,99.15,0.00,1.70,-0.22
0.2026,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.20,-0.03,98.65,1.38,1.27,1.44,98.37,99.15,0.00,1.66,-0.23
0.2093,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.03,98.65,0.74,0.42,0.54,98.37,99.15,0.00,1.62,-0.23
0.2163,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.19,-0.03,98.65,0.77,0.50,0.57,98.37,99.15,0.00,1.57,-0.24
0.2231,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.03,98.66,0.81,0.50,0.58,98.38,99.16,0.00,1.53,-0.24
0.2299,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.18,-0.03,98.66,0.86,0.44,0.52,98.38,99.16,0.00,1.49,-0.25
0.2369,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.03,98.66,1.00,0.57,0.64,98.38,99.16,0.00,1.44,-0.25
0.2440,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.17,-0.03,98.66,1.13,0.72,0.79,98.38,99.16,0.00,1.39,-0.26
0.2509,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.16,-0.03,98.65,1.03,0.54,0.59,98.38,99.16,0.00,1.35,-0.26
0.2579,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.03,98.66,1.08,0.54,0.51,98.38,99.16,0.00,1.30,-0.27
0.2657,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.15,-0.04,98.65,1.43,1.12,1.14,98.37,99.15,0.00,1.25,-0.27
0.2731,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.14,-0.04,98.65,1.22,0.85,0.88,98.37,99.15,0.00,1.20,-0.27
0.2807,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.13,-0.04,98.65,1.23,0.74,0.70,98.37,99.15,0.00,1.15,-0.28
0.2888,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.12,-0.04,98.64,1.42,1.07,1.05,98.37,99.14,0.00,1.09,-0.28
0.2970,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.11,-0.04,98.64,1.36,1.08,1.09,98.36,99.14,0.00,1.04,-0.28
0.3048,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.10,-0.04,98.64,1.25,0.74,0.59,98.36,99.14,0.00,0.98,-0.28
0.3124,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.09,-0.04,98.64,1.29,0.82,0.62,98.37,99.15,0.00,0.93,-0.29
0.3205,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.07,-0.04,98.64,1.35,0.89,0.71,98.37,99.15,0.00,0.87,-0.29
0.3278,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.06,-0.04,98.65,1.39,0.90,0.69,98.37,99.15,0.00,0.82,-0.29
0.3362,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.05,-0.04,98.64,1.58,1.21,1.07,98.37,99.15,0.00,0.76,-0.30
0.3434,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.04,-0.04,98.65,1.48,0.95,0.70,98.37,99.15,0.00,0.71,-0.30
0.3510,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.03,-0.04,98.65,1.49,0.98,0.75,98.37,99.15,0.00,0.65,-0.30
0.3584,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.02,-0.04,98.65,1.54,1.00,0.77,98.38,99.16,0.00,0.59,-0.31
