t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0062,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.34,-0.01,98.66,1.41,1.41,1.40,98.38,99.16,0.00,2.45,-0.19
0.0145,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.33,-0.01,98.64,2.24,2.40,2.36,98.37,99.14,0.00,2.43,-0.19
0.0225,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.32,-0.01,98.63,2.07,2.32,2.44,98.36,99.13,0.00,2.42,-0.19
0.0298,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.31,-0.01,98.63,1.30,1.24,1.28,98.36,99.13,0.00,2.40,-0.19
0.0358,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.30,-0.01,98.64,2.02,2.09,2.05,98.37,99.15,0.00,2.38,-0.19
0.0419,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.29,-0.01,98.66,1.92,2.04,2.14,98.38,99.16,0.00,2.37,-0.19
0.0487,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.01,98.66,1.12,1.02,0.96,98.38,99.16,0.00,2.35,-0.19
0.0555,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.28,-0.02,98.66,1.28,1.18,1.06,98.38,99.16,0.00,2.33,-0.19
0.0618,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.27,-0.02,98.66,1.12,1.00,0.90,98.38,99.16,0.00,2.31,-0.19
0.0684,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.26,-0.02,98.65,1.15,0.98,0.90,98.38,99.15,0.00,2.29,-0.19
0.0748,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.02,98.65,1.03,0.84,0.73,98.38,99.16,0.00,2.26,-0.19
0.0811,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.25,-0.02,98.66,0.99,0.74,0.63,98.38,99.16,0.00,2.24,-0.19
