t,state,grounded,bean_x,bean_y,bean_z,bean_vx,bean_vy,bean_vz,bean_pitch,bean_roll,pelvis_x,pelvis_y,pelvis_z,pelvis_speed,foot_l_speed,foot_r_speed,hand_r_z,head_z,bean_yaw,pelvis_yaw,pelvis_pitch
0.0055,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.59,98.73,0.40,0.33,0.37,98.45,99.23,0.00,2.58,-0.02
0.0125,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.59,98.72,1.54,1.56,1.68,98.44,99.22,0.00,2.57,-0.03
0.0192,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.59,98.71,1.09,1.19,1.44,98.43,99.22,0.00,2.55,-0.03
0.0247,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.83,0.59,98.72,0.95,0.87,0.69,98.44,99.22,0.00,2.54,-0.03
0.0315,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,0.59,98.72,0.84,0.50,0.50,98.44,99.22,0.00,2.53,-0.03
0.0374,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.82,0.59,98.72,0.84,0.59,0.47,98.44,99.22,0.00,2.51,-0.04
0.0434,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.59,98.72,0.85,0.60,0.49,98.44,99.23,0.00,2.50,-0.04
0.0494,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.81,0.59,98.72,0.90,0.62,0.51,98.44,99.23,0.00,2.48,-0.04
0.0556,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.59,98.72,1.03,0.78,0.70,98.44,99.23,0.00,2.46,-0.04
0.0632,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.80,0.58,98.71,2.04,1.96,2.04,98.43,99.22,0.00,2.44,-0.05
0.0699,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.79,0.58,98.71,1.28,1.10,1.18,98.43,99.21,0.00,2.41,-0.05
0.0766,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.78,0.58,98.71,1.24,0.84,0.72,98.43,99.21,0.00,2.39,-0.05
0.0833,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.77,0.58,98.71,1.29,0.90,0.74,98.43,99.22,0.00,2.36,-0.06
0.0896,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.77,0.58,98.72,1.36,1.08,0.90,98.44,99.22,0.00,2.34,-0.06
0.0962,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.76,0.58,98.72,1.34,1.00,0.79,98.44,99.22,0.00,2.31,-0.06
0.1031,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.75,0.58,98.71,1.58,1.28,1.12,98.44,99.22,0.00,2.29,-0.06
0.1094,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.74,0.58,98.72,1.47,1.17,0.88,98.44,99.22,0.00,2.26,-0.06
0.1160,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.73,0.58,98.72,1.50,1.18,0.96,98.44,99.22,0.00,2.23,-0.07
0.1223,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.72,0.58,98.72,1.53,1.23,1.00,98.44,99.22,0.00,2.21,-0.07
0.1283,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.71,0.57,98.72,1.57,1.33,1.11,98.44,99.23,0.00,2.18,-0.07
0.1340,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.70,0.57,98.73,1.58,1.38,1.18,98.45,99.23,0.00,2.15,-0.07
0.1404,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.69,0.57,98.73,1.60,1.33,1.04,98.45,99.23,0.00,2.12,-0.07
0.1469,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.68,0.57,98.72,1.80,1.56,1.32,98.44,99.23,0.00,2.09,-0.07
0.1531,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.67,0.57,98.72,1.63,1.37,1.07,98.44,99.23,0.00,2.06,-0.07
0.1589,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.66,0.57,98.73,1.64,1.37,1.09,98.45,99.23,0.00,2.03,-0.07
0.1658,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.65,0.57,98.72,1.81,1.50,1.23,98.44,99.23,0.00,1.99,-0.07
0.1727,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.63,0.57,98.72,1.84,1.63,1.43,98.44,99.22,0.00,1.95,-0.07
0.1783,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.62,0.57,98.72,1.85,1.57,1.28,98.45,99.23,0.00,1.92,-0.07
0.1841,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.61,0.57,98.73,1.80,1.54,1.33,98.45,99.23,0.00,1.89,-0.07
0.1901,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.60,0.57,98.73,1.68,1.33,1.03,98.45,99.24,0.00,1.85,-0.08
0.1969,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.59,0.57,98.73,2.01,1.70,1.42,98.45,99.23,0.00,1.81,-0.08
0.2030,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.58,0.57,98.73,1.74,1.38,1.02,98.45,99.23,0.00,1.78,-0.08
0.2086,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.57,0.56,98.73,1.77,1.40,1.09,98.45,99.24,0.00,1.74,-0.08
0.2146,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.56,0.56,98.73,1.72,1.29,0.94,98.45,99.24,0.00,1.71,-0.08
0.2203,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.55,0.56,98.74,1.72,1.31,0.94,98.46,99.24,0.00,1.67,-0.08
0.2256,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.54,0.56,98.74,1.74,1.37,1.04,98.46,99.24,0.00,1.64,-0.08
0.2326,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.53,0.56,98.73,2.18,1.88,1.62,98.45,99.24,0.00,1.59,-0.08
0.2383,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.52,0.56,98.73,1.76,1.31,0.89,98.45,99.24,0.00,1.55,-0.09
0.2443,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.50,0.56,98.73,1.76,1.26,0.89,98.45,99.24,0.00,1.51,-0.09
0.2502,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.49,0.56,98.74,1.76,1.26,0.88,98.45,99.24,0.00,1.48,-0.09
0.2561,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.48,0.56,98.74,1.77,1.26,0.88,98.46,99.24,0.00,1.44,-0.09
0.2620,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.47,0.56,98.74,1.78,1.27,0.88,98.46,99.24,0.00,1.40,-0.09
0.2676,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.46,0.56,98.74,1.77,1.27,0.89,98.46,99.24,0.00,1.36,-0.10
0.2738,Idle,1,850.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,850.45,0.56,98.74,1.86,1.36,1.00,98.46,99.24,0.00,1.32,-0.10
